normed_text_unique,augmented_name,count
Trường THPT Cái Nước,"['Trường THPT Cái Nước', 'truong thpt cai nuoc', 'ptth cai nuoc', 'truong truong trung hoc pho thong cai nuoc', 'truong cap 3 cai nuoc', 'truong pt cai nuoc', 'pho thong cai nuoc', 'truong trung hoc pho thong cai nuoc', 'truong ptth cai nuoc', 'truong pho thong cai nuoc', 'truong tthpt cai nuoc', 'pho thong trung hoc cai nuoc', 'truong truong pho thong trung hoc cai nuoc', 'cap 3 cai nuoc', 'pt cai nuoc', 'truong pho thong trung hoc cai nuoc', 'thpt cai nuoc', 'trung hoc pho thong cai nuoc', 'Trường THPT cai nuoc', 'Trường THPT cái nước', 'Trường THPT Cái Nước.tp Ca Mau', 'Trường THPT Cai Nuoc', 'trung hoc pho thong cai nuoc', 'Trường THPT huyen cai nuoc']",24
Trường THPT Bình Đông,"['Trường THPT Bình Đông', 'truong thpt binh dong', 'truong cap 3 binh dong', 'pho thong trung hoc binh dong', 'truong truong pho thong trung hoc binh dong', 'truong pt binh dong', 'pt binh dong', 'truong pho thong trung hoc binh dong', 'thpt binh dong', 'truong pho thong binh dong', 'truong truong trung hoc pho thong binh dong', 'ptth binh dong', 'truong tthpt binh dong', 'pho thong binh dong', 'truong trung hoc pho thong binh dong', 'trung hoc pho thong binh dong', 'cap 3 binh dong', 'truong ptth binh dong', 'Trường THPT binh dong', 'Trường THPT BÌnh Đông']",20
TT GDTX TX. Giá Rai,"['TT GDTX TX. Giá Rai', 'tt gdtx tx gia rai', 'tt giao duc thuong xuyen tx gia rai', 'tt trung tam gdtx tx gia rai', 'tt trung tam giao duc thuong xuyen tx gia rai', 'tt ttgdtx tx gia rai', 'trung tam giao duc thuong xuyen gia rai']",7
TCN Việt Hàn Bình Dương,"['TCN Việt Hàn Bình Dương', 'tcn viet han binh duong', 'tcn viet han binh duong']",3
Trường THCS-THPT Châu A' TháiBình Dương,"[""Trường THCS-THPT Châu A' TháiBình Dương"", 'truong thcs thpt chau a thaibinh duong', 'truong thcs tthpt chau a thaibinh duong', 'truong thcs pt chau a thaibinh duong', 'truong thcs cap 3 chau a thaibinh duong', 'truong thcs truong pho thong trung hoc chau a thaibinh duong', 'truong thcs trung hoc pho thong chau a thaibinh duong', 'truong thcs pho thong trung hoc chau a thaibinh duong', 'truong thcs pho thong chau a thaibinh duong', 'truong thcs ptth chau a thaibinh duong', 'truong thcs truong trung hoc pho thong chau a thaibinh duong', 'th Trường THCS-THPT chau a thaibinh duong']",12
Trường THPT Vĩnh Thạnh,"['Trường THPT Vĩnh Thạnh', 'truong thpt vinh thanh', 'truong pho thong vinh thanh', 'trung hoc pho thong vinh thanh', 'truong trung hoc pho thong vinh thanh', 'truong truong pho thong trung hoc vinh thanh', 'pho thong vinh thanh', 'truong cap 3 vinh thanh', 'cap 3 vinh thanh', 'truong pho thong trung hoc vinh thanh', 'pt vinh thanh', 'truong truong trung hoc pho thong vinh thanh', 'truong ptth vinh thanh', 'truong tthpt vinh thanh', 'truong pt vinh thanh', 'pho thong trung hoc vinh thanh', 'ptth vinh thanh', 'thpt vinh thanh', 'Trường THPT vinh thanh', 'Trường THPT Vĩnh Thạnh']",20
TT GDNN-GDTX Gia Viễn,"['TT GDNN-GDTX Gia Viễn', 'tt gdnn gdtx gia vien', 'tt gdnn giao duc thuong xuyen gia vien', 'tt gdnn ttgdtx gia vien', 'tt gdnn trung tam giao duc thuong xuyen gia vien', 'tt gdnn trung tam gdtx gia vien', 'gdnn gdtx gia vien']",7
TT GDTX Tỉnh Tây Ninh,"['TT GDTX Tỉnh Tây Ninh', 'tt gdtx tinh tay ninh', 'tt trung tam gdtx tinh tay ninh', 'tt giao duc thuong xuyen tinh tay ninh', 'tt trung tam giao duc thuong xuyen tinh tay ninh', 'tt ttgdtx tinh tay ninh', 'TT GDTX tinh tay ninh']",7
Đại Học Hải Dương,"['Đại Học Hải Dương', 'dai hoc hai duong', 'dh hai duong', 'truong dai hoc hai duong', 'truong dh hai duong', 'daj hoc hai duong', 'UHD', 'Đại Học Hải Dương']",8
TT GDTX-DN Lục Ngạn,"['TT GDTX-DN Lục Ngạn', 'tt gdtx dn luc ngan', 'tt trung tam gdtx dn luc ngan', 'tt giao duc thuong xuyen dn luc ngan', 'tt ttgdtx dn luc ngan', 'tt trung tam giao duc thuong xuyen dn luc ngan', 'TT GDTX-DN-Lục Ngạn']",7
TT DN-HN và GDTX Hương Sơn,"['TT DN-HN và GDTX Hương Sơn', 'tt dn hn va gdtx huong son', 'tt dn hn va giao duc thuong xuyen huong son', 'tt dn hn va trung tam giao duc thuong xuyen huong son', 'tt dn hn va trung tam gdtx huong son', 'tt dn hn va ttgdtx huong son', 'trung tam dn hn va gdtx huong son']",7
Trường THPT Lê ích Mộc,"['Trường THPT Lê ích Mộc', 'truong thpt le ich moc', 'cap 3 le ich moc', 'truong truong pho thong trung hoc le ich moc', 'ptth le ich moc', 'trung hoc pho thong le ich moc', 'truong pho thong le ich moc', 'pt le ich moc', 'truong cap 3 le ich moc', 'truong ptth le ich moc', 'pho thong le ich moc', 'truong truong trung hoc pho thong le ich moc', 'thpt le ich moc', 'truong pho thong trung hoc le ich moc', 'truong trung hoc pho thong le ich moc', 'truong tthpt le ich moc', 'truong pt le ich moc', 'pho thong trung hoc le ich moc', 'Trường THPT le ich moc']",19
Trường THPT Tùng Thiện,"['Trường THPT Tùng Thiện', 'truong thpt tung thien', 'truong tthpt tung thien', 'cap 3 tung thien', 'truong trung hoc pho thong tung thien', 'thpt tung thien', 'truong pho thong tung thien', 'truong cap 3 tung thien', 'truong truong pho thong trung hoc tung thien', 'trung hoc pho thong tung thien', 'pt tung thien', 'truong pho thong trung hoc tung thien', 'ptth tung thien', 'pho thong trung hoc tung thien', 'truong ptth tung thien', 'truong truong trung hoc pho thong tung thien', 'truong pt tung thien', 'pho thong tung thien', 'Trường THPT tung thien']",19
"Trường THPT Trấn Biên, Đồng Nai","['Trường THPT Trấn Biên, Đồng Nai', 'truong thpt tran bien dong nai', 'truong truong pho thong trung hoc tran bien dong nai', 'pho thong tran bien dong nai', 'cap 3 tran bien dong nai', 'truong pho thong tran bien dong nai', 'pho thong trung hoc tran bien dong nai', 'truong cap 3 tran bien dong nai', 'truong trung hoc pho thong tran bien dong nai', 'ptth tran bien dong nai', 'truong pt tran bien dong nai', 'thpt tran bien dong nai', 'pt tran bien dong nai', 'truong pho thong trung hoc tran bien dong nai', 'trung hoc pho thong tran bien dong nai', 'truong ptth tran bien dong nai', 'truong truong trung hoc pho thong tran bien dong nai', 'truong tthpt tran bien dong nai', 'pho thong tran bien', 'pho thong tran bien', 'Trường THPT Trấn Biên - Đồng Nai']",21
Trường THCS-THPT Hồng Vân,"['Trường THCS-THPT Hồng Vân', 'truong thcs thpt hong van', 'truong thcs truong trung hoc pho thong hong van', 'truong thcs ptth hong van', 'truong thcs cap 3 hong van', 'truong thcs pho thong trung hoc hong van', 'truong thcs trung hoc pho thong hong van', 'truong thcs truong pho thong trung hoc hong van', 'truong thcs tthpt hong van', 'truong thcs pho thong hong van', 'truong thcs pt hong van', 'trừơng Trường THCS và Trường THPT Hồng Vân', 'Trường THCS-THPT hong van']",13
TT GDNN-GDTX TX.Bến Cát,"['TT GDNN-GDTX TX.Bến Cát', 'tt gdnn gdtx tx ben cat', 'tt gdnn trung tam gdtx tx ben cat', 'tt gdnn ttgdtx tx ben cat', 'tt gdnn giao duc thuong xuyen tx ben cat', 'tt gdnn trung tam giao duc thuong xuyen tx ben cat', 'tt gdnn gdtx tx ben cat']",7
TCKT-NV Nam Sài Gòn,"['TCKT-NV Nam Sài Gòn', 'tckt nv nam sai gon', 'tckt nv nam sai gon']",3
Cao Đẳng Truyền hình,"['Cao Đẳng Truyền hình', 'cao dang truyen hinh', 'truong cao dang truyen hinh', 'cd truyen hinh', 'cao dang truyen hinh ha noi (ctv)']",5
Trường THPT Vinh Xuân,"['Trường THPT Vinh Xuân', 'truong thpt vinh xuan', 'truong trung hoc pho thong vinh xuan', 'pho thong vinh xuan', 'truong pho thong vinh xuan', 'pt vinh xuan', 'truong truong trung hoc pho thong vinh xuan', 'truong ptth vinh xuan', 'thpt vinh xuan', 'truong tthpt vinh xuan', 'trung hoc pho thong vinh xuan', 'pho thong trung hoc vinh xuan', 'truong cap 3 vinh xuan', 'truong pho thong trung hoc vinh xuan', 'ptth vinh xuan', 'truong pt vinh xuan', 'truong truong pho thong trung hoc vinh xuan', 'cap 3 vinh xuan', 'truong trung hoc pho thong vinh xuan', 'phổ thông vinh xuân', 'Trường THPT Vinh Xuân', 'Trường THPT vinh xuan', 'Truong Trường THPT vjnh xuan', 'Trường THPT vinh xuan', 'pt vinh xuan']",25
Trường THPT Ngọc Hồi,"['Trường THPT Ngọc Hồi', 'truong thpt ngoc hoi', 'truong truong pho thong trung hoc ngoc hoi', 'truong pt ngoc hoi', 'pho thong trung hoc ngoc hoi', 'truong truong trung hoc pho thong ngoc hoi', 'cap 3 ngoc hoi', 'truong trung hoc pho thong ngoc hoi', 'ptth ngoc hoi', 'truong pho thong ngoc hoi', 'pho thong ngoc hoi', 'truong ptth ngoc hoi', 'truong cap 3 ngoc hoi', 'truong tthpt ngoc hoi', 'thpt ngoc hoi', 'trung hoc pho thong ngoc hoi', 'truong pho thong trung hoc ngoc hoi', 'pt ngoc hoi', 'truong ptth ngoc thanh', 'Trường THPT ngoc hoi', 'Trường THPT huyện ngọc hồi', 'Trường THPT NGOC LINH', 'PTTH Ngoc hoj']",23
Trường Đại Học Thủy Lợi,"['Trường Đại Học Thủy Lợi', 'truong dai hoc thuy loi', 'truong truong dai hoc thuy loi', 'truong dh thuy loi', 'truong daj hoc thuy loi', 'dh thuy loi', 'dai hoc thuy loi', 'daj hoc thuy loi', 'truong truong dh thuy loi', 'WATER RESOUCES UNIVERSITY', 'Đại học Thủy lợi', 'DH ThuyLoi', 'DH Thuy Loi_WRU']",13
Trường THPT Việt Yên 1,"['Trường THPT Việt Yên 1', 'truong thpt viet yen 1', 'truong ptth viet yen 1', 'pt viet yen 1', 'truong tthpt viet yen 1', 'pho thong viet yen 1', 'truong pt viet yen 1', 'truong trung hoc pho thong viet yen 1', 'truong cap 3 viet yen 1', 'truong truong trung hoc pho thong viet yen 1', 'truong pho thong trung hoc viet yen 1', 'truong truong pho thong trung hoc viet yen 1', 'thpt viet yen 1', 'ptth viet yen 1', 'cap 3 viet yen 1', 'truong pho thong viet yen 1', 'trung hoc pho thong viet yen 1', 'pho thong trung hoc viet yen 1', 'Truong Trường THPTvy1', 'Trường THPT Việt Yên 1', 'pho thong viet yen 1']",21
Cao Đẳng nghề Thanh niên dân tộc Tây Nguyên,"['Cao Đẳng nghề Thanh niên dân tộc Tây Nguyên', 'cao dang nghe thanh nien dan toc tay nguyen', 'truong cao dang nghe thanh nien dan toc tay nguyen', 'cd nghe thanh nien dan toc tay nguyen', 'cao dang nghe thanh nien dan toc tay nguyen']",5
Trường Cao Đẳng Bách Nghệ Hà Nội,"['Trường Cao Đẳng Bách Nghệ Hà Nội', 'truong cao dang bach nghe ha noi', 'truong truong cao dang bach nghe ha noi', 'cao dang bach nghe ha noi', 'cd bach nghe ha noi', 'truong cd bach nghe ha noi', 'Trường cđ Bach Nghệ']",7
Đại Học Nông Lâm TP.HCM,"['Đại Học Nông Lâm TP.HCM', 'dai hoc nong lam tp hcm', 'dai hoc nong lam tp.hcm', 'daj hoc nong lam tp hcm', 'dai hoc nong lam tp. ho chi minh', 'truong dai hoc nong lam tp hcm', 'dh nong lam tp hcm', 'dai hoc nong lam tp ho chi minh', 'truong dh nong lam tp hcm', 'dai hoc nong lam tphcm', 'Đại Học Nông Lâm TPHCM']",11
Trường THPT Long Phước,"['Trường THPT Long Phước', 'truong thpt long phuoc', 'truong truong trung hoc pho thong long phuoc', 'cap 3 long phuoc', 'thpt long phuoc', 'truong tthpt long phuoc', 'truong trung hoc pho thong long phuoc', 'trung hoc pho thong long phuoc', 'truong cap 3 long phuoc', 'truong pho thong trung hoc long phuoc', 'pho thong long phuoc', 'truong pho thong long phuoc', 'ptth long phuoc', 'truong truong pho thong trung hoc long phuoc', 'truong ptth long phuoc', 'pho thong trung hoc long phuoc', 'pt long phuoc', 'truong pt long phuoc', 'Trường THPTTH Long Phước', 'Trường THPT long phuoc']",20
Trường THPT Dân Tộc Nội Trú Tỉnh Bắc Giang,"['Trường THPT Dân Tộc Nội Trú Tỉnh Bắc Giang', 'truong thpt dan toc noi tru tinh bac giang', 'truong pho thong dan toc noi tru tinh bac giang', 'truong trung hoc pho thong dan toc noi tru tinh bac giang', 'truong cap 3 dan toc noi tru tinh bac giang', 'pho thong trung hoc dan toc noi tru tinh bac giang', 'thpt dan toc noi tru tinh bac giang', 'truong ptth dan toc noi tru tinh bac giang', 'pt dan toc noi tru tinh bac giang', 'truong pho thong trung hoc dan toc noi tru tinh bac giang', 'pho thong dan toc noi tru tinh bac giang', 'ptth dan toc noi tru tinh bac giang', 'truong tthpt dan toc noi tru tinh bac giang', 'truong pt dan toc noi tru tinh bac giang', 'truong truong pho thong trung hoc dan toc noi tru tinh bac giang', 'cap 3 dan toc noi tru tinh bac giang', 'trung hoc pho thong dan toc noi tru tinh bac giang', 'truong truong trung hoc pho thong dan toc noi tru tinh bac giang', 'Trường DTNT tỉnh Bắc Giang', 'nội trú bắc giang']",20
TT GDTX Hoa Lư,"['TT GDTX Hoa Lư', 'tt gdtx hoa lu', 'tt ttgdtx hoa lu', 'tt giao duc thuong xuyen hoa lu', 'tt trung tam gdtx hoa lu', 'tt trung tam giao duc thuong xuyen hoa lu', 'TT GDTX hoa lu']",7
Trường Trung Cấp Cầu Đường & Dạy Nghề Binh Đoàn 12,"['Trường Trung Cấp Cầu Đường & Dạy Nghề Binh Đoàn 12', 'truong trung cap cau duong day nghe binh doan 12', 'TRUNG CAP CAU DUONG']",3
"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội","['Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội', 'truong dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi', 'truong truong dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi', 'dh khoa hoc tu nhien dai hoc quoc gia ha noi', 'truong daj hoc khoa hoc tu nhien dai hoc quoc gia ha noi', 'daj hoc khoa hoc tu nhien dai hoc quoc gia ha noi', 'truong truong dh khoa hoc tu nhien dai hoc quoc gia ha noi', 'dai hoc khoa hoc tu nhien dai hoc quoc gia ha noi', 'truong dh khoa hoc tu nhien dai hoc quoc gia ha noi', 'Đại học KHTN Hà Nội', 'HUS - Khoa học tự nhiên', 'Đại Học KHTN-ĐHQG Hà Nội', 'dai hoc tu do(khoa kua gai)', 'khoa hoc tu nhien hn', 'HUS - VNU', 'ĐH Khoa Học Tư Nhiên-ĐH QGHN']",16
"TT GDNN-GDTX Quỳ Châu Thị trấn Tân Lạc, Nghệ An","['TT GDNN-GDTX Quỳ Châu Thị trấn Tân Lạc, Nghệ An', 'tt gdnn gdtx quy chau thi tran tan lac nghe an', 'tt gdnn trung tam gdtx quy chau thi tran tan lac nghe an', 'tt gdnn trung tam giao duc thuong xuyen quy chau thi tran tan lac nghe an', 'tt gdnn ttgdtx quy chau thi tran tan lac nghe an', 'tt gdnn giao duc thuong xuyen quy chau thi tran tan lac nghe an', 'trung tam gdnn gdtx quy chau thi tran tan lac nghe an']",7
Trường THPT Số 1 Tuy phước,"['Trường THPT Số 1 Tuy phước', 'truong thpt so 1 tuy phuoc', 'truong pho thong trung hoc so 1 tuy phuoc', 'pho thong so 1 tuy phuoc', 'truong pt so 1 tuy phuoc', 'pt so 1 tuy phuoc', 'thpt so 1 tuy phuoc', 'truong truong trung hoc pho thong so 1 tuy phuoc', 'ptth so 1 tuy phuoc', 'cap 3 so 1 tuy phuoc', 'truong trung hoc pho thong so 1 tuy phuoc', 'trung hoc pho thong so 1 tuy phuoc', 'truong cap 3 so 1 tuy phuoc', 'truong truong pho thong trung hoc so 1 tuy phuoc', 'truong tthpt so 1 tuy phuoc', 'pho thong trung hoc so 1 tuy phuoc', 'truong pho thong so 1 tuy phuoc', 'truong ptth so 1 tuy phuoc', 'Trường THPT so 1 tuy phuoc']",19
"TT GDTX H. Pác Nặm, tỉnh Bắc Kạn Xã Bộc Bố, huyện Pác Nặm, tỉnh Bắc Kạn","['TT GDTX H. Pác Nặm, tỉnh Bắc Kạn Xã Bộc Bố, huyện Pác Nặm, tỉnh Bắc Kạn', 'tt gdtx h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan', 'tt trung tam giao duc thuong xuyen h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan', 'tt ttgdtx h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan', 'tt trung tam gdtx h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan', 'tt giao duc thuong xuyen h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan', 'tt gdtx h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan']",7
Trung cấp Công nghệ và Y tế Pasteur,"['Trung cấp Công nghệ và Y tế Pasteur', 'trung cap cong nghe va y te pasteur', 'truong trung cap y duoc pasteur ha noi']",3
Trường THPT NÔNG CỐNG 3,"['Trường THPT NÔNG CỐNG 3', 'truong thpt nong cong 3', 'truong tthpt nong cong 3', 'trung hoc pho thong nong cong 3', 'truong pho thong nong cong 3', 'truong truong trung hoc pho thong nong cong 3', 'truong trung hoc pho thong nong cong 3', 'pt nong cong 3', 'truong cap 3 nong cong 3', 'truong ptth nong cong 3', 'cap 3 nong cong 3', 'thpt nong cong 3', 'truong truong pho thong trung hoc nong cong 3', 'pho thong nong cong 3', 'truong pt nong cong 3', 'pho thong trung hoc nong cong 3', 'ptth nong cong 3', 'truong pho thong trung hoc nong cong 3', 'Trường THPT Nông Cống3 - Thanh Hóa', 'Trường THPT nông công 3']",20
Trường Cao Đẳng Nông Lâm Sơn La,"['Trường Cao Đẳng Nông Lâm Sơn La', 'truong cao dang nong lam son la', 'truong cd nong lam son la', 'truong truong cao dang nong lam son la', 'cao dang nong lam son la', 'cd nong lam son la', 'Trường Đại Học Nông Lâm sơn la']",7
Trường THPT Đa Phước,"['Trường THPT Đa Phước', 'truong thpt da phuoc', 'truong pt da phuoc', 'truong cap 3 da phuoc', 'pt da phuoc', 'truong pho thong trung hoc da phuoc', 'pho thong da phuoc', 'truong truong pho thong trung hoc da phuoc', 'pho thong trung hoc da phuoc', 'ptth da phuoc', 'truong trung hoc pho thong da phuoc', 'truong tthpt da phuoc', 'truong ptth da phuoc', 'trung hoc pho thong da phuoc', 'thpt da phuoc', 'cap 3 da phuoc', 'truong pho thong da phuoc', 'truong truong trung hoc pho thong da phuoc', 'Trường THPT da phuoc']",19
Trường THPT Krông Bông,"['Trường THPT Krông Bông', 'truong thpt krong bong', 'truong cap 3 krong bong', 'truong pho thong trung hoc krong bong', 'pt krong bong', 'cap 3 krong bong', 'trung hoc pho thong krong bong', 'truong truong pho thong trung hoc krong bong', 'ptth krong bong', 'truong tthpt krong bong', 'pho thong krong bong', 'pho thong trung hoc krong bong', 'truong pho thong krong bong', 'truong truong trung hoc pho thong krong bong', 'truong trung hoc pho thong krong bong', 'truong pt krong bong', 'thpt krong bong', 'truong ptth krong bong', 'Trung hoc pho thong Krongbong', 'Trường THPT krong bong,daklak', 'Trường THPT Krông Bông đak lăk', 'ptth krongbong', 'Trường THPT krong bong']",23
Đại học Massachusetts Amherst ,"['Đại học Massachusetts Amherst ', 'dai hoc massachusetts amherst', 'truong dai hoc massachusetts amherst', 'truong dh massachusetts amherst', 'daj hoc massachusetts amherst', 'dh massachusetts amherst', 'University of Massachusetts Amherst']",7
Trường THPT Dân tộc nội trú,"['Trường THPT Dân tộc nội trú', 'truong thpt dan toc noi tru', 'truong cap 3 dan toc noi tru', 'pho thong trung hoc dan toc noi tru', 'truong ptth dan toc noi tru', 'thpt dan toc noi tru', 'truong tthpt dan toc noi tru', 'cap 3 dan toc noi tru', 'truong pt dan toc noi tru', 'pho thong dan toc noi tru', 'truong pho thong dan toc noi tru', 'truong trung hoc pho thong dan toc noi tru', 'truong pho thong trung hoc dan toc noi tru', 'pt dan toc noi tru', 'trung hoc pho thong dan toc noi tru', 'ptth dan toc noi tru', 'truong truong pho thong trung hoc dan toc noi tru', 'truong truong trung hoc pho thong dan toc noi tru', 'pt dan toc noi tru', 'pho thong dan toc noi tru', 'pt dan toc noi tru truoc 4 2017']",21
Trường THPT Nguyễn Văn Linh,"['Trường THPT Nguyễn Văn Linh', 'truong thpt nguyen van linh', 'truong pho thong nguyen van linh', 'thpt nguyen van linh', 'truong cap 3 nguyen van linh', 'truong trung hoc pho thong nguyen van linh', 'ptth nguyen van linh', 'truong ptth nguyen van linh', 'cap 3 nguyen van linh', 'truong pho thong trung hoc nguyen van linh', 'truong truong trung hoc pho thong nguyen van linh', 'trung hoc pho thong nguyen van linh', 'truong pt nguyen van linh', 'truong tthpt nguyen van linh', 'pho thong nguyen van linh', 'truong truong pho thong trung hoc nguyen van linh', 'pt nguyen van linh', 'pho thong trung hoc nguyen van linh', 'Truong Trung Hoc Pho Thong Nguyen Van Linh', 'Truong Trường THPT Nguyen Van Linh', 'Trường THPT nguyen van linh', 'Trường THPT nguyen van linh', 'Trường THPT nguyen van linh', 'Trường THPT nguyen van linh', 'Trường THPT nguyen van linh']",25
Trường THPT Bất Bạt,"['Trường THPT Bất Bạt', 'truong thpt bat bat', 'truong tthpt bat bat', 'truong truong pho thong trung hoc bat bat', 'pho thong trung hoc bat bat', 'truong pt bat bat', 'cap 3 bat bat', 'truong cap 3 bat bat', 'truong trung hoc pho thong bat bat', 'ptth bat bat', 'truong truong trung hoc pho thong bat bat', 'truong ptth bat bat', 'truong pho thong bat bat', 'trung hoc pho thong bat bat', 'pt bat bat', 'thpt bat bat', 'pho thong bat bat', 'truong pho thong trung hoc bat bat', 'Trường THPT BẤT BẠT', 'Trường THPT bat bat', 'Trường THPT Bất Bạt']",21
TT GDTX - Hướng Nghiệp Tỉnh Ninh Thuận,"['TT GDTX - Hướng Nghiệp Tỉnh Ninh Thuận', 'tt gdtx huong nghiep tinh ninh thuan', 'tt trung tam giao duc thuong xuyen huong nghiep tinh ninh thuan', 'tt trung tam gdtx huong nghiep tinh ninh thuan', 'tt ttgdtx huong nghiep tinh ninh thuan', 'tt giao duc thuong xuyen huong nghiep tinh ninh thuan', 'TT GDTX tỉnh Ninh Thuận']",7
Trung cấp Nghề Bạc Liêu,"['Trung cấp Nghề Bạc Liêu', 'trung cap nghe bac lieu', 'trung cap nghe bac lieu']",3
Trường THPT Mai Anh Tuấn,"['Trường THPT Mai Anh Tuấn', 'truong thpt mai anh tuan', 'truong pho thong mai anh tuan', 'pho thong trung hoc mai anh tuan', 'truong truong pho thong trung hoc mai anh tuan', 'ptth mai anh tuan', 'truong cap 3 mai anh tuan', 'pt mai anh tuan', 'truong tthpt mai anh tuan', 'truong pho thong trung hoc mai anh tuan', 'pho thong mai anh tuan', 'thpt mai anh tuan', 'truong pt mai anh tuan', 'truong trung hoc pho thong mai anh tuan', 'cap 3 mai anh tuan', 'trung hoc pho thong mai anh tuan', 'truong truong trung hoc pho thong mai anh tuan', 'truong ptth mai anh tuan', 'Trường THPT.Mai Anh Tuan', 'truong T H P T mai anh tuan', 'Trường THPT mai anh tuan', 'Trường THPT Mai Anh Tuấn']",22
Trường THCS-THPT quốc tế Canada,"['Trường THCS-THPT quốc tế Canada', 'truong thcs thpt quoc te canada', 'truong thcs truong trung hoc pho thong quoc te canada', 'truong thcs truong pho thong trung hoc quoc te canada', 'truong thcs trung hoc pho thong quoc te canada', 'truong thcs pt quoc te canada', 'truong thcs ptth quoc te canada', 'truong thcs pho thong quoc te canada', 'truong thcs pho thong trung hoc quoc te canada', 'truong thcs tthpt quoc te canada', 'truong thcs cap 3 quoc te canada', 'th Trường THCS va Trường THPT quoc te canada']",12
Trường Cao Đẳng Y tế Nghệ An,"['Trường Cao Đẳng Y tế Nghệ An', 'truong cao dang y te nghe an', 'cd y te nghe an', 'cao dang y te nghe an', 'truong truong cao dang y te nghe an', 'truong cd y te nghe an', 'TRUONG CAO DANG Y TE NGHE AN', 'Trường CD y tế NGhệ an']",8
TC nghề khu vực Nam Tây Ninh,"['TC nghề khu vực Nam Tây Ninh', 'tc nghe khu vuc nam tay ninh', 'tc nghe khu vuc nam tay ninh truoc 01 02 2020', 'tc nghe khu vuc nam tay ninh tu 01 02 2020']",4
Trường Cao Đẳng Kinh tế Kỹ thuật Tây Ninh,"['Trường Cao Đẳng Kinh tế Kỹ thuật Tây Ninh', 'truong cao dang kinh te ky thuat tay ninh', 'truong truong cao dang kinh te ky thuat tay ninh', 'cd kinh te ky thuat tay ninh', 'truong cd kinh te ky thuat tay ninh', 'cao dang kinh te ky thuat tay ninh', 'Truong trung cap kinh te ki thuat Tay Ninh', 'Trường Trung cấp kinh tế -kỷ thuật tây ninh']",8
Trường Cao Đẳng Văn hóa Nghệ thuật Thái Bình,"['Trường Cao Đẳng Văn hóa Nghệ thuật Thái Bình', 'truong cao dang van hoa nghe thuat thai binh', 'cd van hoa nghe thuat thai binh', 'truong truong cao dang van hoa nghe thuat thai binh', 'cao dang van hoa nghe thuat thai binh', 'truong cd van hoa nghe thuat thai binh', 'CDVHNT THAI BINH', 'CDVHNT Thai binh']",8
Trường THPT Quảng Ninh,"['Trường THPT Quảng Ninh', 'truong thpt quang ninh', 'truong truong trung hoc pho thong quang ninh', 'truong trung hoc pho thong quang ninh', 'truong cap 3 quang ninh', 'truong ptth quang ninh', 'trung hoc pho thong quang ninh', 'pho thong trung hoc quang ninh', 'truong tthpt quang ninh', 'cap 3 quang ninh', 'truong pho thong trung hoc quang ninh', 'thpt quang ninh', 'pt quang ninh', 'truong truong pho thong trung hoc quang ninh', 'pho thong quang ninh', 'ptth quang ninh', 'truong pt quang ninh', 'truong pho thong quang ninh', 'Trường THPT quang ninh']",19
Trường THPT Đồ Chiểu,"['Trường THPT Đồ Chiểu', 'truong thpt do chieu', 'truong pt do chieu', 'truong cap 3 do chieu', 'truong tthpt do chieu', 'cap 3 do chieu', 'thpt do chieu', 'truong ptth do chieu', 'truong pho thong trung hoc do chieu', 'ptth do chieu', 'truong truong trung hoc pho thong do chieu', 'pt do chieu', 'truong pho thong do chieu', 'truong trung hoc pho thong do chieu', 'pho thong do chieu', 'trung hoc pho thong do chieu', 'truong truong pho thong trung hoc do chieu', 'pho thong trung hoc do chieu', 'Trường THPT do chieu']",19
TT GDTX thị xã Ngã Bảy,"['TT GDTX thị xã Ngã Bảy', 'tt gdtx thi xa nga bay', 'tt ttgdtx thi xa nga bay', 'tt trung tam giao duc thuong xuyen thi xa nga bay', 'tt trung tam gdtx thi xa nga bay', 'tt giao duc thuong xuyen thi xa nga bay', 'tt gdtx thi xa nga bay']",7
TT Giáo dục nghề nghiệp - GDTX huyện Lấp Vò,"['TT Giáo dục nghề nghiệp - GDTX huyện Lấp Vò', 'tt giao duc nghe nghiep gdtx huyen lap vo', 'tt giao duc nghe nghiep ttgdtx huyen lap vo', 'tt giao duc nghe nghiep giao duc thuong xuyen huyen lap vo', 'tt giao duc nghe nghiep trung tam giao duc thuong xuyen huyen lap vo', 'tt giao duc nghe nghiep trung tam gdtx huyen lap vo', 'tt giao duc nghe nghiep gdtx huyen lap vo']",7
Trường Cao Đẳng Thái Nguyên,"['Trường Cao Đẳng Thái Nguyên', 'truong cao dang thai nguyen', 'truong cd thai nguyen', 'cao dang thai nguyen', 'cd thai nguyen', 'truong truong cao dang thai nguyen', 'truong cao đag kinh te tai chinh thai nguyen', 'CDKT tai chinh thai nguyen']",8
