,text,normed_text
5628,THPT Nam Sach,THPT Nam Sách
5629,THPT Nam Sách,THPT Nam Sách
5630,Cao đẳng Công nghiệp Huế,Trường Cao đẳng Công nghiệp Huế
5631,Trường Cao đẳng Công nghiệp Huế,Trường Cao đẳng Công nghiệp Huế
5632,THPT An Dương - Hải Phòng,Trường THPT An Dương
5633,Trường Đại học Tây Bắc,Trường Đại học Tây Bắc
5634,THPT Kim Sơn A,Trường THPT Kim Sơn A
5635,cd cong thuong tp.hcm,Trường Cao Đẳng Công Thương TP.HCM
5636,THCS Tân Xuân,Trường THCS Tân Xuân
5637,Học viện Hàng không Việt Nam - Vietnam Aviation Academy,Học viện Hàng không Việt Nam
5638,Hanoi – Amsterdam High School,Trường THPT chuyên Hà Nội - Amsterdam
5639,Ha Noi - Amsterdam High School,Trường THPT chuyên Hà Nội - Amsterdam
5640,THPT Nguyễn Tất Thành - Hà Nội,Trường THCS & THPT Nguyễn Tất Thành
5641,Trường THCS Sào Nam,Trường THCS Sào Nam
5642,THPT Nguyễn Thức Tự,Thpt Nguyễn Thức Tự
5643,Trường CĐ Y tế Yên Bái (YMC),Trường Cao Đẳng Y Tế Yên Bái
5644,THPT DIỄN CHÂU 3,Trường THPT Diễn Châu 3
5645,THCS Nguyễn Công Trứ,Trường THCS Nguyễn Công Trứ
5646,THCS Nam Cao,Trường THCS Nam Cao
5647,Đại Học Y Hà Nội,Trường Đại Học Y Hà Nội
5648,Quốc Học – Huế High School for the Gifted,Trường THPT chuyên Quốc Học Huế
5649,Điện Biên Phủ City,Thành phố Điện Biên Phủ
5650,THPT Đông Sơn 1,Trường THPT Đông Sơn 1
5651,THPT Đan Phượng,Trường THPT Đan Phượng
5652,Trường Đại học Kiến trúc Hà Nội,Trường Đại học Kiến trúc Hà Nội
5653,TTGDTX Dan Phuong,Trường TTGDTX Đan Phượng
5654,THPT Đan Phượng,Trường THPT Đan Phượng
5655,Đại học Hồng Đức,Trường Đại Học Hồng Đức
5656,THPT lE^ qUY' d0^n,Trường THPT Lê Quý Đôn
5657,cao dang bach khoa ha noi,Trường Cao đẳng nghề Bách Khoa Hà Nội
5658,Trường THPT Lê Văn Linh,Trường THPT Lê Văn Linh
5659,Lotus University,Mega lotus Dragon 11662690
5660,truong thpt so 1 van ban,Trường THPT số 1 Văn Bàn
5661,Trường THPT Số 1 Văn Bàn,Trường THPT số 1 Văn Bàn
5662,THPT Nguyễn Xuân Ôn,Trường THPT Nguyễn Xuân Ôn
5663,THPT Hoài Ân,Trường THPT Hoài Ân
5664,Trường Cao Đẳng Nghề Số 5 - Bộ Quốc Phòng,Trường Cao Đẳng Nghề Số 5 - Bộ Quốc Phòng
5665,THPT Cao Bá Quát - Gia Lâm - HN,Trường THPT Cao Bá Quát
5666,THPT nghia hung B,Trường THPT B Nghĩa Hưng
5667,THPT Nguyen Duc' Mau,Trường THPT Nguyễn Đức Mậu
5668,Trường Cao Đẳng Sơn La,Trường Cao đẳng Sơn La
5669,cao dang nghe can tho,Trường Cao đẳng nghề Cần Thơ
5670,trường thpt khánh lâm,Trường THPT Khánh Lâm
5671,Trường Đại học Bình Dương,Trường Đại học Bình Dương
5672,Trường THPT số 2 Tuy Phước,Trường THPT Số 2 Tuy Phước
5673,Trường THPT Hậu Lộc 1,Trường THPT Hậu Lộc I
5674,Hanoi University of Business and Technology - HUBT,Trường Đại học Kinh doanh và Công nghệ Hà Nội
5675,thcs xuan vinh,Trường THCS Xuân Vinh
5676,Trường Thpt Vinh Xuân,Trường THPT Vinh Xuân
5677,THPT Đông Hà,Trường THPT Đông Hà
5678,Cao Dang thuong mai da nang,Trường Cao đẳng Thương mại Đà Nẵng
5679,Trường THPT Thanh Đa,Trường THPT Thanh Đa
5680,Dai Hoc van Hoa Tphcm,Trường Đại học Văn hóa TP.HCM - Cơ sở 1
5681,THPT Nguyễn Duy Hiệu,Trường THPT Nguyễn Duy Hiệu
5682,Trường THCS Đồng Tháp,Trường THCS Đồng Tháp
5683,THPT my lac,Trường THPT Mỹ Lạc
5684,dai hoc can tho,Đại học Cần Thơ
5685,THPT Nguyễn Thị Diệu,Trường THPT Nguyễn Thị Diệu
5686,trung học phổ thông Tiên Lãng,Trường THPT Tiên Lãng
5687,THPT Lấp Vò 2,Trường THPT Lấp Vò 2
5688,Trường THCS - THPT Bình Thạnh Trung,Trường THCS-THPT Bình Thạnh Trung
5689,Trường THPT Lấp Vò 1,Trường THPT Lấp Vò 1
5690,THPT Châu Thành A - Trần Văn Ơn - Bến Tre,Trường THPT Trần Văn Ơn
5691,THCS Lữ Gia Quận 11,Trường THCS Lữ Gia
5692,Truong THPT Nhu Xuân,Trường THPT Như Xuân
5693,THCS Nguyễn Văn Luông,Trường THCS Nguyễn Văn Luông
5694,THCS Thanh Liệt,Trường THCS Thanh Liệt
5695,ĐẠI HỌC THUỶ LỢI HÀ NỘI - Water Resources University,Trường Đại Học Thủy Lợi
5696,Harvard-Westlake School,Harvard-Westlake School
5697,THPT Chuyên Sơn La,Trường THPT Chuyên Sơn La
5698,Trường Đại Học Luật Hà Nội,Trường Đại học Luật Hà Nội
5699,THCS Thị Trấn Me,Trường THCS Thị Trấn Me
5700,Trường THPT Ngan Dừa,Trường THPT Ngan Dừa
5701,THPT Yen Mo A,Trường THPT Yên Mô A
5702,cao đẳng công nghiệp nam định,Trường Cao đẳng Công nghiệp Nam Định
5703,Trường Đại học Kiến trúc Đà Nẵng,Trường Đại học Kiến trúc Đà Nẵng
5704,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia TP.HCM,Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM
5705,Trường THPT Thanh Oai B,Trường THPT Thanh Oai B
5706,trường thpt chuyên vĩnh phúc,Trường THPT Chuyên Vĩnh Phúc
5707,UNITAS Japanese Language School Kofu （ユニタス日本語学校甲府）,ユニタス日本語学校2号館
5708,Trung học cơ sở,Trung học cơ sở
5709,THPT Bà Điểm,Trường THPT Bà Điểm
5710,THPT DL Tri Duc,Trường THPT Trí Đức
5711,Cao Đẳng Nghề Việt Xô - Tam Điệp - NB,Trường Cao đẳng nghề cơ điện xây dựng Việt Xô
5712,THPT Binh Xuyen,Trường Trung Học Phổ Thông Bình Xuyên
5713,Binh Xuyen 2school,Binh Xuyen High School
5714,THPT Tô Hiệu- Sơn La,Trường THPT Tô Hiệu
5715,THCS Hùng Vương Tp. Biên Hòa,Trường Trung học cơ sở Hùng Vương
5716,Cao đẳng Nghề Công Nghiệp Hà Nội,Trường Cao đẳng nghề Công nghiệp Hà Nội
5717,Trường Cao đẳng Nghề Công Nghệ Cao Hà Nội,Trường Cao đẳng nghề Công nghệ Cao Hà Nội
5718,THPT Thuan An,Trường THPT Thuận An
5719,THCS Phú Hải,Trường THCS Phú Hải
5720,THPT Hoa Lư A,Trường THPT Hoa Lư A
5721,Trường THPT Chân mộng,Trường Thpt Chân Mộng
5722,THPT Hương Sơn,Trường THPT Hương Sơn
5723,THPT Tân Kỳ 1,Trường THPT Tân Kỳ
5724,Nhạc Viện TPHCM,Nhạc Viện Thành Phố Hồ Chí Minh
5725,Trường Đại học Khoa học Xã hội và Nhân văn,Trường Đại học Khoa học Xã hội và Nhân văn - Đại học Quốc gia Hà Nội
5726,Trường Đại học Phòng Cháy Chữa Cháy,Trường Đại học Phòng cháy Chữa cháy
5727,THPT Amterdam,Trường THPT chuyên Hà Nội - Amsterdam
5728,truong cao dang kinh te ky thuat Dien Bien,Trường Cao Đẳng Kinh Tế - Kỹ Thuật Điện Biên
5729,Trường THCS Nguyễn Văn Linh ( Hòa Thọ ),Trường THCS Nguyễn Văn Linh
5730,Trường ĐH Kinh Tế và Quản Trị Kinh Doanh - ĐH Thái Nguyên,Trường Đại học Kinh tế và Quản trị kinh doanh - Đại học Thái Nguyên
5731,THPT Đinh Chương Dương,Thpt Đinh Chương Dương
5732,Trường THPT Lương Định Của,Trường THPT Lương Định Của
5733,THPT tan phuoc khanh,Trường THPT Tân Phước Khánh
5734,IUH - Đại học Công Nghiệp TP.HCM,Trường Đại học Công nghiệp TP.HCM
5735,"THCS Trường Sơn, Gò Vấp",Trường THCS Trường Sơn
5736,Trường THPT Nguyễn Trãi Ninh Thuận,Nguyễn Trãi High School
5737,Cao Đẳng Công Nghệ Thông Tin TP.HCM(ITC),Trường Cao Đẳng Công Nghệ Thông Tin Tp.Hồ Chí Minh
5738,THPT A Thanh Liem,Trường THPT Thanh Liêm A
5739,Cao Đẳng Y Tế Bạch Mai,Trường Cao đẳng Y tế Bạch Mai
5740,THPT Chuyên Vĩnh Phúc,Trường THPT Chuyên Vĩnh Phúc
5741,Đại học Quốc gia Lào,Đại học Quốc gia Lào
5742,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng,Trường Đại học Ngoại ngữ - Đại học Đà Nẵng
5743,CD Bắc Hà,Trường cao đẳng công nghệ Bắc Hà
5744,Trường THCS Khiếu Năng Tĩnh,Trường THCS Khiếu Năng Tĩnh
5745,Trường Đại học Kinh tế Quốc dân,Trường Đại Học Kinh Tế Quốc Dân
5746,Trường THPT Giao Thủy C,Trường THPT Giao Thủy C
5747,Đại học Lâm Nghiệp,Trường Đại học Lâm nghiệp
5748,"THPT  Phan Đình Giót, Điện Biên Phủ, Điện Biên",Trường THPT Phan Đình Giót
5749,Trường Quân Sự Quân Khu 2 BQP,"Quân khu 2, Quân đội nhân dân Việt Nam"
5750,THPT Tiên Du 1,Trường THPT Tiên Du 1
5751,Hanoi University of Technology,Trường Đại học Bách khoa Hà Nội (Hanoi University of Science & Technology (HUST))
5752,Hanoi University of Science and Technology,Trường Đại học Bách khoa Hà Nội (Hanoi University of Science & Technology (HUST))
5753,THPT Thanh Liêm A,Trường THPT Thanh Liêm A
5754,DH KIEN TRUC HA NOI,Trường Đại học Kiến trúc Hà Nội
5755,Hanoi Architectural University,Trường Đại học Kiến trúc Hà Nội
5756,Truong Trung Tam GDTX huyen do luong,Trung tâm GDNN - GDTX Đô Lương
5757,Tây Bắc,Tây Bắc Bộ
5758,Đại học thể dục thể thao Đà Nẵng,Trường Đại học Thể dục Thể thao Đà Nẵng
5759,THPT chuyên Hùng Vương Phú Thọ,Trường THPT Hùng Vương
5760,Trường Đại học Sư Phạm Hà Nội,Trường Đại học Sư phạm Hà Nội
5761,THPT Mộc Lỵ,Trường THPT Mộc Lỵ
5762,Truong THPT Phan Dinh Giot,Trường THPT Phan Đình Giót
5763,THPT Phan Đình Giót,Trường THCS Phan Đình Giót
5764,Trường Đại học Vinh,Đại Học Vinh
5765,Trường Đại học Hồng Đức,Trường Đại Học Hồng Đức
5766,Trường THPT Mai Anh Tuấn,Trường THPT Mai Anh Tuấn
5767,Đại học Xây dựng,Trường Đại Học Xây Dựng
5768,THPT Phụ Dực - Thái Bình,Trường THPT Phụ Dực
5769,Trường THPT Chiềng Sinh,Trường THPT Chiềng Sinh
5770,Trường Đại học Ngoại thương,Trường Đại học Ngoại thương
5771,Trường THPT Thái Phiên - Hải Phòng,Trường THPT Thái Phiên
5772,Học viện Quân y,Học viện Quân y
5773,THPT Vân Nội,Trường THPT Vân Nội
5774,University of Health Sciences,Faculty of Health Sciences
5775,THPT Lê Quý Đôn - Đống Đa,Trường THPT Lê Quý Đôn
5776,THPT Lê Quý Đôn Hà Nội,Trường THPT Lê Quý Đôn
5777,"Vietnam National University, Hanoi",Đại học Quốc gia Hà Nội
5778,Đại học Kiến trúc Thành phố Hồ Chí Minh,Đại học Kiến trúc Thành phố Hồ Chí Minh
5779,Trường THPT Cẩm Giàng - HD,Trường THPT Cẩm Giàng
5780,Đại học Đông Đô,Trường Đại học Đông Đô
5781,THPT Nguyễn Hữu Cảnh - Quảng Ninh - Quảng Bình,Trường THPT Nguyễn Hữu Cảnh
5782,học viện Hành Chính,Học viện Hành chính Quốc Gia
5783,Trường THPT Thanh Chăn,Trường THPT Thanh Chăn
5784,THPT Trần Nhân Tông - Hà Nội,Trường THPT Trần Nhân Tông
5785,HUTECH - Trường Đại học Công nghệ TP.HCM,Trường Đại Học Công Nghệ TP.HCM - HUTECH
5786,"THPT Cẩm Khê, Phú Thọ",Trường THPT Cẩm Khê
5787,Trường Cao đẳng kĩ thuật Lí Tự Trọng,Trường Cao đẳng Lý Tự Trọng TP. Hồ Chí Minh
5788,truong trung hoc pho thong thi tran cho moi,Trường Trung Học Phổ Thông Chợ Mới
5789,Trường THPT Chi Lăng,Trường THPT Chi Lăng
5790,Trường THCS An Khánh,Trường Trung Học Cơ Sở An Khánh
5791,Truong THPT Binh An,Trường THPT Bình An
5792,THPT Nguyễn Hữu Tiến,Trường THPT Nguyễn Hữu Tiến - Hà Nam
5793,THPT chuyen Thoai Ngoc Hau,Trường Trung học phổ thông chuyên Thoại Ngọc Hầu
5794,"THPT Nguyễn Đình Chiểu-Mỹ Tho,Tiền Giang",Trường THPT Nguyễn Đình Chiểu
5795,Trường THCS Nguyễn Viết Xuân l Krông Bông l,Trường THCS Nguyễn Viết Xuân
5796,Trung Học Phổ Thông Thị Xã Sa Đéc,Sa Đéc High School
5797,Trường Trung học phổ thông Nguyễn trung truc.thanhh phố...,Trường THPT Nguyễn Trung Trực
5798,Emekuku high school,Emekuku High Boys Secondary School
5799,THCS Lương Thế Vinh Quận 3,Trường THCS Lương Thế Vinh
5800,thpt Lai Vung 2,Lai Vung 2 High School
5801,truong trung hoc co so Tran Van On,Trường THCS Trần Văn Ơn
5802,THCS Long Hòa,Trường THCS Long Hòa
5803,cao đẳng sư phạm Ninh Thuận,Trường Cao Đẳng Sư Phạm Ninh Thuận
5804,trường THPT Mỹ Tho-Ý Yên - Nam Định,Trường THPT Mỹ Tho
5805,Thạnh Mỹ Tây,Thạnh Mỹ Tây
5806,THCS An Phú Đông,Trường Thcs An Phú Đông
5807,"Tân Lý Tây, Tiền Giang, Vietnam",Tân Lý Tây
5808,Trường THPT Bình Phú,Trường THPT Phú Bình
5809,Trung học cơ so Tân Thuan 1,Trường TH và THCS Tân Thuận 1
5810,truong cao dang y te kien giang,Trường Cao đẳng Y tế Kiên Giang
5811,"THPT  Tây Nam, Bến Cát, Bình Dương",Trường THPT Tây Nam
5812,Dai hoc Supham Danang,Trường Đại Học Sư Phạm - ĐHĐN
5813,THCS Liên Trạch,Trường THCS Liên Trạch
5814,Tthcs phú long,Trường THCS Phú Long
5815,HUTECH - University of Technology,Trường Đại Học Công Nghệ TP.HCM - HUTECH (Ho Chi Minh City University of Technology - HUTECH)
5816,THPH Nguyen Thi Minh Khai,Trường THPT Nguyễn Thị Minh Khai
5817,Truong Nguyen thi thap,Trường THCS Nguyễn Thị Thập
5818,Trường Thpt Phước Kiển,Trường THPT Phước Kiển
5819,"Trường THPT Phước Kiển, Nhà Bè",Trường THPT Phước Kiển
5820,trung cap cong nghe thong tin,Khoa công nghệ thông tin - Trường trung cấp ICT
5821,Thpt nguyễn hữu cảnh,Trường THPT Nguyễn Hữu Cảnh
5822,THCS Lac Vien,Trường THCS Lạc Viên
5823,Charles P. Allen High School,Charles P. Allen High School
5824,Cấp 2-3 Hiếu Nhơn,Trường THCS và THPT Hiếu Nhơn
5825,Truong THPT Binh Long,Trường THPT thị xã Bình Long
5826,THCS QUE THUAN,Trường THCS Quế Thuận
5827,Trường THCS Cầu Kiệu,Trường THCS Cầu Kiệu
5828,THPT GO DEN,Trường THPT Gò Đen
5829,trường trung học phổ thông thới long,Trường THPT Thới Long
5830,Trường THPT Nguyễn Văn Linh F7 Q8,Trường THPT Nguyễn Văn Linh
5831,Trường THPT Phan Thiết,Trường THPT Phan Thiết
5832,HGH,Nội tiết tố tăng trưởng
5833,hhh,Triple H
5834,Đại Học Quốc Tế Miền Đông,Đại học Quốc tế Miền Đông
5835,thpt mỹ lạc,Trường THPT Mỹ Lạc
5836,Trung Học Phổ Thông Tam Nông,Trường THPT Tam Nông
5837,"THPT Phước Long Quận 9 , TP HCM",Trường THPT Phước Long
5838,trung hoc co so hoa tan,Trường THCS Hòa Tân
5839,THPT chuyên Thăng Long - Đà Lạt,Trường THPT chuyên Thăng Long
5840,Trường TH THCS THPT Hòa Bình,Hệ thống trường Hòa Bình - La Trobe
5841,"THPP Lê Lợi,Đông Hà,Quảng Trị",Trường THPT Lê Lợi
5842,"Trường cấp 2, 3 Mang Thít",Trường THCS - THPT Mỹ Phước
5843,thpt nguyễn thần hiến,Trường THPT Nguyễn Thần Hiến
5844,Trường Tiểu Học Lê Lợi,Trường tiểu học Lê Lợi
5845,Trường Thcs Trần Cao Vân -,Trường THCS Trần Cao Vân
5846,Truong thpt ong ick khiêm,Trường THPT ông ích khiêm
5847,Trường THPT Nguyễn Minh Quang,Trường THPT Nguyễn Minh Quang
5848,Cao Đẳng Sư Phạm Kiên Giang,Trường Cao Đẳng Sư Phạm Kiên Giang
5849,Trường cao đẳng Công Nghiệp Thực Phẩm TP. HCM,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh
5850,東京国際大学 Tokyo International University（TIU）,Đại học Quốc tế Tōkyō (東京国際大学)
5851,Đại học Tài chính Kế toán Hà Nội,Học viện tài chính
5852,THPT Hùng Vương,Trường THPT Hùng Vương
5853,THPT Tôn Đức Thắng - Ninh Thuận,Trường THPT Tôn Đức Thắng
5854,THCS Nguyen Van Quy,Trường THCS Nguyễn Văn Quỳ
5855,THCS Mạc Đĩnh Chi - Tây Ninh,Trường THCS Mạc Đĩnh Chi
5856,ngyen binh khiem,Nguyễn Bỉnh Khiêm
5857,"THPT AN NINH, LONG AN",Trường THPT An Ninh
5858,Sun Yat - Sen University,Sun Yat-sen University
5859,Truong THPT Nguyen An Ninh,Trường THPT Nguyễn An Ninh
5860,Trường THPT Đô Lương III,Trường THPT Đô Lương 3
5861,Hoc Vien Bao chi va Tuyen truyen Ha Noi,Học viện Báo chí & Tuyên truyền
5862,Trường THPT An Nhơn Tây Củ Chi,Trường THPT An Nhơn Tây
5863,thcs Ly tu trong tphcm,Trường Trung Học Cơ Sở Lý Tự Trọng
5864,TRƯỜNG THPT THANH CHƯƠNG 1,Trường THPT Thanh Chương I
5865,trường THPT Thành Phố Sóc Trăng,Trường THPT Thành phố Sóc Trăng
5866,Trung hoc co so Phu Dinh,Trường THCS Phú Định
5867,Trường THPT BÌNH THẠNH,Trường THPT Bình Thanh
5868,THPT Hồng Ngự I,Trường THPT Hồng Ngự 1
5869,Trường THPT Chuyên Ban Tân Phú - Đồng Nai,Trường THPT Tân Phú
5870,Trường THPT Lương Văn Can- Quận 8,Trường THPT Lương Văn Can
5871,DAI HOC LUAT TPHCM,Trường Đại học Luật TP.HCM
5872,trung cap xay dung,Trường Trung cấp xây dựng Hà Nội
5873,Trường THPT Nguyễn An Ninh,Trường THPT Nguyễn An Ninh
5874,Trung Tam Giao Duc Thuong Xuyen Quan PHU NHUAN,Trung Tâm Giáo Dục Nghề Nghiệp - Giáo Dục Thường Xuyên Quận Phú Nhuận
5875,Trung Học Cơ Sở Đức Lập,Trường THCS Đức Lập
5876,Trung học cơ sở Nguyễn Đức Cảnh,Trường THCS Nguyễn Đức Cảnh
5877,"Trường THPT Lý Thường Kiệt, Tp Hà Nội",Trường THPT Lý Thường Kiệt
5878,Garhwal University,Hemvati Nandan Bahuguna Garhwal University
5879,THPT Nguyễn Chí Thanh,Trường THPT Nguyễn Chí Thanh
5880,THCS TRẦN QUỐC TUẤN - Quận 7 - Thành phố Hồ Chí Minh,Trường THCS Trần Quốc Tuấn
5881,Trường Cao Đẳng Y Tế Bình Thuận,Trường Cao Đẳng Y Tế Bình Thuận
5882,THPT Bắc Bình-Bình THuận,Trường THPT Bắc Bình
5883,"THCS Quang Trung, Gò Vấp",Trường THCS Quang Trung
5884,"Trường Trung học phổ thông Lê Quý Đôn, Thành phố Hồ Chí Minh",Trường THPT Lê Quý Đôn
5885,THCS Lê Lợi Đà Nẵng,Trường THCS Lê Lợi
5886,Trường Trung Học cơ sở Bình Minh,Trường THCS Bình Minh
5887,Cao Đẳng Công Nghiệp Việt Đức,Trường Cao đẳng Công nghiệp Việt Đức
5888,Trường THCS Lộc Thành,Trường THCS Lộc Thành
5889,THPT KIM BANG B,THPT B Kim Bảng
5890,Trường THPT Trần Đại Nghĩa,Trường THPT Trần Đại Nghĩa
5891,Trường THPT DL Thanh Bình,"Trường TH, THCS và THPT Thanh Bình"
5892,ĐH Văn Hóa - Hà Nội,Trường Đại học Văn hóa Hà Nội
5893,trường THCS Nguyễn Trãi  Quận Bình Tân,Trường THCS Nguyễn Trãi
5894,THPH PHUOC LONG,Trường THPT Phước Long
5895,Trường Cao đẳng Nghề Vĩnh Long,Trường Cao đẳng nghề Vĩnh Long
5896,lê đình chinh q11,Trường Tiểu học Lê Đình Chinh
5897,THPT Ân Thi,Trường THPT Ân Thi
5898,truong tcdl Hoa sua,Trường Trung cấp Kinh tế Du lịch Hoa Sữa
5899,ĐH văn hóa nghệ thuật quân đội,Trường Đại học Văn hóa Nghệ thuật Quân đội
5900,THPT AN LẠC,Trường THPT An Lạc
5901,CĐ KT KT PHú LÂm,Trường Cao đẳng Kinh tế - Kỹ thuật Thương mại
5902,THCS An Phú Đông quận12,Trường Thcs An Phú Đông
5903,THPT Lương Phú - Thái Nguyên,Trường THPT Lương Phú
5904,Trường Cao Đẳng Đức Trí Đà Nẵng,Trường Cao đẳng Đức Trí
5905,THCS Binh Hung Hoa,Trường THCS Bình Hưng Hòa
5906,THCS Bình Hưng Hòa,Trường THCS Bình Hưng Hòa
5907,Hong Kong Baptist University 香港浸會大學,Hong Kong Baptist University (香港浸會大學)
5908,Trường THPT Vĩnh Cửu,Trường THPT Vĩnh Cửu
5909,thcs thanh phu,Trường THCS THANH PHÚ
5910,THCS long binh,Trường THCS Long Bình
5911,Trường THCS - THPT Tân Phú - Sài Gòn,Trường TH-THCS-THPT Tân Phú
5912,Trường Đại Học Duy Tân,Trường Đại Học Duy Tân
5913,Công ty TNHH Quảng cáo truyền thông Lam Sơn-TH,Công Ty TNHH Quảng Cáo Truyền Thông Lam Sơn
5914,THCS Ngô Quyền,Trường THCS Ngô Quyền
5915,Ttgdtx_tan phu,Trung tâm GDTX quận Tân Phú
5916,Trường DLQT Việt Úc,Trường Liên Cấp Việt Úc
5917,cap 3 viet tri,Trường THPT Việt Trì
5918,Trường THCS số 1 Đồng Sơn,Trường THCS số 1 Đồng Sơn
5919,co so Dong Khoi,Trường THCS Đồng Khởi
5920,truong PTTH Ky Anh,Trường THPT Kỳ Anh
5921,Trường Đại học Thủy lợi - Cơ sở 2,Trường Đại Học Thủy Lợi
5922,thpt soc son,Trường THPT Sóc Sơn
5923,su pham ky thuat nam dinh,Trường Đại học Sư phạm Kỹ thuật Nam Định
5924,An Thuong-Hoai Duc-Ha Noi,An Thượng
5925,THPT CHUC DONG,Trường THPT Chúc Động
5926,THPT Phan Thành Tài,Trường THPT Phan Thành Tài
5927,Trung học phổ thông Hoài Đức B,Trường THPT Hoài Đức B
5928,Thptcambinh,Trường THPT Cẩm Bình
5929,ĐH Công nghiệp Hà Nội,Trường Đại học Công nghiệp Hà Nội
5930,Trường THPT Trần Hưng Đạo-Mỹ tho,Trường THPT Trần Hưng Đạo
5931,THCS an khanh b. TTGD HOAI DUC.,Trường Tiểu Học An Khánh B
5932,THPT Tư Thục Bình Minh - Hà Nội,Trường mầm non tư thục Bình Minh
5933,trường cao đẳng sư phạm hải dương,Trường cao đẳng sư phạm hải dương
5934,Trường Cao Đẳng Xây dựng số 1,Trường Cao Đẳng Xây dựng Số 1
5935,DH Hồng Đức,Trường Đại Học Hồng Đức
5936,Đại Học Dân Lập Hải Phòng -  Haiphong Private University,Đại học Quản lý và Công nghệ Hải Phòng
5937,THTP Cầm Bá Thước,Trường THPT Cầm Bá Thước
5938,THPT ĐỒNG ĐẬU,Trường THPT Đồng Đậu
5939,"THPT Trần Quý Cáp, Ninh Hòa, Khánh Hòa",Trường THPT Trần Quý Cáp
5940, VNU Hanoi University of Languages and International Studies,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội (University of Languages & International Studies (ULIS))"
5941,Trường THPT Phủ Lý A,Trường THPT A Phủ Lý
5942,Trường THPT Hoài Đức B,Trường THPT Hoài Đức B
5943,Đại Học Điện Lực Hà Nội,Trường Đại học Điện Lực
5944,Trường Đại Học Công Nghiệp TP.HCM,Trường Đại học Công nghiệp TP.HCM
5945,THPT  Hoài Đức B - Hà Nội,Trường THPT Hoài Đức B
5946,Cao Đẳng Nghề Bách Khoa Hà Nội,Trường Cao đẳng nghề Bách Khoa Hà Nội
5947,THCS Xuan Khang,Trường THCS Xuân Khang
5948,Trường THPT Chúc Động,Trường THPT Chúc Động
5949,Trường THPT Tiền Phong,Trường THPT Tiền Phong
5950,Trường THCS Châu Khê,Trường THCS Châu Khê
5951,Trường Cao đẳng nghề Bách Khoa Hà Nội - HACTECH,Trường Cao đẳng nghề Bách Khoa Hà Nội
5952,trung tâm giáo dục thường xuyên Hoài Đức,Trung Tâm Giáo Dục Thường Xuyên Huyện Hoài Đức
5953,Cao đẳng Du Lịch Hà Nội,Trường Cao Đẳng Du Lịch Hà Nội
5954,Trường Trung Cấp Hồng Hà,Trường Trung Cấp Hồng Hà
5955,THPT Minh Khai - Quốc Oai - Hà Nội,Trường Trung Học Phổ Thông Minh Khai Quốc Oai
5956,THPT Chuong Mi A,Trường THPT Chương Mỹ A
5957,Trường THCS Ngô Sĩ Liên Chương Mỹ,Trường THCS Ngô Sỹ Liên
5958,Trường THPT Hoài Đức B,Trường THPT Hoài Đức B
5959,THPT Hoàng Văn Thụ,Trường THPT Hoàng Văn Thụ
5960,GDTX Phú Nhuận,Trung Tâm Giáo Dục Nghề Nghiệp - Giáo Dục Thường Xuyên Quận Phú Nhuận
5961,Truong THPT Tinh Gia 2,Trường THPT Tĩnh Gia 2
5962,Trường Cao Đẳng Kinh Tế - Kỹ Thuật Thương Mại,Trường Cao đẳng Kinh tế - Kỹ thuật Thương mại
5963,Trung Học Phổ Thông Tĩnh Gia 5 (Bán công số 1 Tĩnh Gia ),Trường THPT Tĩnh Gia 5
5964,DH Xay Dung Mien Trung,"Trường Đại học Xây dựng Miền Trung, Cơ Sở B"
5965,DAI HOC CONG NGHIEP THUC PHAM TP.HCM,Trường Đại học Công nghiệp Thực phẩm Thành phố Hồ Chí Minh
5966,Trường Cao Đẳng Nghề Việt Nam - Singapore,Trường Cao đẳng nghề Việt Nam Singapore
5967,THPT h0aj duc B,Trường THPT Hoài Đức B
5968,Trường THPT Quan Sơn,Trường THPT Quan Sơn
5969,Truog cao dag nghe co gioi ninh binh,Trường Cao đẳng Cơ Giới Ninh Bình
5970,Truong cao dang nghe co gioi ninh binh,Trường Cao đẳng Cơ Giới Ninh Bình
5971,Trường THPT Như Thanh,TRƯỜNG THPT NHƯ THANH
5972,Trường THCS An Thượng,Trường THCS An Thượng
5973,THPT Binh Luc A,Trường THPT A Bình Lục
5974,DH Dan Lap Dong Do,Trường Đại Học Dân Lập Đông Đô
5975,Trường Trung Học phổ thông Cần Đước,Trường THPT Cần Đước
5976,THCS Võng Xuyên,Trường THCS Võng Xuyên
5977,THPT NGOC TAO,Ngọc Tảo Phúc Thọ Hà Nội
5978,dai hoc bach khoa ha noi,Trường Đại học Bách khoa Hà Nội
5979,TRUNG HOC PHO THONG VO TRUONG TOAN,Trường THPT Võ Trường Toản
5980,Trường THCS Huỳnh Văn Nghệ - Gò Vấp,Trường THCS Huỳnh Văn Nghệ
5981,THPT Dương Xá - Hà Nội,Trường THPT Dương Xá
5982,Đại Học KTCN Thái Nguyên,Trường Đại Học Kỹ Thuật Công Nghiệp
5983,THPT Yên Viên,Trường THPT Yên Viên
5984,Cao đẳng Dược Hà Nội,Trường Cao đẳng Y Dược Pasteur Hà Nội
