,text,normed_text,clean_text
18815,Trường Trung Cấp Y Tế Vĩnh Long,Trường Trung Cấp Y Tế Vĩnh Long,TC Y Tế Vĩnh Long
18816,THCS HOA MINH B,Trường Trung học cơ sở Hoà Minh B,Trung học cơ sở Hoà Minh B
18817,Trường THPT Trần Văn Thành,Trường THPT Trần Văn Thành,THPT Trần Văn Thành
18818,THPT chau thanh1,Trường THPT Châu Thành I,THPT Châu Thành I
18819,lao dong va xa hoi,Trường Đại học Lao động - Xã hội,Đại học Lao động - Xã hội
18820,THCS trần hưng đạo-cần thơ,Trường Trung Học Cơ Sở Trần Hưng Đạo,Trung Học Cơ Sở Trần Hưng Đạo
18821,THPT Binh Phuc Nhat,Trường THPT Bình Phục Nhứt,THPT Bình Phục Nhứt
18822,Trường THPT Năng khiếu Đại học Tân Tạo,Trường THPT Năng Khiếu Đại Học Tân Tạo,THPT Năng Khiếu Đại Học Tân Tạo
18823,THCS Hòa Thành,Trường Thcs Hòa Thành,Thcs Hòa Thành
18824,Trường THPT Lương Sơn,Trường THPT Lương Sơn,THPT Lương Sơn
18825,Trường Trung Học Cơ Sở Thuận An,Trường THCS Thuận An,THCS Thuận An
18826,THPT Tứ Kiệt,Trường THPT Tứ Kiệt,THPT Tứ Kiệt
18827,Cao Đẳng Nghề Cơ Điện Xây Dựng Việt Xô,Trường Cao đẳng nghề cơ điện xây dựng Việt Xô,Cao đẳng nghề cơ điện xây dựng Việt Xô
18828,Trường THPT Hồ Thị Nhâm,Trường THPT Hồ Thị Nhâm,THPT Hồ Thị Nhâm
18829,Trường TH Lý Tự Trọng,Trường Tiểu học Lý Tự Trọng,Tiểu học Lý Tự Trọng
18830,THCS va THPT Thanh Thang,Trường THCS-THPT Thạnh Thắng,THCS-THPT Thạnh Thắng
18831,ptth dong thanh,Trường THPT Đông Thành,THPT Đông Thành
18832,THPT Nguyễn Đình Chiểu - Bến Tre,Trường THPT Nguyễn Đình Chiểu,THPT Nguyễn Đình Chiểu
18833,THPT TQB,Trường THCS & THPT Tạ Quang Bửu,THCS & THPT Tạ Quang Bửu
18834,THCS Bình Đông,Trường THCS Bình Đông,THCS Bình Đông
18835,Trường THCS Đông Thuận,Thcs Đông Thuận,hcs Đông Thuận
18836,Trung học phổ thông nguyễn tất thành,Trường THCS & THPT Nguyễn Tất Thành,THCS & THPT Nguyễn Tất Thành
18837,Truong THPT Nguyễn Dáng,Trường Trung Học Phổ Thông Nguyễn Đáng,Trung Học Phổ Thông Nguyễn Đáng
18838,"Thành phố Hồ Chí Minh, Hồ Chí Minh, Vietnam",Hồ Chí Minh,Hồ Chí Minh
18839,Trường THPT Tập Sơn,Trường THPT Tập Sơn,THPT Tập Sơn
18840,Trường THPT Võ Văn Kiệt,Trường THPT Võ Văn Kiệt,THPT Võ Văn Kiệt
18841,Đại học Cần Thơ,Đại học Cần Thơ,Đại học Cần Thơ
18842,Cao dang su pham tw tp hcm,Trường Cao đẳng Sư phạm Trung ương TP.HCM,Cao đẳng Sư phạm Trung ương TP.HCM
18843,"Trường THPT Giổng Riềng, huyện Giồng Riềng, tỉnh Kiên Giang",Trường THPT Giồng Riềng,THPT Giồng Riềng
18844,OU - Khoa Luật,Khoa Luật,Khoa Luật
18845,Trung tâm Giáo dục thường xuyên An Giang,Trung tâm Giáo dục Thường xuyên tỉnh An Giang,Giáo dục Thường xuyên tỉnh An Giang
18846,ĐH Bách Khoa Hóa - TP.HCM,Khoa Kỹ Thuật Hóa Học - Đại Học Bách Khoa,Khoa Kỹ Thuật Hóa Học - Đại Học Bách Khoa
18847,DHYD Can Tho,Trường Đại học Y Dược Cần Thơ,Đại học Y Dược Cần Thơ
18848,PTTH Thoai Ngoc Hau - LX - AG,Trường THPT chuyên Thoại Ngọc Hầu,THPT chuyên Thoại Ngọc Hầu
18849,Dhydtphcm,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
18850,THPT Nguyễn Trãj,Trường THPT Nguyễn Trãi - Ba Đình,THPT Nguyễn Trãi - Ba Đình
18851,TRUONH DAI HOC SAI GON,Trường Đại học Sài Gòn,Đại học Sài Gòn
18852,Trường Thpt Tenloman,Trường THPT Trần Đại Nghĩa,THPT Trần Đại Nghĩa
18853,THPT Long Hữu,Trường THPT Long Hữu,THPT Long Hữu
18854,Trường THPT Tân Hiệp,Trường THPT Tân Hiệp,THPT Tân Hiệp
18855,"Xã Bình Hàng Tây, Cao Lãnh, Đồng Tháp",Bình Hàng Tây,Bình Hàng Tây
18856,THPT Pham Thai Buong,Trường THPT Phạm Thái Bường,THPT Phạm Thái Bường
18857,Trường THPT Dân Tộc Nội Trú Lào Cai,Trường THPT Dân tộc Nội trú Lào Cai,THPT Dân tộc Nội trú Lào Cai
18858,truong THPT Xuan Loc,Trường THPT Xuân Lộc,THPT Xuân Lộc
18859,Truong THPT Dai An,Trường THPT Đại An,THPT Đại An
18860,Trường Trung Học Cơ Sở Thuận An,Trường THCS Thuận An,THCS Thuận An
18861,THCS Sơn Định,Trường THCS Sơn Định,THCS Sơn Định
18862,"THCS Bình Tây,Q.6-tp.HCM",Trường THCS Bình Tây,THCS Bình Tây
18863,Trường Trung Học Phổ Thông Phú Quốc,Trường THPT Phú Quốc,THPT Phú Quốc
18864,THPTtruongdinh,Trường THPT Trương Định,THPT Trương Định
18865,"Trường THCS Khánh Bình Tây, huyện Trần Văn Thời, tỉnh Cà Mau",Trường THCS Khánh Bình Tây,THCS Khánh Bình Tây
18866,"THPT Nguyễn Trãi Trảng Bàng, Tây Ninh",Trường THPT Nguyễn Trãi,THPT Nguyễn Trãi
18867,pho thong phong phu,Trường THPT Phong Phú,THPT Phong Phú
18868,TTGDTX Q6,Trung Tâm Giáo Dục Thường Xuyên,Giáo Dục Thường Xuyên
18869,Trường THPT Phan Văn Hùng,Trường THPT Phan Văn Hùng,THPT Phan Văn Hùng
18870,THPT Long Khánh Duyên Hải Trà Vinh,Trường THPT Long Khánh - Trà Vinh,THPT Long Khánh - Trà Vinh
18871,dai hoc hong bang,Đại Học Quốc Tế Hồng Bàng,Đại Học Quốc Tế Hồng Bàng
18872,Trường  THCS Lâm Tân,Trường THCS Lâm Tân,THCS Lâm Tân
18873,THPT XUÂN TÔ.,Trường THPT Xuân Tô,THPT Xuân Tô
18874,Trường THPT Quốc Thái,Trường THPT Quốc Thái,THPT Quốc Thái
18875,"THPT  Trần Văn Bảy, Thạnh Trị, Sóc Trăng",Trường THPT Trần Văn Bảy,THPT Trần Văn Bảy
18876,THPT Châu Thành 1,Trường THPT Châu Thành I,THPT Châu Thành I
18877,THPT Phạm Thành Trung - Tiền Giang,Trường THPT Phạm Thành Trung,THPT Phạm Thành Trung
18878,trung học phổ thông phạm thành trung,Trường THPT Phạm Thành Trung,THPT Phạm Thành Trung
18879,PTTH Vi Thanh,Trường THPT Vị Thanh,THPT Vị Thanh
18880,Trường THPT Hựu Thành,Trường THPT Hựu Thành,THPT Hựu Thành
18881,Đại học công an TP.HCM,Trường Đại học Cảnh sát Nhân dân,Đại học Cảnh sát Nhân dân
18882,"THPT  Bình Phục Nhứt, Chợ Gạo, Tiền Giang",Trường THPT Bình Phục Nhứt,THPT Bình Phục Nhứt
18883,thcs thanh thoi an,Trường THCS Thạnh Thới An,THCS Thạnh Thới An
18884,THCS Đoàn Thị Nghiệp,Trường THCS Đoàn Thị Nghiệp,THCS Đoàn Thị Nghiệp
18885,THCS Lưu Văn Lang,Trường THCS Lưu Văn Lang,THCS Lưu Văn Lang
18886,Trường Trung Học Cơ Sở Đoàn Kết,Trường THCS Đoàn Kết,THCS Đoàn Kết
18887,Đông Tây Promotion,Đông Tây Promotion,Đông Tây Promotion
18888,Truong THPT Vo Van Kiet,Trường THPT Võ Văn Kiệt,THPT Võ Văn Kiệt
18889,"THPT Lê Thị Riêng, Hòa Bình, Bạc Liêu",Trường THPT Lê Thị Riêng,THPT Lê Thị Riêng
18890,Trường Trung Học cơ sở Sơn Định,Trường THCS Sơn Định,THCS Sơn Định
18891,Trường THCS Phường 1,Trường THCS Phường 1,THCS Phường 1
18892,Đại học Cửu Long,Trường Đại học Cửu Long,Đại học Cửu Long
18893,cơ sở Lê Lợi,Trường THCS Lê Lợi,THCS Lê Lợi
18894,truong trung hoc pho thong cay duong,Trường Trung Học Phổ Thông Cây Dương,Trung Học Phổ Thông Cây Dương
18895,THPT MANGTHIT,Trường THPT Mang Thít,THPT Mang Thít
18896,THCS Tân Tiến,Trường THCS Tân Tiến,THCS Tân Tiến
18897,Trường THPT Nguyễn Hiếu Tự,Trường THPT Nguyễn Hiếu Tự (cơ sở 1),THPT Nguyễn Hiếu Tự
18898,Truong THPT Tra Noc,Trường THCS Trà An,THCS Trà An
18899,Truong THPT hòn đất-kiên giang,Trường THPT Hòn Đất,THPT Hòn Đất
18900,thcs Long Hưng B,Trường THCS Long Hưng B (cũ),THCS Long Hưng B
18901,Đại học Nam Cần Thơ,Trường Đại học Nam Cần Thơ,Đại học Nam Cần Thơ
18902,THCS thới thuận 1,Trường THCS & THPT Thới Thuận,THCS & THPT Thới Thuận
18903,THPT Long phu,Trường THCS - THPT Long Phú,THCS - THPT Long Phú
18904,Thpt Dai An,Trường THPT Đại An,THPT Đại An
18905,THCS-THPT Tân Phú,Trường TH-THCS-THPT Tân Phú,TH-THCS-THPT Tân Phú
18906,cao dag ky thuat cao thag,Trường Cao đẳng Kỹ thuật Cao Thắng,Cao đẳng Kỹ thuật Cao Thắng
18907,Trường Trung Học Phổ Thông Tây Sơn,Trường THPT Tây Sơn,THPT Tây Sơn
18908,Truong THPT Vo Van Kiet,Trường THPT Võ Văn Kiệt,THPT Võ Văn Kiệt
18909,CDSP Nghe An,Trường Cao đẳng Sư phạm Nghệ An,Cao đẳng Sư phạm Nghệ An
18910,THCS TÂN TẠO A,Trường THCS Tân Tạo A,THCS Tân Tạo A
18911,Ton Duc Thang University,Trường Đại học Tôn Đức Thắng,Đại học Tôn Đức Thắng
18912,trung hoc sadec,Trường Trung học phổ thông Thành phố Sa Đéc,Trung học phổ thông Thành phố Sa Đéc
18913,"THPT  Nguyễn Thông, Châu Thành, Long An",Trường THPT Nguyễn Thông,THPT Nguyễn Thông
18914,THCS Thị Trấn Phong Điền Cần Thơ,Trường THCS Thị Trấn Phong Điền,THCS Thị Trấn Phong Điền
18915,THPT Diệp Minh Châu,Trường THPT Diệp Minh Châu,THPT Diệp Minh Châu
18916,THPT TRương Vĩnh Ký Bến Tre,Trường THPT Trương Vĩnh Ký,THPT Trương Vĩnh Ký
18917,Thpt Nguyen Viet Khai,Trường THPT Nguyễn Việt Khái,THPT Nguyễn Việt Khái
18918,Truong THPT Chuong Binh Le (An Giang),Trường THPT Dân lập Chưởng Binh Lễ,THPT Dân lập Chưởng Binh Lễ
18919,Trường THCS Tân Hiệp,Trường Trung Học Cơ Sở Tân Hiệp,Trung Học Cơ Sở Tân Hiệp
18920,THCS Hậu Giang Q6,Trường THCS Hậu Giang,THCS Hậu Giang
18921,Trường THPT Tân Châu,Trường THPT Tân Châu (cơ sở 1),THPT Tân Châu
18922,Trung Cấp Đại Học Y Dược TP.HCM,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
18923,THCS Ngô Quang Nhã,Trường THCS Ngô Quang Nhã,THCS Ngô Quang Nhã
18924,Trung cấp Kỹ thuật - Nghiệp vụ Kiên Giang,Trường Trung cấp Kỹ thuật - Nghiệp vụ Kiên Giang,TC Kỹ thuật - Nghiệp vụ Kiên Giang
18925,THPT VÕ GIỮ,Trường THPT Võ Giữ,THPT Võ Giữ
18926,"THPT Hòn Đất, Kiên Giang",Trường THPT Hòn Đất,THPT Hòn Đất
18927,thpt cầu ngang b,Trường THPT Cầu Ngang B,THPT Cầu Ngang B
18928,THPT ĐOÀN VĂN TỐ,Trường THPT Đoàn Văn Tố,THPT Đoàn Văn Tố
18929,"Lương Quới, Huyện Giồng Trôm, Bến Tre",Lương Qưới,Lương Qưới
18930,THCS trung an,Trường Tiểu học Trung An,Tiểu học Trung An
18931,THCS Nguyễn Tuấn Việt,Trường THCS Nguyễn Tuấn Việt,THCS Nguyễn Tuấn Việt
18932,　호치민시한국학교 Korean International School in HCMC,Trường Quốc Tế Hàn Quốc (호치민시 한국국제학교),Quốc Tế Hàn Quốc
18933,Trung hoc co so hoa dien,Trường THCS Hòa Điền,THCS Hòa Điền
18934,Cao Đẳng Kỹ Thuật Cao Thắng,Trường Cao đẳng Kỹ thuật Cao Thắng,Cao đẳng Kỹ thuật Cao Thắng
18935,Thpt Trần Cao Vân . :3,"Trường THPT Trần Cao Vân - Trường Bán Trú, Nội Trú chất lượng cao tại TP HCM - Tuyển sinh lớp 10","THPT Trần Cao Vân - Trường Bán Trú, Nội Trú chất lượng cao tại TP HCM - Tuyển sinh lớp 10"
18936,THCS Xuân Diệu - Tp. Mỹ Tho,Trường THCS Xuân Diệu,THCS Xuân Diệu
18937,Trung hoc pho thong an thanh 3,Trường Trung Học Phổ Thông An Thạnh 3,Trung Học Phổ Thông An Thạnh 3
18938,Truong THPT AnThanh3,Trường THPT An Thạnh 3 Cũ,THPT An Thạnh 3 Cũ
18939,"THPT Tứ Kiệt,Cai lậy,Tiền Giang",Trường THPT Tứ Kiệt,THPT Tứ Kiệt
18940,"THCS Nguyễn Công Trứ, Xuân Hưng, Xuân Lộc, Đồng Nai",Trường THCS Nguyễn Công Trứ,THCS Nguyễn Công Trứ
18941,THPT Tran Dai Nghia,Trường THPT Trần Đại Nghĩa,THPT Trần Đại Nghĩa
18942,THCS Nguyễn Bỉnh Khiêm Biên Hòa - Đồng Nai,Trường THCS Nguyễn Bỉnh Khiêm,THCS Nguyễn Bỉnh Khiêm
18943,"THCS Ba Đình, Quận 5, Tp.HCM",Trường THCS Ba Đình,THCS Ba Đình
18944,Thpt quang trong hoàng,Trường THPT Quản Trọng Hoàng,THPT Quản Trọng Hoàng
18945,THPT Hùng Vương,Trường THPT Hùng Vương,THPT Hùng Vương
18946,THCS Hậu Thành,Trường Trung Học Cơ Sở Hậu Thành,Trung Học Cơ Sở Hậu Thành
18947,THPT Ischool Sóc Trăng,"Trường TH, THCS và THPT iSchool Sóc Trăng","TH, THCS và THPT iSchool Sóc Trăng"
18948,Truong THCS Bach Dang,Trường THCS Bạch Đằng,THCS Bạch Đằng
18949,Trường Cao Đẳng Nghề Đà Lạt,Trường Cao Đẳng Nghề Đà Lạt,Cao Đẳng Nghề Đà Lạt
18950,Trường THCS Phú Định,Trường THCS Phú Định,THCS Phú Định
18951,Truong THPT TP Tra Vinh,Trường THPT Thành Phố Trà Vinh,THPT Thành Phố Trà Vinh
18952,Trunghoccosothong nhat,Trường THCS Thống Nhất,THCS Thống Nhất
18953,Cao đẳng Bách khoa Hưng Yên,Trường Cao đẳng Bách khoa Hưng Yên,Cao đẳng Bách khoa Hưng Yên
18954,Đại học Thành Đô,Trường Đại học Thành Đô,Đại học Thành Đô
18955,THPT My Phuoc Tay,Trường THPT Mỹ Phước Tây,THPT Mỹ Phước Tây
18956,THCS Nguyễn Đức Cảnh quận 6 .TPHCM,Trường THCS Nguyễn Đức Cảnh,THCS Nguyễn Đức Cảnh
18957,Trung cấp nghề Lilama2,Trường cao đẳng Công Nghệ Quốc Tế Lilama 2,cao đẳng Công Nghệ Quốc Tế Lilama 2
18958,THPT LÊ Hồng Phong - Vũng Tàu,Trường THPT Lê Hồng Phong,THPT Lê Hồng Phong
18959,Trường THPT Ninh Hải,Trường THPT Ninh Hải,THPT Ninh Hải
18960,Truong THPT Le Van Tam,Trường THPT Lê Văn Tám,THPT Lê Văn Tám
18961,Trường Tiểu Học Thanh Đa,Trường Tiểu học Thanh Đa,Tiểu học Thanh Đa
18962,Truong THPT Tran Quoc Tuan,Trường PT Trần Quốc Tuấn,PT Trần Quốc Tuấn
18963,truong trung hoc co so thi tran cau ke,Trường THCS Thị trấn Cầu Kè,THCS Thị trấn Cầu Kè
18964,THPT chuyên Lương Văn Tụy- Ninh Bình,"Trường Trung học phổ thông chuyên Lương Văn Tụy, Ninh Bình","Trung học phổ thông chuyên Lương Văn Tụy, Ninh Bình"
18965,trung hoc pho thong nguyen van troi,"Trường Tiểu học, THCS & THPT Nguyễn Siêu","Tiểu học, THCS & THPT Nguyễn Siêu"
18966,Truong THCS tan hung,Trường THCS Tân Hưng,THCS Tân Hưng
18967,Trung Tâm Giáo Dục Thường Xuyên Quận Thủ Đức,Công Ty TNHH Nguồn Nhân Lực Ánh Mai,Công Ty TNHH Nguồn Nhân Lực Ánh Mai
18968,Trường PTTH Phú Nhuận,Trường THPT Phú Nhuận,THPT Phú Nhuận
18969,TT GDTX - Chu Văn An,Trung Tâm GDTX Chu Văn An,GDTX Chu Văn An
18970,THPT Nguyễn Hữu Cảnh (Chợ Mới - An Giang),Trường THPT Nguyễn Hữu Cảnh,THPT Nguyễn Hữu Cảnh
18971,THPT ĐẠI ĐỒNG,Trường THPT Đại Đồng,THPT Đại Đồng
18972,Truong THPT Đức Huệ,Trường THPT Đức Huệ,THPT Đức Huệ
18973,THPT Lê Ngọc Hân Mỹ Tho TG,THCS Lê Ngọc Hân,THCS Lê Ngọc Hân
18974,THPT Nguyen Huu Quang,Trường THPT Nguyễn Hữu Quang,THPT Nguyễn Hữu Quang
18975,Tư Nghĩa 1,Trường THPT số 1 Tư Nghĩa,THPT số 1 Tư Nghĩa
18976,truong THPT nguyen hue quang tri,Trường THPT Nguyễn Huệ - TX Quảng Trị,THPT Nguyễn Huệ - TX Quảng Trị
18977,THCS Hưng Đạo,Trường THCS Hưng Đạo,THCS Hưng Đạo
18978,Trung hoc pho thong Dai Ngai,Trường THPT Đại Ngãi,THPT Đại Ngãi
18979,THPT Nguyen Duy Hieu -Dien Ban,Trường THPT Nguyễn Duy Hiệu,THPT Nguyễn Duy Hiệu
18980,ĐH KHTN TP.HCM,Trường Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM,Đại học Khoa học Tự nhiên - Đại học Quốc Gia TP.HCM
18981,TTHCS Vĩnh Lộc A,Trường THCS Vĩnh Lộc A,THCS Vĩnh Lộc A
18982,THCS TÂN THẠNH ĐÔNG,Trường THCS Tân Thạnh Đông,THCS Tân Thạnh Đông
18983,Trường Trung học phổ thông Ngô Quyền,Thpt Ngô Quyền Đông Anh,hpt Ngô Quyền Đông Anh
18984,Trường Dạy Nghề Nấu Ăn Việt Úc,Trường Dạy Nghề Việt Úc,Dạy Nghề Việt Úc
18985,Đại học Văn hóa Tp.HCM,Trường Đại học Văn hóa TP.HCM - Cơ sở 1,Đại học Văn hóa TP.HCM - Cơ sở 1
18986,Trường THPT Vĩnh Hải.thi xa vinh chau,Trường THPT Vĩnh Hải,THPT Vĩnh Hải
18987,truong THPT thuan hung,Trường THPT Thuận Hưng,THPT Thuận Hưng
18988,Saigon South International School,Trường Quốc tế Nam Sài Gòn,Quốc tế Nam Sài Gòn
18989,ĐẠI HỌC VINH,Đại Học Vinh,Đại Học Vinh
18990,THPT Trung Nghĩa,Trường THPT Trung Nghĩa,THPT Trung Nghĩa
18991,Trường Thcs Nguyễn Du Quận 1,Trường THCS Nguyễn Du,THCS Nguyễn Du
18992,THTP Thạnh An,Trường THPT Thạnh An,THPT Thạnh An
18993,"Cao Dang cong nghiep 4,Go Vap",Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
18994,cao dang nghe ky thuat cong nghe thanh pho ho chi minh,Trường Cao Đẳng Kỹ Nghệ II,Cao Đẳng Kỹ Nghệ II
18995,THPT Lấp Vò 2,Trường THPT Lấp Vò 2,THPT Lấp Vò 2
18996,Trường THCS Tân Nhựt,Trường THCS Tân Nhựt,THCS Tân Nhựt
18997,THCS tan son,Trường THCS Tân Sơn - Q.Gò Vấp,THCS Tân Sơn - Q.Gò Vấp
18998,"THPT Hùng Vương, Quy Nhơn, Bình Định",Trường THPT Hùng Vương,THPT Hùng Vương
18999,Vanlang University (VLU) - Đại học Dân lập Văn Lang,Trường Đại học Văn Lang - Cơ sở 1,Đại học Văn Lang - Cơ sở 1
19000,Trường THPT Mường Giôn,Trường THPT Mường Giôn,THPT Mường Giôn
19001,Trường THCS Hải Tân,Trường THCS Hải Tân,THCS Hải Tân
19002,Nghĩa Hành 1,Trường THPT Số 1 Nghĩa Hành,THPT Số 1 Nghĩa Hành
19003,Quân Đôi Nhân Dân Viêt Nam,Quân đội Nhân dân Việt Nam,Quân đội Nhân dân Việt Nam
19004,THCS Phú thuận,Trường THCS Phú Thuận,THCS Phú Thuận
19005,TRUONG DAI HOC QUI NHON,Trường Đại Học Quy Nhơn,Đại Học Quy Nhơn
19006,trung hoc pho thong PHAN DANG LUU,Trường THPT Phan Đăng Lưu,THPT Phan Đăng Lưu
19007,Trung hoc pho thog tran van du,THPT Trần Văn Dư,THPT Trần Văn Dư
19008,Trường THPT số 1 An Nhơn,Trường THPT số 1 An Nhơn,THPT số 1 An Nhơn
19009,THPT An Nhơn 1 - Bình Định,Trường THPT số 1 An Nhơn,THPT số 1 An Nhơn
19010,THCS Lý Tự Trọng Quận Sơn Trà Đà Nẵng,Trường THCS Lý Tự Trọng,THCS Lý Tự Trọng
19011,THPT Trường Chinh,Trường THPT Trường Chinh,THPT Trường Chinh
19012,thpt tp tra vinh,Trường THPT Thành Phố Trà Vinh,THPT Thành Phố Trà Vinh
19013,PT Phan Bội Châu,Trường THPT Phan Bội Châu,THPT Phan Bội Châu
19014,THCS Nghĩa Trung,Trường THCS Nghĩa Trung,THCS Nghĩa Trung
19015,Trường THPT Mai Thúc Loan,Trường THPT Mai Thúc Loan,THPT Mai Thúc Loan
19016,Trường THPT Nông Sơn,Trường THPT Nông Sơn,THPT Nông Sơn
19017,THCS Phổ Thuận,Trường THCS Phổ Thuận,THCS Phổ Thuận
19018,Trung học cơ sở lăng cô,Trường THCS Lăng Cô,THCS Lăng Cô
19019,Trường Trung Học Cơ Sở Lăng Cô,Trường THCS Lăng Cô,THCS Lăng Cô
19020,truong dh sai gon,Trường Đại học Sài Gòn,Đại học Sài Gòn
19021,THPT TUY PHUOC 1,Trường THPT Số 1 Tuy Phước,THPT Số 1 Tuy Phước
19022,Trường THCS Đức Phong,Trường THCS Đức Phong,THCS Đức Phong
19023,Trường THPT Hùng Vương,Trường THPT Hùng Vương,THPT Hùng Vương
19024,Sư Phạm Qui Nhơn,Trường Đại Học Quy Nhơn,Đại Học Quy Nhơn
19025,Học Viện Âm Nhạc Quốc Gia Việt Nam - Vietnam National...,Học Viện Âm Nhạc Quốc Gia Việt Nam,Học Viện Âm Nhạc Quốc Gia Việt Nam
19026,Cao đăng công nghiêp huê,Trường Cao đẳng Công nghiệp Huế,Cao đẳng Công nghiệp Huế
19027,trường quân sự tỉnh thừa thiên huế,Bộ Chỉ Huy Quân Sự Tỉnh Thừa Thiên Huế,Bộ Chỉ Huy Quân Sự Tỉnh Thừa Thiên Huế
19028,thcs Nguyen Hien q.12,Trường THCS Nguyễn Hiền Quận 12,THCS Nguyễn Hiền Quận 12
19029,Trường Cao Đẳng Nghề Bình Thuận,Trường Cao Đẳng Nghề Tỉnh Bình Thuận,Cao Đẳng Nghề Tỉnh Bình Thuận
19030,"THPT Hương Sơn, Hà Tĩnh",Trường THPT Hương Sơn,THPT Hương Sơn
19031,Trường THPT Trưng Trắc - Huế,Trường THPT Hai Bà Trưng,THPT Hai Bà Trưng
19032,thc thanh đức,Trường THCS Thanh Đức,THCS Thanh Đức
19033,Trường THPT Phù Cát 1,Trường THPT Số 1 Phù Cát,THPT Số 1 Phù Cát
19034,TPHCM,Hồ Chí Minh,Hồ Chí Minh
19035,Trường THCS Phan Bội Châu,"Trường THCS Phan Bội Châu, Tứ Kỳ, Hải Dương","THCS Phan Bội Châu, Tứ Kỳ, Hải Dương"
19036,Trường Cao Đẳng Công Nghệ Thông Tin Hữu Nghị Việt Hàn - Viethanit,Trường Đại học Công nghệ Thông tin và Truyền thông Việt - Hàn,Đại học Công nghệ Thông tin và Truyền thông Việt - Hàn
19037,THPT le trung dinh,Trường THPT Lê Trung Đình,THPT Lê Trung Đình
19038,THCS Nguyễn Thế Bảo,Trường THCS Nguyễn Thế Bảo,THCS Nguyễn Thế Bảo
19039,Trường Cao đẳng Y tế Phú Yên,Trường Cao đẳng Y tế Phú Yên,Cao đẳng Y tế Phú Yên
19040,Đại Học Đông Á_TP.Đà Nẵng,Đại Học Đông Á - Đà Nẵng,Đại Học Đông Á - Đà Nẵng
19041,THPT Huynh Ngoc Hue,Trường THPT Huỳnh Ngọc Huệ,THPT Huỳnh Ngọc Huệ
19042,Trường Cao Đẳng Kinh Tế Công Nghệ TPHCM (HIAST),Trường Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh,Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh
19043,THPT GIA HỘI,Trường THPT Gia Hội,THPT Gia Hội
19044,truong trung hoc pho thong le quang chi,Trường THPT Lê Quảng Chí,THPT Lê Quảng Chí
19045,THPT BAN CONG NAM QUANG TRACH,Trường Thpt Bán Công Nam Quảng Trạch,Thpt Bán Công Nam Quảng Trạch
19046,"THPT HÒA BÌNH,BÌNH ĐỊNH",Trường THPT Hoà Bình,THPT Hoà Bình
19047,THPT DTNT Tinh thua thien hue,Trường Phổ Thông Dân Tộc Nội Trú Tỉnh Thừa Thiên Huế,Phổ Thông Dân Tộc Nội Trú Tỉnh Thừa Thiên Huế
19048,Trường thcs điền hải,Trường THCS Điền Hải,THCS Điền Hải
19049,THCS Tam Bình,Trường THCS Tam Bình,THCS Tam Bình
19050,Trung học phổ thông Số 1 Sơn Tịnh,Trường Trung học phổ thông Số 1 Sơn Tịnh,Trung học phổ thông Số 1 Sơn Tịnh
19051,Trường THPT Hoàng Văn Thụ - Nha Trang Confessions,Trường THPT Hoàng Văn Thụ,THPT Hoàng Văn Thụ
19052,Trường THPT Thu Xà,Trường THPT Thu Xà,THPT Thu Xà
19053,TH Cơ Sở Hoài Châu,Trường Tiểu học cơ sở Hoài Châu,Tiểu học cơ sở Hoài Châu
19054,TH Cơ Sở Hoài Châu,Trường Tiểu học cơ sở Hoài Châu,Tiểu học cơ sở Hoài Châu
19055,CĐ Giao Thông Vận Tải III,Trường Cao đẳng GTVT Trung ương III,Cao đẳng GTVT Trung ương III
19056,Trung cấp kĩ thuật nghiệp vụ thăng long da nang,Trường Trung Cấp Kỹ Thuật & Nghiệp Vụ Thăng Long,TC Kỹ Thuật & Nghiệp Vụ Thăng Long
19057,THCS Phan The Phuong,Trường THCS Phan Thế Phương,THCS Phan Thế Phương
19058,Trường THCS Phan Thế Phương,Trường THCS Phan Thế Phương,THCS Phan Thế Phương
19059,Nhân Việt Highschool,Trường THPT Nhân Việt,THPT Nhân Việt
19060,Trung học phổ thông số 2 Đức Phổ,Trường THPT Số 2 Đức Phổ,THPT Số 2 Đức Phổ
19061,truong THPT so 2 duc pho,Trường THPT Số 2 Đức Phổ,THPT Số 2 Đức Phổ
19062,Thpt Thiều Văn Chỏi,Trường THPT Thiều Văn Chỏi,THPT Thiều Văn Chỏi
19063,Cao Đẳng Công Nghiệp Tuy Hoà,Trường Cao đẳng Công Thương Miền Trung,Cao đẳng Công Thương Miền Trung
19064,thpt lap vo 1,Trường THPT Lấp Vò 1,THPT Lấp Vò 1
19065,THPT Trần Cao Vân,Trường THPT Trần Cao Vân,THPT Trần Cao Vân
19066,Trường THPT Chuyên Trà Vinh,Trường THPT Chuyên Nguyễn Thiện Thành,THPT Chuyên Nguyễn Thiện Thành
19067,Đại Học FPT,Trường Đại Học FPT,Đại Học FPT
19068,THPT Trần Phú - Tuy An - Phú Yên,Trường THPT Trần phú,THPT Trần phú
