text,normed_text,normed_text_2
Đại học công nghệ thông tin TPHCM,Trường Đại học Công nghệ Thông tin ĐHQG TP.HCM,Đại học Công nghệ Thông tin ĐHQG TP.HCM
THPT Trần Văn Lan,Trường THPT Trần Văn Lan,THPT Trần Văn Lan
thcs tien du,Trường THCS Tiên Du,THCS Tiên Du
Trung câp ytế nam đinh,Trường trung cấp Y tế Nam Định,trung cấp Y tế Nam Định
Trường Trung Cấp Y Dược Tuệ Tĩnh Hà Nội,Trường Trung cấp Y Dược Tuệ Tĩnh Hà Nội,Trung cấp Y Dược Tuệ Tĩnh Hà Nội
Trung học phổ thông toàn thắng,Trường THPT Toàn Thắng,THPT Toàn Thắng
Trường Đại Học Hải Phòng,Trường Đại học Hải Phòng,Đại học Hải Phòng
Trường Cao Đẳng Nghề Hải Dương,Trường CĐ Nghề Hải Dương,CĐ Nghề Hải Dương
THPT Nam Phù Cừ,Trường THPT Nam Phù Cừ,THPT Nam Phù Cừ
Cao dang su pham Nam Dinh,Trường Cao đẳng Sư phạm Nam Định,Cao đẳng Sư phạm Nam Định
Harvard University,Đại học Harvard (Harvard University),Đại học Harvard
"THPT Võ Thị Sáu, Châu Đốc, An Giang",Trường THPT Võ Thị Sáu,THPT Võ Thị Sáu
THPT An Hải - Hải Phòng,Trường Tư Thục THPT An Hải,Tư Thục THPT An Hải
THCS Đà Nẵng,Trường THCS Đà Nẵng,THCS Đà Nẵng
Trường THPT Trần Đăng Ninh,Trường THPT Trần Đăng Ninh,THPT Trần Đăng Ninh
Trường THPT Lương Văn Tri,Trường THPT Lương Văn Tri,THPT Lương Văn Tri
THPT Thanh Miện 1,Trường THPT Thanh Miện,THPT Thanh Miện
Truong Trung hoc Co So Thanh Tung,Trường THCS Thanh Tùng,THCS Thanh Tùng
THCS Bình Minh,Trường THCS Bình Minh,THCS Bình Minh
Đại học Ngoại Ngữ - ĐHQG Hà Nội,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội","Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội"
THPT Luc Ngan So 3,Trường THPT Lục Ngạn Số 3,THPT Lục Ngạn Số 3
THPT Lục Ngạn số 3 [Bắc Giang],Trường THPT Lục Ngạn Số 3,THPT Lục Ngạn Số 3
THPT Hai Bà Trưng - Hà Nội,Trường THPT Đoàn Kết - Hai Bà Trưng,THPT Đoàn Kết - Hai Bà Trưng
THPT Nguyễn Trãi - Hải Dương,Trường Trung học phổ thông chuyên Nguyễn Trãi,Trung học phổ thông chuyên Nguyễn Trãi
THCS PHÙNG CHÍ KIÊN( junior school PHUNG CHI KIEN),Trường Mầm non GP Academy,Mầm non GP Academy
Trường Tiểu học Cam Đức 2,Trường Tiểu học Cam Đức 2,Tiểu học Cam Đức 2
Trường THPT Thăng Long - Hải Phòng,Trường THPT Thăng Long - Hải Phòng,THPT Thăng Long - Hải Phòng
Trường THPT Chuyên Trần Phú - Hải Phòng,Trường THPT Chuyên Trần Phú,THPT Chuyên Trần Phú
Trường THPT Thanh Bình - Thanh Hà - Hải Dương,THPT Thanh Bình,THPT Thanh Bình
THCS Thị Trấn Gia Lộc,Trường THCS Thị trấn Gia Lộc,THCS Thị trấn Gia Lộc
THPT Gia Lộc - Hải Dương,Trường THPT Gia Lộc,THPT Gia Lộc
Trường THCS Chu Văn An-Hải Phòng,Trường THCS Chu Văn An,THCS Chu Văn An
Trường THCS Đồng Kỳ,Trường THCS Đồng Kỵ,THCS Đồng Kỵ
Cao Dang Nghe Thai Thinh,Trường Cao đẳng nghề Công nghiệp Hà Nội,Cao đẳng nghề Công nghiệp Hà Nội
THCS pham kha,Trường THCS xã Phạm Kha,THCS xã Phạm Kha
Truong Cao Dang Nghe Mo Hong Cam,Cao Đẳng Nghề Mỏ Hồng Cẩm,Cao Đẳng Nghề Mỏ Hồng Cẩm
Trường THCS Lý Thánh Tông,Trường THCS Lý Thánh Tông,THCS Lý Thánh Tông
THPT Đồng Gia,Đồng Gia,Đồng Gia
ĐH QLKD Hà Nội,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Đại học Kinh doanh và Công nghệ Hà Nội
ĐH Kinh Doanh Và Công Nghệ Hà Nội,Trường Đại học Kinh doanh và Công nghệ Hà Nội,Đại học Kinh doanh và Công nghệ Hà Nội
"Học viện An ninh, Học viện cảnh sát, Đại học pccc",Học Viện An ninh Nhân Dân,Học Viện An ninh Nhân Dân
Trường THPT Quang Thành-Kinh Môn-Hải Dương,Trường THPT Quang Thành,THPT Quang Thành
THPT Thanh Hà,Trường THPT Thanh Hà,THPT Thanh Hà
THPT Dân Lập Hàng Hải,Trường THPT Hàng Hải,THPT Hàng Hải
THCS dong gia,THCS Đồng Gia,THCS Đồng Gia
Trường THPT Lý Bôn,Trường THPT Lý Bôn,THPT Lý Bôn
cd y te quang ninh,Cao đẳng Y tế Quảng Ninh,Cao đẳng Y tế Quảng Ninh
THPT Asetdam,Trường THPT chuyên Hà Nội - Amsterdam,THPT chuyên Hà Nội - Amsterdam
THCS Hưng Đạo -Dương Kinh - Hải Phòng,Trường Thcs Trần Hưng Đạo,Thcs Trần Hưng Đạo
THPT Yen Phong 1,Trường THPT Yên Phong số 1,THPT Yên Phong số 1
THPT Gia Lộc II - Hải Dương,Trường THPT Gia Lộc II,THPT Gia Lộc II
THPT KE SAT,Trường THPT Kẻ Sặt,THPT Kẻ Sặt
THCS Võ Thị Sáu Thành Phố Hải Dương,Trường THCS Võ Thị Sáu,THCS Võ Thị Sáu
Trường THPT Năng Khiếu Trần Phú,Trường THPT Chuyên Trần Phú,THPT Chuyên Trần Phú
Trường THPT Yên Phong số 1,Trường THPT Yên Phong số 1,THPT Yên Phong số 1
THPT Đức Hợp Confessions,Trường THPT Đức Hợp,THPT Đức Hợp
Trường THPT Chí Linh - Hải Dương,Trường THPT Chí Linh,THPT Chí Linh
THPT Tứ Kỳ,Trường THPT Tứ Kỳ,THPT Tứ Kỳ
PT Trần Nguyên HÃn,Công Ty TNHH P.T,Công Ty TNHH P.T
THPT Chuyên Thái Bình,Trường THPT Chuyên Thái Bình,THPT Chuyên Thái Bình
truong trung hoc co so Phuoc Thien,Trường THCS Phước Thiền,THCS Phước Thiền
Trường trung cấp kỹ thuật công nghiệp Nhơn Trạch,Trung Cấp Kinh Tế Kỹ Thuật Đồng Nai,ung Cấp Kinh Tế Kỹ Thuật Đồng Nai
van hoa nghe thuat va du lich nha trang,Trường Cao Đẳng Văn Hóa Nghệ Thuật Du Lịch Nha Trang,Cao Đẳng Văn Hóa Nghệ Thuật Du Lịch Nha Trang
THPT Nguyễn Hiền -Tp Đà Nẵng,Trường THPT Nguyễn Hiền,THPT Nguyễn Hiền
Cao đẳng sư phạm Đăk lăk,Trường Cao Đẳng Sư Phạm Đắk Lắk - Cơ sở 1,Cao Đẳng Sư Phạm Đắk Lắk - Cơ sở 1
Trường Cao Đẳng Thương Mại,Trường Cao đẳng Thương mại và Du lịch Hà Nội,Cao đẳng Thương mại và Du lịch Hà Nội
Truong THCS Nguyen Trong Ky,Trường THCS Nguyễn Trọng Kỷ,THCS Nguyễn Trọng Kỷ
Trường Cao đẳng Văn hóa Nghệ thuật Đà Nẵng,Trường Cao đẳng Văn hóa Nghệ thuật Đà Nẵng,Cao đẳng Văn hóa Nghệ thuật Đà Nẵng
"THCS Sào Nam, ĐN, VN",Trường THCS Sào Nam,THCS Sào Nam
THPT Thuan Hoa,Trường THPT Thuận Hòa,THPT Thuận Hòa
Truong cao dang nghe soc trang,Trường Cao đẳng nghề Sóc Trăng,Cao đẳng nghề Sóc Trăng
Truong thpt son dong so 3,Trường THPT Sơn Động số 3,THPT Sơn Động số 3
"THPT Nguyễn Hiền, TP Đà Nẵng",Trường THPT Nguyễn Hiền,THPT Nguyễn Hiền
"THPT Nguyễn Hiền , TP Đà Nẵng",Trường THPT Nguyễn Hiền,THPT Nguyễn Hiền
THPT Nguyễn Hiền - Đà Nẵng,Trường THPT Nguyễn Hiền,THPT Nguyễn Hiền
Trần Phú High School (Tân Phú District),Trường THPT Trần Phú,THPT Trần Phú
THCS Tô Hoàng,Trường THCS Tô Hoàng,THCS Tô Hoàng
Truong THPT So 2 Bo Trach - Quang Binh,Trường Trung Học Phổ Thông Số 2 Bố Trạch,Trung Học Phổ Thông Số 2 Bố Trạch
KHOA GDTC- DAI HOC HUE,"Khoa Giáo Dục Thể Chất, Đại học Huế","Khoa Giáo Dục Thể Chất, Đại học Huế"
Trường THPT Dân Lập  Lương Văn Can,Trường THPT Lương Văn Can Hà Nội,THPT Lương Văn Can Hà Nội
THCS Láng Hạ,Trường THCS Láng Hạ,THCS Láng Hạ
THCS binh da,Trường THCS Bình Đa,THCS Bình Đa
Trường THCS Lý Thường Kiệt - Đà Nẵng,Trường THCS Lý Thường Kiệt,THCS Lý Thường Kiệt
"Viện Việt - Anh, Đại học Đà Nẵng","Viện Nghiên cứu và Đào tạo Việt - Anh, Đại học Đà Nẵng","Viện Nghiên cứu và Đào tạo Việt - Anh, Đại học Đà Nẵng"
Trường THPT Xuân Diệu Tuy Phước- Bình Định,Trường THPT Xuân Diệu,THPT Xuân Diệu
Trường trung học cơ sở Trần Bá,Trường THCS Trần Bá,THCS Trần Bá
Dh phu yen,Trường Đại học Phú Yên,Đại học Phú Yên
THCS Nguyễn Thượng Hiền,Trường THCS Nguyễn Thượng Hiền,THCS Nguyễn Thượng Hiền
Trường THPT Chu Văn An Krôngpa Gia Lai,Trường THPT Chu Văn An,THPT Chu Văn An
Đại học Sài Gòn (Saigon University - SGU),Trường Đại học Sài Gòn,Đại học Sài Gòn
Trung Cap nghe duc hoa,Trường Trung Cấp Nghề Đức Hòa,Trung Cấp Nghề Đức Hòa
THCS Tân Lợi,Trường THCS Tân Lợi,THCS Tân Lợi
Trường trung cấp Kinh Tế - Kỹ Thuật Nguyễn Hữu Cảnh,Trường Trung cấp Kinh tế - Kỹ thuật Nguyễn Hữu Cảnh,Trung cấp Kinh tế - Kỹ thuật Nguyễn Hữu Cảnh
trường Đại Học Y Dược Tp.HCM,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
THCS Phước Lộc,Trường THCS Phước Lộc,THCS Phước Lộc
Truong Dai Hoc Y Duoc Tp Ho Chi Minh,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
thcs tran qui cap,Trường THCS Trần Quý Cáp,THCS Trần Quý Cáp
trường THPT cưmgar,Trường THPT Cư M'Gar,THPT Cư M'Gar
Trường Nhật ngữ SAKURA,Trung tâm Nhật ngữ Sakura,Nhật ngữ Sakura
THCS Thốt Nốt,Trường THCS Thốt Nốt,THCS Thốt Nốt
THCS Nguyễn Khuyến- Nha Trang,Trường THCS Nguyễn Khuyến,THCS Nguyễn Khuyến
THPT Hoàng Hoa Thám - Đà Nẵng,Trường THPT Hoàng Hoa Thám,THPT Hoàng Hoa Thám
E-University Đại học Duy Tân,Trường Đại Học Duy Tân,Đại Học Duy Tân
Truong THCS Huynh thi dao,Trường THCS Huỳnh Thị Đào,THCS Huỳnh Thị Đào
THPT Nguyễn Huệ - Tp Tuy Hòa,Trường THPT Nguyễn Huệ,THPT Nguyễn Huệ
Trường THPT Phước Long,Trường THPT Phước Long,THPT Phước Long
Trường THCS Nguyễn Thị Minh Khai,Trường THCS Nguyễn Thị Minh Khai,THCS Nguyễn Thị Minh Khai
THPT Nguyễn Huệ lagi,Trường THPT Nguyễn Huệ,THPT Nguyễn Huệ
THCSkimdong,Trường THCS Kim Đồng,THCS Kim Đồng
Trường THPT Phan Bội Châu-tp pleiku,Trường THPT Phan Bội Châu,THPT Phan Bội Châu
"Trường THPT Tôn Đức Thắng , Ninh Hòa, Khánh Hòa",Trường THPT Tôn Đức Thắng,THPT Tôn Đức Thắng
Cao đẳng kinh tế kĩ thuật Quảng Nam,Trường Cao đẳng Quảng Nam,Cao đẳng Quảng Nam
Đại học Công Nghiệp thành phố Hồ Chí Minh (cơ sở Quảng Ngãi),Trường Đại học Công nghiệp TP. HCM - Cơ sở IV,Đại học Công nghiệp TP. HCM - Cơ sở IV
trường THPT Ninh Hải,Trường THPT Ninh Hải,THPT Ninh Hải
cao dang HIAST,Trường Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh,Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh
THCS Dam Quan Trung,Trường THCS Đàm Quang Trung,THCS Đàm Quang Trung
THCS Dũng Sĩ Điện Ngọc,Trường THCS Dũng Sĩ Điện Ngọc,THCS Dũng Sĩ Điện Ngọc
THPT Lê Hồng Phong-Tây Hòa-Phú Yên,Trường THPT Lê Hồng Phong,THPT Lê Hồng Phong
THPT Thủ Thiêm,Trường THPT Thủ Thiêm,THPT Thủ Thiêm
THPT Tenloman,Trường THPT Trần Đại Nghĩa,THPT Trần Đại Nghĩa
TRƯỜNG QUẢN LÝ KHÁCH SẠN VIỆT ÚC,Trường Dạy Nghề Việt Úc,Dạy Nghề Việt Úc
hoc tai truong doi,Trường Đội Lê Duẩn,Đội Lê Duẩn
"Nanyang Technological University, Singapore",Đại học Công nghệ Nanyang (Nanyang Technological University),Đại học Công nghệ Nanyang
THPT Chu VanAn,Trường THPT Chu Văn An (Trường Bưởi),THPT Chu Văn An
Trường THCS Nguyễn Văn Trỗi,Trường THCS Nguyễn Văn Trỗi,THCS Nguyễn Văn Trỗi
Đại Học Quy Nhơn,Trường Đại Học Quy Nhơn,Đại Học Quy Nhơn
cao dang kjnh te ke hoach,Trường Cao đẳng Kinh tế - Kế hoạch Đà Nẵng,Cao đẳng Kinh tế - Kế hoạch Đà Nẵng
Trường PTTH Nguyễn Thiện Thuật,THPT Nguyễn Thiện Thuật,THPT Nguyễn Thiện Thuật
THPT NK Tran Phu,Trường THPT Chuyên Trần Phú,THPT Chuyên Trần Phú
Trường Sỉ Quan Thông Tin,Trường Đại học Thông tin Liên lạc,Đại học Thông tin Liên lạc
ĐH Dân Lập Văn Lang,Trường Đại học Văn Lang - Cơ sở 1,Đại học Văn Lang - Cơ sở 1
THPT Phan Boi Chau - Cam Ranh - Khanh Hoa,Trường THPT Phan Bội Châu,THPT Phan Bội Châu
trung hoc thuy san,"Trường Cao Đẳng Kinh Tế, Kỹ Thuật và Thủy Sản","Cao Đẳng Kinh Tế, Kỹ Thuật và Thủy Sản"
thcs quang thach,Trường THCS Quảng Thạch,THCS Quảng Thạch
truong THPT so 2 quang trach,Trường Trung Học Phổ Thông Số 2 Quảng Trạch,Trung Học Phổ Thông Số 2 Quảng Trạch
FPT Polytechnic,Trường Cao đẳng FPT Polytechnic,Cao đẳng FPT Polytechnic
Trường THCS và THPT Võ Văn Kiệt,Trường THCS và THPT Võ Văn Kiệt,THCS và THPT Võ Văn Kiệt
Cao đẳng nghề iSPACE ĐÀ NẴNG,Trường Cao đẳng thực hành,Cao đẳng thực hành
Trường Tiểu học Phù Đổng,Trường Tiểu Học Phù Đổng,Tiểu Học Phù Đổng
THPT Số 5 Bố Trạch,Trường Trung Học Phổ Thông Số 5 Bố Trạch,Trung Học Phổ Thông Số 5 Bố Trạch
trường THPT số 3 Quảng Trạch,Trường THPT số 3 Quảng Trạch,THPT số 3 Quảng Trạch
"cấp 3 đông hà,quảng trị",Trường THPT Đông Hà,THPT Đông Hà
THCS Số I Bắc Lý,Trường THCS số 1 Bắc Lý,THCS số 1 Bắc Lý
trung cap y te qb,Trường trung cấp Y tế Quảng Bình,trung cấp Y tế Quảng Bình
Đại học Văn hóa TP. HCM,Trường Đại học Văn hóa TP.HCM - Cơ sở 1,Đại học Văn hóa TP.HCM - Cơ sở 1
THPT Phu Cat 1,Trường THPT Số 1 Phù Cát,THPT Số 1 Phù Cát
BUH-Banking University of Ho Chi Minh City,Trường Đại Học Ngân Hàng Tp Hồ Chí Minh (cơ sở Hoàng Diệu 2),Đại Học Ngân Hàng Tp Hồ Chí Minh
Trường Cao Đẳng Kinh Tế Công Nghệ Tp.HCM,Trường Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh,Cao đẳng Kinh tế - Công nghệ Tp.Hồ Chí Minh
truong THPT so 2 quang trach,Trường Trung Học Phổ Thông Số 2 Quảng Trạch,Trung Học Phổ Thông Số 2 Quảng Trạch
TRƯỜNG TRUNG CẤP ĐÔNG DƯƠNG,Trường Trung Cấp Đông Dương,Trung Cấp Đông Dương
Trường ĐH Quảng Bình,Trường Đại học Quảng Bình,Đại học Quảng Bình
Trung học phổ thông số 1 Quảng Trạch,Trường THPT Lương Thế Vinh - Quảng Bình,THPT Lương Thế Vinh - Quảng Bình
"truong cap 2,3 le loi",Trường THCS Lê Lợi,THCS Lê Lợi
Trường trung học cơ sở chu văn an,Trường THCS Chu Văn An,THCS Chu Văn An
Trường THPT Bùi Thị Xuân  - Huế,Trường THPT Bùi Thị Xuân,THPT Bùi Thị Xuân
trung hoc pho thong Cho Don,Trường Phổ Thông Dân Tộc Nội Trú Chợ Đồn,Phổ Thông Dân Tộc Nội Trú Chợ Đồn
Trường đại học công nghiệp TP HỒ CHÍ MINH 2,Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
truong trung cap nghe so 9,Trường Trung Cấp Nghề Số 9,Trung Cấp Nghề Số 9
truong thpt thi xa quang tri,Trường THPT Thị xã Quảng Trị,THPT Thị xã Quảng Trị
thcs che lan vien,Trường THCS Chế Lan Viên,THCS Chế Lan Viên
Trường Cao đẳng Sư phạm Thừa Thiên Huế,Trường cao đẳng Sư phạm Huế,cao đẳng Sư phạm Huế
TRUNG HOC PHO THONG TRA BONG,Trường phổ thông dân tộc bán trú Trung học Cơ sở số 2 Hương Trà,phổ thông dân tộc bán trú Trung học Cơ sở số 2 Hương Trà
thptle loi,Trường THPT Lê Lợi,THPT Lê Lợi
truong trung hoc pho thong tuyen hoa,Trường THPT Tuyên Hóa - Quảng Bình,THPT Tuyên Hóa - Quảng Bình
ĐH GTVT Tp HCM,Trường Đại học Giao thông vận tải TP.Hồ Chí Minh,Đại học Giao thông vận tải TP.Hồ Chí Minh
Trường Tiểu Học Lê Quý Đôn,Trường tiểu học Lê Quý Đôn,tiểu học Lê Quý Đôn
truong trung hoc pho thong minh chau,Trường THPT Minh Châu,THPT Minh Châu
Trường đại học haver University,Đại học Harvard,Đại học Harvard
trung cap y te quang tri,Trường Cao Đẵng Y tế Quảng Trị,Cao Đẵng Y tế Quảng Trị
Khoa Đào Tạo Chất Lượng Cao - ĐH Sư Phạm Kỹ Thuật TP.HCM,Khoa Đào Tạo Chất Lượng Cao,Khoa Đào Tạo Chất Lượng Cao
Trường THPT Mang Thít,Trường THPT Mang Thít,THPT Mang Thít
cdsp quang tri,Trường Cao đẳng sư phạm Quảng Trị,Cao đẳng sư phạm Quảng Trị
Le Quy Don Gifted High School,Trường THPT chuyên Lê Quý Đôn,THPT chuyên Lê Quý Đôn
Trường CĐSP Quảng Trị,Trường Cao đẳng sư phạm Quảng Trị,Cao đẳng sư phạm Quảng Trị
THPT Phan thanh taj,Trường THPT Phan Thành Tài,THPT Phan Thành Tài
THPT chuyên Lê Quý Đôn Đông Hà- Quảng Trị,Trường THPT chuyên Lê Quý Đôn,THPT chuyên Lê Quý Đôn
THPT LE LOI-PHU YEN,Trường THPT Lê Lợi,THPT Lê Lợi
"THPT Nguyễn Chí Thanh, Lệ Thủy, Quảng Bình",Trường THPT Nguyễn Chí Thanh,THPT Nguyễn Chí Thanh
Đại học Y dược TP. HCM,Đại học Y Dược Thành phố Hồ Chí Minh,Đại học Y Dược Thành phố Hồ Chí Minh
THPT NGUYEN HUU THAN,Trường THPT Nguyễn Hữu Thận,THPT Nguyễn Hữu Thận
THPT Bình Khánh,Trường THPT Bình Khánh,THPT Bình Khánh
C3 Đông Hà,Trường THPT Đông Hà,THPT Đông Hà
THPT Phúc Trạch,Trường THPT Phúc Trạch,THPT Phúc Trạch
THCS Hải Phú,Trường THCS Hải Phú,THCS Hải Phú
thpt hai lang,Trường THPT Hải Lăng,THPT Hải Lăng
Pho thong dan toc noi tru tinh binh thuan,Trường Phổ Thông Dân Tộc Nội Trú Tỉnh Bình Thuận,Phổ Thông Dân Tộc Nội Trú Tỉnh Bình Thuận
Dai Hoc SP TP.HCM,Trường Đại học Sư phạm Thành phố Hồ Chí Minh,Đại học Sư phạm Thành phố Hồ Chí Minh
TRƯỜNG CAO ĐẲNG KINH TẾ - KỸ THUẬT CẦN THƠ,Trường Cao đẳng Kinh tế - Kỹ thuật Cần Thơ,Cao đẳng Kinh tế - Kỹ thuật Cần Thơ
Cấp 3 Đông Hà,Trường THPT Đông Hà,THPT Đông Hà
thpt le loi dong ha,Trường THPT Lê Lợi,THPT Lê Lợi
THPT le loi,Trường THPT Lê Lợi,THPT Lê Lợi
THPT chuyên Lê Quý Đôn Quảng Trị,Trường THPT chuyên Lê Quý Đôn,THPT chuyên Lê Quý Đôn
THPT Đông Hà - Quảng Trị,Trường THPT Đông Hà,THPT Đông Hà
Thpt cao thắng,Trường THPT Cao Thắng,THPT Cao Thắng
Trường ĐH Y Dược Huế,Trường Đại học Y Dược Huế,Đại học Y Dược Huế
trường trung học cơ sở trần phú,Trường THCS Trần Phú,THCS Trần Phú
Trường THCS Kim Đồng Hội An,Trường THCS Kim Đồng,THCS Kim Đồng
Tran Qui Cap,Trần Quý Cáp,ần Quý Cáp
truong dai hoc y duoc hue,Trường Đại học Y Dược Huế,Đại học Y Dược Huế
CĐ Công nghiệp Huế,Trường Cao đẳng Công nghiệp Huế,Cao đẳng Công nghiệp Huế
truong thpt co do,Thpt Cờ Đỏ - Nghĩa Đàn - Nghệ An,hpt Cờ Đỏ - Nghĩa Đàn - Nghệ An
cao dang kinh te ky thuat vinatex,Trường Cao Đẳng Công Nghệ TP.HCM,Cao Đẳng Công Nghệ TP.HCM
dhnn hue,Trường Đại Học Ngoại Ngữ Huế,Đại Học Ngoại Ngữ Huế
Trung Học phổ thông Tam Bình,Trường THPT Tam Bình,THPT Tam Bình
Ho Chi Minh City University of Technology,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM,Đại học Bách khoa - Đại học Quốc gia TP.HCM
THPT Lê Trực - Quảng Bình,Trường THPT Lê Trực - Quảng Bình,THPT Lê Trực - Quảng Bình
THPT Nguyễn Dục_Tam Dân_Phú Ninh_Quảng Nam,Trường THPT Nguyễn Dục,THPT Nguyễn Dục
THPT Nguyễn Trãi - Ninh Hòa - Khánh Hòa,Trường THPT Nguyễn Trãi,THPT Nguyễn Trãi
Thpt ncd,Trường THPT Dân Lập Nguyễn Đình Chiểu,THPT Dân Lập Nguyễn Đình Chiểu
"Trường THPT Ngô Quyền, Sơn Trà, Đà Nẵng",Trường THPT Ngô Quyền,THPT Ngô Quyền
DH KHOA HOC HUE,Trường Đại học Khoa học Huế,Đại học Khoa học Huế
Phổ Thông Hương Sơn,Trường THPT Hương Sơn,THPT Hương Sơn
Kinh Tế Kế Hoạch Đà Nẵng,Trường Cao đẳng Kinh tế - Kế hoạch Đà Nẵng,Cao đẳng Kinh tế - Kế hoạch Đà Nẵng
thpt trầ văn dư,THPT Trần Văn Dư,THPT Trần Văn Dư
Cao Đẳng Y Tế Quảng Nam,Trường Cao đẳng Y tế Quảng Nam,Cao đẳng Y tế Quảng Nam
Đại Học Khoa Học Hue,Trường Đại học Khoa học Huế,Đại học Khoa học Huế
trung hoc bon ba,Đại Học Bôn Ba,Đại Học Bôn Ba
THCS Phu Dien,Trường THCS Phú Diễn,THCS Phú Diễn
Trường Tiểu Học Trần Quốc Toản TP- Huế,Trường Tiểu Học Trần Quốc Toản,Tiểu Học Trần Quốc Toản
CĐYT Huế,Trường Cao đẳng Y tế Huế,Cao đẳng Y tế Huế
Cao dang su pham hue,Trường cao đẳng Sư phạm Huế,cao đẳng Sư phạm Huế
THPT BC Nguyen Truong To,Trường THCS Nguyễn Trường Tộ,THCS Nguyễn Trường Tộ
Trường THPT Thanh Chương 3,Trường THPT Thanh Chương 3,THPT Thanh Chương 3
THPT Thanh Chương 3,Trường THPT Thanh Chương 3,THPT Thanh Chương 3
Tuổi Trẻ Trường Cao Đẳng Kỹ Thuật Công Nông Nghiệp Quảng Bình,TRƯỜNG CAO ĐẲNG KỸ THUẬT CÔNG - NÔNG NGHIỆP,CAO ĐẲNG KỸ THUẬT CÔNG - NÔNG NGHIỆP
"THPT Nguyễn Chí Thanh, Thị trấn Sịa, Quảng Điền, TT.Huế",Trường THPT Nguyễn Chí Thanh,THPT Nguyễn Chí Thanh
Truong DHSP Hue,Trường Đại học Sư phạm Huế,Đại học Sư phạm Huế
THPT Thach Thanh III,TRƯỜNG THPT THẠCH THÀNH 3,THPT THẠCH THÀNH 3
THPT Thach Thanh 3,TRƯỜNG THPT THẠCH THÀNH 3,THPT THẠCH THÀNH 3
ĐH Dân lập Phú Xuân,Trường Đại học Phú Xuân - city campus,Đại học Phú Xuân - city campus
"University of Economics, Hue City, Viet Nam","Trường Đại học Kinh tế, Đại học Huế","Đại học Kinh tế, Đại học Huế"
Sư phạm Huế,Trường Đại học Sư phạm Huế,Đại học Sư phạm Huế
THCS Hướng Thọ Phú,Trường THCS Hướng Thọ Phú,THCS Hướng Thọ Phú
trường đhsp huế,Trường Đại học Sư phạm Huế,Đại học Sư phạm Huế
THPT Hai Bà Trưng-Huế,Trường THPT Hai Bà Trưng,THPT Hai Bà Trưng
Sư phạm Huế,Trường Đại học Sư phạm Huế,Đại học Sư phạm Huế
Trường Cao Đẳng Sư Phạm Huế,Trường cao đẳng Sư phạm Huế,cao đẳng Sư phạm Huế
THPT Đào Duy Từ - Quảng Bình,Trường THPT Đào Duy Từ,THPT Đào Duy Từ
truong thpt Nam Dong -TT-hue,Trường THPT Nam Đông,THPT Nam Đông
Truong thpt huong thuy,Trường THPT Hương Thủy,THPT Hương Thủy
CĐ Điện lực miên Trung,Trường Cao Đẳng Điện Lực Miền Trung,Cao Đẳng Điện Lực Miền Trung
CĐSP Huê,Trường cao đẳng Sư phạm Huế,cao đẳng Sư phạm Huế
THCS Lê Lợi Đà Nẵng,Trường THCS Lê Lợi,THCS Lê Lợi
thph huong hoa,Trường THPT Hướng Hóa,THPT Hướng Hóa
ĐH CÔNG AN NHÂN DÂN,Học Viện An ninh Nhân Dân,Học Viện An ninh Nhân Dân
THPT Yên Thành IIl,Trường THPT Yên Thành 2,THPT Yên Thành 2
Trường THCS Tân Xuân,Trường THCS Tân Xuân,THCS Tân Xuân
Trung Hoc Co So Loc Vinh,Trường THCS Lộc Vĩnh,THCS Lộc Vĩnh
Đại Học Kinh Tế Huế,Đại Học Kinh Tế Huế (Dhk),Đại Học Kinh Tế Huế
Cao Dang Cong Nghiep,Trường Cao đẳng nghề Công nghiệp Hà Nội,Cao đẳng nghề Công nghiệp Hà Nội
Chuyên Quốc Học Huế,Trường THPT chuyên Quốc Học Huế,THPT chuyên Quốc Học Huế
trung hoc pho thong nguyen van cu,Trường THPT Nguyễn Văn Cừ,THPT Nguyễn Văn Cừ
Hue University of Sciences,Trường Đại học Khoa học Huế (Hue University of Sciences),Đại học Khoa học Huế
truong trung hoc pho thong tam giang,Trường Trung Học Phổ Thông Tam Giang,Trung Học Phổ Thông Tam Giang
HBT- HUE,Trường THPT Hai Bà Trưng,THPT Hai Bà Trưng
CĐSP Huế- Hue College Of Education,Trường cao đẳng Sư phạm Huế,cao đẳng Sư phạm Huế
DAI HOC GIAO THONG VAN TAI HCM,Trường Đại học Giao thông Vận tải,Đại học Giao thông Vận tải
THPT Lê Quý Đôn Hậu Giang,Trường THPT Lê Quý Đôn,THPT Lê Quý Đôn
Đại học Nghệ thuật Huế,Trường đại học Nghệ thuật - Đại học Huế.,đại học Nghệ thuật - Đại học Huế.
