text,normed_text
cao đẳng sp vinh,CĐ Sư phạm Nghệ An
THCS Nguyễn Khuyến - Đà Nẵng,THCS-THPT Nguyễn Khuyến
Trường THPT Nguyễn Trung Thiên - Hà Tĩnh,THPT Nguyễn Trung Thiên
hv pkkq,HV Phòng Không Không Quân
"THPT Cửa Tùng,Vĩnh Linh, Quảng Trị",THPT Cửa Tùng
đh lh,ĐH Lạc Hồng
cao đẳng tài chính - quản trị kinh doanh,CĐ Tài Chính Quản Trị Kinh Doanh
đh tài nguyên môi trưòng hà nội,ĐH Tài nguyên và Môi trường Hà Nội
cd cong nghe thong tin huu nghi viet han,ĐH Công nghệ Thông tin Truyền thông Việt Hàn
THPT dao duy tu- Quang Binh,THPT Đào Duy Từ
Cao Đẳng SP HN,CĐ Sư Phạm Hà Nội
THPT - KT,THPT Kon Tum
THPT Nghĩa Hưng,THPT Nghĩa Hưng
phổ thông triệu sơn 3,THPT Triệu Sơn
Truong PTTH Giong Rieng,THPT Giồng Riềng
Dai Hoc Cong Nghiep Quang Ninh,ĐH Công nghiệp Quảng Ninh
Trường THPT luc ngan so 1,THPT Lục Ngạn
Trường THPT binh tan,THPT Bình Tân
Hội Học Sinh Trường THPT Hai Bà Trưng Thạch Thất  Hà Nội,THPT Hai Bà Trưng
cao dang nghề dong nai,CĐ Kỹ Thuật Đồng Nai
Đại học Kyoto,ĐH Kyoto
cao dang nghe co dien xay dung tam djep,CĐ Nghề Cơ điện Xây dựng
THPT Phú Ngọc,THPT Phú Ngọc
trung hoc pho thong thinh long,THPT Thịnh Long
 ULSA,ĐH Lao động Xã hội
THCS Sương Nguyệt Anh - Quận 10,THCS-THPT Sương Nguyệt Anh
Hv ngan hang bac ninh,HV Ngân Hàng
cd y te kien giang,CĐ Y tế Kiên Giang
Trường THPT ngan dua,THPT Ngan Dừa
Trường Cao đẳng Ngoại ngữ - Công nghệ Việt Nhật,CĐ Ngoại Ngữ Công Nghệ Việt Nhật
THPT Đại Mỗ,THPT Đại Mỗ
Cao dag cag dao,CĐ Cảnh Sát Nhân Dân
cao dang cong nghjep va xay dung,CĐ Công nghiệp và Xây dựng
truong tc nghe so 15,TC Nghề Bộ Quốc phòng
Trường THPT ham rong,THPT Hàm Rồng
Trường Cao đẳng VHNT & DL Sài Gòn,CĐ Văn hóa Nghệ thuật TP.HCM
Dai Hoc Khoa Hoc Sai Gon,ĐH Sài Gòn
cao đẳng cơ giới và thủy lợi,CĐ Cơ giới và Thủy lợi
RMIT International University,ĐH RMIT
khoa hoc tu nhien hn,ĐH Khoa học Tự nhiên - ĐH Quốc Gia Hà Nội
đại học sogang,ĐH Sogang
cao đẳng số 2,CĐ Xây dựng TP.HCM
trung học phổ thông phú xuyên A,THPT Phú Xuyên
truong trung hoc pho thong hoang dieu soc trang,THPT Hoàng Diệu
đại học nông nhiệp i hà nội,HV Nông nghiệp Việt Nam
THPT Tam Binh,THPT Tam Bình
BUH,ĐH Ngân Hàng TP.HCM
THPT KY LAM,THPT KỲ LÂM
THPT Ngia Hanh 1,THPT Nghĩa Hành
THPT Toàn Thắng,THPT Toàn Thắng
truong trung hoc viet yen 1,THPT Việt Yên
Trường THPT Bình Thủy,THPT Bình Thủy
dai hoc cong nghe giao thong van tai,ĐH Công nghệ Giao thông Vận tải
Trường THCS-THPT pham van dong,THCS-THPT Phạm Văn Đồng
"THPT Mỏ Trạng, Yên Thế, Bắc Giang",THPT Mỏ Trạng
cao đẳng nghề lialama-1,CĐ Công Nghệ Quốc Tế Lilama
Trường Đại học Giao thông vận tải Thành phố Hồ Chí Minh,ĐH Giao thông Vận tải
cao dang su pham kien,CĐ Sư Phạm Kiên Giang
cd du lịch và thương mại nghệ an,CĐ Nghề Du Lịch Dịch vụ Hải Phòng
cao dang bach nghe ha tay,CĐ Bách Nghệ Tây Hà
THPT Nguyễn Trãi TP Thanh Hóa,THPT Nguyễn Trãi
THPT Nguyễn Du - Thanh Oai,THPT Nguyễn Du
Pháp tự Quốc Học Trường môn,THPT chuyên Quốc Học Huế
đại học nội vụ hn,ĐH Nội Vụ Hà Nội
Trung hoc PT Tô Hiến Thành,THPT Tô Hiến Thành
cao dang nghe hang hai tphcm,CĐ Hàng Hải
Đại học An Ninh nhân dân TpHCM,ĐH An Ninh Nhân Dân
cao dang nghe thuat thai binh,CĐ Văn hóa Nghệ thuật Thái Bình
cao dang nghe dau khi vt,CĐ Nghề Dịch vụ Hàng không
Thpt quan ninh quang binh,THPT Quảng Ninh
THPT Nguyễn Thông-Châu Thành-Long An,THPT Nguyễn Thông
cao dang kinh te doi ngoai(cofer),CĐ Kinh Tế Đối Ngoại
cao đẳng công ngệ thông tin,CĐ Công nghệ Thông tin TP.HCM
"Trường THPT Đông Thái, An Biên, Kiên Giang",THPT Đông Thái
cd dl sai gon,CĐ nghề Du lịch Sài Gòn
trung hoc pho thong le quy don hai phong,THPT Lê Quý Đôn
Trường THPT Nguyễn Thái Bình EaKar,THPT Nguyễn Thái Bình
đại học tài nguyên và môi trường tp. hồ chí minh,ĐH Tài nguyên và Môi trường TP.HCM
THPT Yên Thủy C,THPT Yên Thuỷ
Trường Đại học Dược,ĐH Dược Hà Nội
TTHPTTieu Cần Trà Vinh,THPT Tiểu Cần
cd công nghệ cao hà nội,CĐ nghề Công nghệ Cao Hà Nội
cao dang cong nghiep ha,CĐ nghề Công nghiệp Hà Nội
dh su pham ki thuat nam dinh,ĐH Sư phạm Kỹ thuật Nam Định
Dai hoc Su pham The Duc The Thao TP HCM,ĐH Sư Phạm Thể Dục Thể Thao
Trường THPT Phong Châu,THPT Phong Châu
PTTH THỦ KHOA NGHĨA,THPT Chuyên Thủ Khoa Nghĩa
cao đẳng nghề nnvptnt tam điệp,CĐ Nghề Cơ điện Xây dựng
Cđ Kỹ Thuật Công Nghệ Vạn Xuân,CĐ Kỹ Thuật Công Nghệ Vạn Xuân
THPT MINH THUÂN,THPT Minh Thuận
cao đẳng yte hà tĩnh,CĐ Y Tế Hà Tinh
cao dang su phạm gia lai,CĐ Sư phạm Gia Lai
Hội Cựu Học Sinh Trường THPTTH CẤP 2-3 Phú Tâm,THPT Phú Tâm
cd kt kt tm - ha dong,CĐ Kinh tế Kỹ thuật Thương mại
Trường Cao đẳng Cơ điện - Xây dựng và Nông Lâm Trung Bộ,CĐ Nghề Cơ điện
Xuan Truong C,THPT Xuân Trường
Thptbaclieu,THPT Bạc Liêu
"cao đẳng nghề qui nhơn, bình định",CĐ Kỹ Thuật Công Nghệ Quy Nhơn
Trung học phổ thông Long Mỹ,THPT Long Mỹ
Trường Đại học Y khoa vinh,ĐH Y khoa Vinh
đại học công nghệ đông á- tp bắc ninh,ĐH Công nghệ Đông Á
Trường THPT so 1 huyen sa pa,THPT Sa Pa
Cao Đẳng Kinh Tế Kỹ Thuật Thành Phố Hồ Chí Minh,CĐ Kinh tế Kỹ thuật TP.HCM
DH ThuyLoi,ĐH Thủy Lợi
cao dang van hoa nghe thuat du va lich sai gon,CĐ văn hóa nghệ thuật Du Lịch Sài Gòn
Truong THPT Thach Thanh 1,THPT Thạch Thành
THPT Luc Ngan 1,THPT Lục Ngạn
Trường THPT Lí Thường Kiệt Hải Phòng,THPT Lý Thường Kiệt
Trường THPT con cuong,THPT Con Cuông
Trường THCS Bạc ninh binh bac lieu,THPT Ninh Bình
đại học công nghiệp tp.hồ chí minh,ĐH Công nghiệp TP.HCM
an ninh nhân dân,HV An ninh Nhân Dân
CD ytế ha nam,CĐ Y tế Hà Nam
đh mở bình dương,ĐH Mở TP.HCM
Trường THPT số 2 Văn Bàn,THPT VĂN BÀN
Trường  THCS Phạm Thành Trung,THPT Phạm Thành Trung
trường ĐHTB,ĐH Tây Bắc
Trường THPT Hoàng Hoa Thắm,THPT Hoàng Hoa Thám
trường Cao Đẳng Mỹ Thuật Trang Trí Đồng Nai,CĐ Mỹ thuật trang trí Đồng Nai
THPT TRUNG LẬP,THPT Trung Lập
THPT Vũ Tiên - Vũ Thư - Thái Bình,THPT Vũ Tiên
TT GDTX thanh chuong,GDNN-GDTX Thanh Chương
đhkt công nghiệp long an,ĐH Kinh tế Công nghiệp Long An
"THPT Chuẩn Quốc Gia Võ Trường Toản - P. Hiệp Thành, Q12,...",THPT Võ Trường Toản
Thpt so 4 cam duong - lao cai,THPT Lào Cai
đại học kinh tế tp. hcm,ĐH Kinh tế TP.HCM
Trường THPT Nguyễn Du Kiến Xương Thái Bình,THPT Nguyễn Du
HLU,ĐH Luật Hà Nội
đh y hải phòng .,ĐH Y Dược Hải Phòng
Trường THPT Nguyễn Chí Thanh Quận Tân Bình,THPT Nguyễn Chí Thanh
"THPT Tứ Kiệt,Cai lậy,Tiền Giang",THPT Tứ Kiệt
Trường THPT ngoc tao,THPT Ngọc Tảo
THPT Nguyễn Hữu Huân Quận,THPT Nguyễn Hữu Huân
cao dang gtvt3,CĐ Giao thông Vận tải Trung ương
đại học kỹ thuật – hậu cần công an nhân dân,ĐH Kỹ thuật Hậu cần Công an Nhân dân
Dh Gtvt,ĐH Giao thông Vận tải
cao dang su pham ho chi minh,CĐ Sư phạm Trung ương TP.HCM
THPT Lai Vung 1,THPT Lai Vung
Cao Đẳng Kinh tế đối ngoại,CĐ Kinh Tế Đối Ngoại
cao dang dienlanh,CĐ Điện Tử Điện Lạnh Hà Nội
thpt a hai hau,THPT Hải Hậu
Trường THPT long hiep,THPT Long Hiệp
Trường THPT Sương Nguyệt Anh,THCS-THPT Sương Nguyệt Anh
Trường THPT cam giang,THPT Cẩm Giàng
đại học khxh và nv ha noi,ĐH Khoa học Xã hội Nhân văn - ĐH Quốc gia Hà Nội
đại học spnt trung ương,ĐH Sư Phạm Nghệ Thuật Trung Ương
cao dang y te ha noj,CĐ Y tế Hà Nội
Truong THPT Song Ray,THPT Sông Ray
"truong dai hoc bach khoa, dai hoc da nang",ĐH Bách Khoa - ĐH Đà Nẵng
cao đẳng giao thông vận tải tw ii,CĐ Giao Thông Vận Tải Đường thủy
PTHH Hà Huy Tập,THPT Hà Huy Tập
truong THPT Doan Thuong,THPT Đoàn Thượng
Đoàn trường THPT Chuyên NK TDTT  Nguyễn Thị Định,THPT Chuyên Năng Khiếu Thể dục Thể Thao Nguyễn Thị Định
cao đẳng cộng động bình thuận,CĐ Cộng đồng Cà Mau
TRƯỜNG PTTH BÃI CHÁY,THPT Bãi Cháy
đại học bách khoa thành phố hcm,ĐH Bách khoa - ĐH Quốc gia TP.HCM
HoChiMinh City University of Technology (HCMUT) - ĐHBK-ĐHQG TP.HCM,ĐH Bách khoa - ĐH Quốc gia TP.HCM
Đại Học Văn Hóa TPHCM,ĐH Văn Hóa TP.HCM
truongthpt lelai,THPT Lê Lai
Đại Học Tân Trào,ĐH Tân Trào
Trường THPT tu thuc the he moi,THPT Tư thục Thế Hệ Mới
cao dang nghe co khi nn,CĐ cơ khí nông nghiệp
đại học y dược sài gòn,ĐH Y Dược TP.HCM
trung cap thuong mai tw5,TC Thương mại Trung ương
Đại Học Tài Chính Quản Trị Kinh Doanh,ĐH Tài chính Quản trị kinh doanh
cd y te khanh hoa_khoa dieu duong da khoa,CĐ Y tế Khánh Hòa
ptth dan lap nguyen hong,THPT Dân lập Nguyên Hồng
trung hoc pho thong bà điềm,THPT Bà Điểm
DH Lam Nghiep,ĐH Lâm nghiệp
tt gdnn gdtx tien lang,GDNN-GDTX Tiên Lãng
THPT Diên Hồng- Đà Nẵng,THPT Tư thục Diên Hồng
đại học tài nguyên va môi trường hà nội,ĐH Tài nguyên và Môi trường Hà Nội
đại học dân lập hải phòng hải phòng,ĐH Quản lý Công nghệ Hải Phòng
cao dang nguyễn tất thành,CĐ Kinh Tế Kỹ Thuật Nghiệp Vụ Nguyễn Tất Thành
Trung cấp Y Dược Hồng Đức,CĐ Y dược Hồng Đức
Trườnq THPT Hòa An,THPT Hòa An
cao dang cong nghiep hà nội,CĐ nghề Công nghiệp Hà Nội
Trường THPT dong thai,THPT Đông Thái
Truong Trung Hoc Pho Thong Minh Dam,THPT Minh Đạm
cao đẳng sư phạm ung bí,CĐ Sư Phạm Quảng Ninh
trừơg THPT tây hjếu,THPT Tây Hiếu
TT GDTX huyện Yên Mô,GDNN-GDTX Yên Mô
trường THPT CHEGUEVARA,THPT Chêguevara
cao dang y vinh,ĐH Y khoa Vinh
Trường THPT nguyen thuong hien ung hoa,THPT Nguyễn Thượng Hiền
cao đẳng phát thanh truyền hình 1,CĐ Phát Thanh Truyền Hình
TT GDTX thanh pho tay ninh,GDNN-GDTX Tây Ninh
truong Trường THPT ly son,THPT Lý Sơn
cao dang nhac hoa trung uong,ĐH Sư Phạm Nghệ Thuật Trung ương
truong quan su quan doan 4,Quân Sự Quân đoàn
THPT Hà Huy Tập Kông Chro Gia Lai,THPT Hà Huy Tập
Trường Trung Học Phổ Thông Sầm Sơn,THPT Sầm Sơn
Khoa Ngoại Ngữ - Đại Học Thái Nguyên,ĐH Thái Nguyên
Trường THPT ban cong lap vo,THPT bán công Lấp Vò
DAI HOC Y KHOA PHAM NGOC THACH,ĐH Y khoa Phạm Ngọc Thạch
đại học mỹ thuật tp hcm,ĐH Mỹ thuật TP.HCM
đh đông đô hà nội,ĐH Đông Đô
Trường THPT tran binh trong,THPT Trần Bình Trọng
trường cao đẳng kinh tế kỹ thuật quảng nam,CĐ Quảng Nam
cao đẳng điện lực hcm,CĐ Điện lực TP.HCM
trường THPT Nhữ Văn Lan,THPT Nhữ Văn Lan
cd nghe an giang,CĐ Nghề An Giang
đại học lâm nghiệp thái nguyên,ĐH Nông Lâm
cd cong nghệ và kinh tế hà nội,CĐ Công nghệ và Kinh tế Hà Nội
đại học kinh tế kỹ thuật quảng nam,CĐ Quảng Nam
trung cap pali khmer,TC Pali Khmer
ĐH An Ninh ND,ĐH An ninh Nhân dân
THPT DaHuoai,THPT Đạ Huoai
đại học dl thăng long,ĐH Thăng Long
Trường THPT Hoài Đức B,THPT Hoài Đức
Trường THPT VietNam-BaLan,THPT Việt Nam Ba Lan
đh quân y hà nội,HV Quân y
trường trung hoc pho thong ngọc tố,THPT Ngọc Tố
"Trường cấp 3 Ba Đình - THPT Chu Văn An,Hà nội",THPT Chu Văn An
đại học mỹ thuật việt nam ( viet nam university of fine art ),ĐH Mỹ thuật Việt Nam
Thư viện Đại học Tôn Đức Thắng,ĐH Tôn Đức Thắng
THPT Trần Đại Nghĩa- Quế Sơn,THPT Trần Đại Nghĩa
đại học quốc tế tokyo,ĐH Quốc tế Tōkyō
Trường cao đẳng điện LỰc TPHCM,CĐ Điện lực TP.HCM
Saigon University of Law,ĐH Luật TP.HCM
THPTBCQN,THPT Chuyên Ngoại ngữ
cd nghe so 8 tp.hcm,CĐ nghề Bộ Quốc phòng
cao đẳng văn hóa ngệ thụât,CĐ Văn hóa Nghệ thuật TP.HCM
cao đẳng kinh tế-kế hoach,CĐ Kinh tế Kế hoạch Đà Nẵng
Thpt chj linh,THPT Chí Linh
truong pho thong trung hoc tran phu ha noi,THPT Trần Phú
cao dang van hoa nghe,CĐ Văn hóa Nghệ thuật TP.HCM
Đại học Tài chính Ngân hàng,ĐH Tài Chính Ngân Hàng Hà Nội
đh kinh tế quốc dân hn,ĐH Kinh Tế Quốc Dân
Ptth Nguyễn Mình Quang,THPT Nguyễn Minh Quang
THPT LÊ HỒNG PHONG - TX.Ba Đồn,THPT Lê Hồng Phong
Cao Dang GTVT II,CĐ giao thông vận tải Trung ương
Trường Trung Tâm Giáo Dục Thường Xuyên quan 9,GDNN-GDTX TP.HCM
đại học sưu phạm kĩ thuật 3,ĐH Sư Phạm Kỹ Thuật Vinh
"THPT  Pác Khuông, Bình Gia, Lạng Sơn",THPT Pác Khuông
"TH,Trường THCS,Trường THPT.Nguyễn Bỉnh Khiêm",THCS-THPT Nguyễn Bỉnh Khiêm
cao đẳng trang trí đồng lai,CĐ Mỹ thuật trang trí Đồng Nai
bvu- trường đại học bà rịa vũng tàu,ĐH Bắc Kinh
THPT Nguyễn Mai,THPT Nguyễn Mai
Trường THPT Bến Cát,THPT Bến Cát
THPT Nguyễn Quán Nho,THPT Nguyễn Quán Nho
trung học phổ thông xuân Trường,THPT Xuân Trường
THPT Hà Huy Tập-TP Vinh-Tỉnh Nghệ An-Vietnamese,THPT Hà Huy Tập
THPT Tĩnh Gia 4,THPT Tĩnh Gia
Trường THPT Phạm Quang Thẩm,THPT Phạm Quang Thẩm
THPT Nam Ki Khoi Nghia,THPT Nam Kỳ Khởi Nghĩa
DH Su Pham Ky Thuat,ĐH Sư phạm Kỹ thuật TP.HCM
kinh tế- kỹ thuật Bắc thăng long,TC Kinh tế Kỹ thuật
cao đẳng công nghiệp thủ đức,CĐ Công nghệ Thủ Đức
Khoa Giao duc Mam non Truong Dai hoc Sai Gon,ĐH Sài Gòn
Nguyen Thi Minh Khai High School (HCMC),THPT Nguyễn Thị Minh Khai
TCN Bắc Quảng Nam,TC Nghề Bắc Quảng Nam
Đại học Quảng Bình,ĐH Quảng Bình
Truong Cao Dang Cong Nghe Thu Duc TpHCM,CĐ Công nghệ Thủ Đức
THPT Lê Quảng Chí,THPT Lê Quảng Chí
Trường THCS-THPT lien hiep,THCS-THPT Liên Hiệp
Trường THPT dan lap quang trung,THPT dân lập Quang Trung
Truong THPT bjnh son,THPT Bình Sơn
THPT An Mỹ,THPT An Mỹ
trung hoc pho thong Nguyen Huu Cau,THPT Nguyễn Hữu Cầu
Trường THPT thanh da,THPT Thanh Đa
cao dang kt tphcm,CĐ Kinh Tế TP.HCM
THPH Tán Kế,THPT Tán Kế
cao dang nge thuat,CĐ Nghệ Thuật Hà Nội
DH Ngoai Thuong cs2,ĐH Ngoại thương
tt gdtx tuyen hoa,GDNN-GDTX Tuyên Hóa
cd binh thuan,CĐ Cộng Đồng Bình Thuận
Trườg PT Nguyễn Mộng Tuân,THPT Nguyễn Mộng Tuân
Trường THPT Chuyên Đại học Sư phạm Hà Nội,THPT Chuyên ĐH Sư phạm Hà Nội
cd dược tw Hải Dương,CĐ Dược Trung Ương Hải Dương
Trường Cao Đẳng Kỹ Thuật LÝ TỰ TRỌNG_Tân Bình_TP Hồ Chí minh,CĐ Lý Tự Trọng TP.HCM
truong cd nong nghiep nam bo,CĐ nông nghiệp Nam Bộ
Trường Cao Đẳng VHNT Nghệ An,CĐ Văn hóa Nghệ thuật Nghệ An
cao dang cong nghiệp nam dinh,CĐ Công nghiệp Nam Định
Lê Hồng Phong NĐ,THPT chuyên Lê Hồng Phong
Truong Tu Nghia 2,THPT Tư Nghĩa
THPT Tôn Thất Tùng - Đà Nẵng,THPT Tôn Thất Tùng
đh tdtt từ sơn - bắc ninh,ĐH Thể dục Thể thao Bắc Ninh
Trường THPT thai nguyen,THPT Thái Nguyên
trường THPT số 2 bảo yên,THPT Bảo Yên
truong Trường THPT thanh nua,THPT Thanh Nưa
Đại học Văn hoá Tp.HCM,ĐH Văn hóa TP.HCM
THPT CamLo,THPT Cam Lộ
University of Culture Ho Chi Minh City,ĐH Văn hóa TP.HCM
 Bach Khoa University ,ĐH Bách Khoa TP.HCM
đại học sư phạm ha noi 2,ĐH Sư Phạm Hà Nội 
đhcnla,ĐH Công nghiệp Hà Nội
Trường THCS va Trường THPT phan chau trinh,THCS-THPT Phan Châu Trinh
ĐH Nông Lâm Huế,ĐH Nông Lâm
đại học giao thông vận tải tp. hồ chí minh,ĐH Giao thông Vận tải TP.HCM
bvu - đại học br vũng tàu,ĐH Bà Rịa Vũng Tàu
THPT Lê Hồng Phong Phú Yên,THPT Lê Hồng Phong
đại học sư phạm nghệ an,CĐ Sư phạm Nghệ An
Trường THPT Lưu Văn Liệt - Vĩnh Long,THPT Lưu Văn Liệt
cao dang kt ki thuat thuong mai ctet edu,CĐ Kinh tế Kỹ thuật Thương mại
San Francisco State University,ĐH Công lập San Jose
truong trung hoc pho thong do luong 2,THPT Đô Lương
đhoc lạc hồng,ĐH Lạc Hồng
trường đại học Haward USA,ĐH Harvard
thpt ha trung,THPT Hà Trung
đh sp tp.hồ chí minh p4 q5,ĐH Sư phạm TP.HCM
cao dang kt_tc thaj nguyen,CĐ Kinh Tế Tài Chính Thái Nguyên
đại học sư phạm kỹ thuật tp.hồ chí minh,ĐH Sư phạm Kỹ thuật TP.HCM
đại học ư phạm kỷ thuật vinh,ĐH Sư Phạm Kỹ Thuật Vinh
đại học  kĩ thuật - công nghệ tp. hồ chí minh,ĐH Kỹ Thuật Công Nghệ TP.HCM
cd nghe long an,CĐ Nghề Long Biên
đại học dông á,ĐH Đông Á
cao đẳng kĩ thuật công nghệ ladec,CĐ Nghề Kỹ Thuật Công Nghệ Ladec
THPT Gia Vien A,THPT Gia Viễn
Trung Hoc Pho Thong So 2 tuy Phuoc,THPT Tuy Phước
Trường Cao Đẳng Nghề Đà Lạt,CĐ Nghề Đà Lạt
cao dang y hp,CĐ Y tế Hải Phòng
trường THPT Tiên Hưng Đông Hưng Thái Bình,THPT Tiên Hưng
Trường Đại học Sư phạm An Giang,ĐH An Giang
cao đẳng công nghệ và quản trị doanh nghiệp,CĐ Công nghệ và Quản trị doanh nghiệp
đại học sư phạm kỹ thật tp hồ chí minh,ĐH Sư phạm Kỹ thuật TP.HCM
THPT Lương Thế Vinh_Dien Ban,THPT Lương Thế Vinh
trung tam gdnn gdtx thi xa la gi,GDNN-GDTX La Gi
đại học tổng hợp kookmin - seoul korea,ĐH Quốc gia Chungnam
Trường THPT yen thuy a,THPT Yên Thuỷ
cd tw sư phạm mầm non,CĐ Sư phạm Mầm non Trung Ương
đại học ngoại ngữ - đại học quốc gia hà nội (ulis-vnu),ĐH Ngoại ngữ - ĐH Quốc gia Hà Nội
cd cong ngiêp tuy hoa,CĐ Công Thương Miền Trung
the college of finance and customs,CĐ Tài Chính Kế Toán
Trường Đại Học Quảng Bình,ĐH Quảng Bình
cao dang kinh te ky thuat lam dong,CĐ Kinh tế Kỹ thuật Lâm Đồng
"TT gdtx,phước an,krông păk,đăk lăk",GDNN-GDTX Krông Pắk
Trường THPT canh tan,THPT Canh Tân
cao đẳng du lịch htc,CĐ Du Lịch Hà Nội
cao đẳng sư phạm thể dục thể thao trung ương hà nội,CĐ Sư Phạm Trung ương Nha Trang
cao dang ktkt ct,CĐ Kinh tế Kỹ thuật Cần Thơ
Cao Dang Y Te Hung Yen,CĐ Y Tế Hưng Yên
trung hoc pho thong tu son,THPT Ngô Gia Tự
ttgdnn gdtx muong lat,GDNN-GDTX Mường Lát
cao dang đại học bách khoa hà nội,CĐ nghề Bách Khoa Hà Nội
Trường THPT giao thuy b,THPT Giao Thuỷ
Trường Cao Đẳng Nghề Điện Biên,CĐ Nghề Điện Biên
cd cong dong bac kan,CĐ Bắc Kạn
đại học nn 1 hà nôi,HV Nông nghiệp Việt Nam
HCMUP,ĐH Sư Phạm TP.HCM
Trường THPT Ngô Quyền - Hải Phòng,THPT Ngô Quyền
Trường CĐCN TUY HÒA,CĐ Công Thương Miền Trung
ĐH KH Tự Nhiên - TP.HCM,ĐH Khoa học Tự nhiên - ĐH Quốc Gia TP.HCM
truong pham phu thu,THPT Phạm Phú Thứ
đại học nl huế,ĐH Nông Lâm
đh kỹ thuật y tế hd,ĐH Kỹ thuật Y tế Hải Dương
Trường THPT Tây Thạnh - Quận Tân Phú,THPT Tây Thạnh
Thpt Ba Diem,THPT Bà Điểm
THPT Cao LÃnh 1,THPT Cao Lãnh
PTTH Phù Cát I,THPT Phù Cát
Huynh Thuc Khang Secondy school,THPT Huỳnh Thúc Kháng
"Trường THPT Ngô Quyền, TP Biên Hòa, Đồng Nai",THPT Ngô Quyền
Trường THPT THỊ TRẤN TÂN HƯNG LONG AN,THPT Tân Hưng
cd ktkt thuog mai,CĐ Kinh tế Kỹ thuật Thương mại
Trung học phổ thông Minh Hóa,THPT Minh Hóa
Thpt cao loc ls,THPT Cao Lộc
Trường THPT Nông Sơn,THPT Nông Sơn
cao đẳng nghề kỹ thuật việt hàn,CĐ Kỹ Thuật Công Nghiệp Việt Nam Hàn Quốc
"đại học quốc gia hà nội ( vnu- viet nam national university, hanoi)",ĐH Quốc gia Hà Nội
HPU,ĐH Hải Phòng
Dai hoc GTVT HN,ĐH Giao thông Vận tải
Trường Đại Học Kĩ Thuật Y Tế Hải Dương,ĐH Kỹ thuật Y tế Hải Dương
trung hoc kim lien dong da ha noi,THPT Kim Liên
THPT Nguyễn Khuyến Q10,THPT Nguyễn Khuyến
THPT Mỹ Phước Tây,THPT Mỹ Phước Tây
cao đẳng văn hóa nghệ thuật & du lịch,CĐ Văn hóa Nghệ thuật TP.HCM
Truong dai hoc y khoa Hue,ĐH Y Dược Huế
cao dang nghe vinashins,CĐ Nghề Vinashin
gdtx thuong tin,GDNN-GDTX Thường Tín
Trường Đại Học Su phạm da nang,ĐH Sư Phạm - ĐH Đà Nẵng
cao đẳng kinh tế kỹ thuật vĩnh phuc,CĐ Kinh tế Kỹ Thuật Vĩnh Phúc
đại học tc-kt,ĐH Tài chính Kế toán
THPT THĂNG LONG - LÂM HÀ,THPT Thăng Long
PTCNN (Foreign Language Specializing High school),THPT Chuyên Ngoại ngữ
cd du lich hnoi,CĐ Du Lịch Hà Nội
tc nghe quang trung,TC Nghề Quang Trung
cao dang ki thuat cong nge tp. hcm,CĐ Kỹ Nghệ 
đại học vinhempich,ĐH Trần Đại Nghĩa
tt gdnn gdtx h ba be tinh bac kan,GDNN-GDTX Ba Bể
THPT Nguyễn Trãi - Thái Bình,THPT Nguyễn Trãi
Kinh tê ki thuat daklak,TC Đắk Lắk
cao dang ???? da nang,CĐ Đà Nẵng
THPT Trần Quốc Tuấn - Đăk Hà - Kon Tum,THPT Trần Quốc Tuấn
Hai Phong University & Vimaru,ĐH Hải Phòng
cd hoan chau,CĐ Nghề Hoàng Diệu
đh văn hoá hn,ĐH Văn hóa Hà Nội
TTN ZA,ĐH Tây Nguyên
ĐH QUỐC TẾ HỒNG BÀNG - CHUYÊN NGÀNH DU LỊCH.,ĐH Quốc tế Hồng Bàng
ĐH GTVT - CS 2,ĐH Giao thông Vận tải
đại học âm nhạc thành phố hcm-tp hcm,Nhạc Viện TP.HCM
đại học bách khoa hà nội (hanoi university of science and technology) (ハノイ　工科　大学),ĐH Bách Khoa Hà Nội
Dan toc noi tru Tinh Phu Tho,THPT DTNT Phú Thọ
cao dang mghe mo hong cam - vinacomin,CĐ Nghề Mỏ Hồng Cẩm
Trường THPT BÌnh Đông,THPT Bình Đông
cao dang sp kien giang,CĐ Sư Phạm Kiên Giang
THPT nguyen viet khaj,THPT Nguyễn Việt Khái
"đại học vinh, nghệ an",ĐH Vinh
đhtdtt hà nội,ĐH Sư Phạm Thể Dục Thể Thao
cao dang nghe viet nam_han quoc,CĐ nghề Việt Nam Hàn Quốc Hà Nội
Trường THPT B Thanh Liêm,THPT Thanh Liêm
PTTH Lương Văn Can,THPT Lương Văn Can
Truong Thap Cham,THPT Tháp Chàm
cao đẳng chế biến bến tre,CĐ Bến Tre
cao dang quan tri kinh doanh hung yen,CĐ Tài Chính Quản Trị Kinh Doanh
Trường THPT Thu Thiêm Quan 2,THPT Thủ Thiêm
đh lam nghjep,ĐH Lâm nghiệp
Trường THPT vu le,THPT Vũ Lễ
Hoc vien ki thuat quan su,HV Kỹ thuật Quân sự
National Economics University of Hanoi (NEU),ĐH Kinh Tế Quốc Dân
trung tam gdnn gdtx huyen cau ngang,GDNN-GDTX Cầu Ngang
Trường Trung Cấp Kinh Tế Du Lịch Hoa Sữasữa,TC Kinh tế Du Lịch Hoa Sữa
tt gdnn gdtx bac ninh,GDNN-GDTX Bắc Ninh
cao dang luong thuc thuc pham _dn,CĐ Lương Thực Thực Phẩm
