,index,text,normed_text
3058,11189,tTrường THPT nguyen thi minh khai,Trường THPT Nguyễn Thị Minh Khai
3059,13087,"University of Birmingham, England",Đại học Birmingham 
3060,13838,DHSPHN,Trường Đại học Sư phạm Hà Nội
3061,7760,Nông lam thai nguyên,Trường Đại học Nông Lâm
3062,6528,truong pt dtnt Trường THPT huyen muong nhe,Trường THPT DTNT Trường THPT huyện Mường Nhé
3063,10828,ĐHTH Hà nội,Đại Học Tổng Hợp Hà Nọi
3064,2193,Trường THPT kien an,Trường THPT Kiến An
3065,1486,dhktcn thai nguyen,Đại học Kỹ thuật Công nghiệp Thái Nguyên
3066,3453,trung tam gdtx pho noi,TT GDTX Phố Nối
3067,1667,tc nghe co khi xay dung,TC nghề Cơ khí xây dựng
3068,8213,PTTH TTCai Be,Trường THPT Cái Bè
3069,2388,Trường THPT thong hue,Trường THPT Thông Huề
3070,9277,dai hoc y duoc HCM,Đại học Y Dược TP.HCM
3071,407,FPU-N,Đại Học Phòng Cháy Chữa Cháy 
3072,14070,Trường THPT tân yên2,Trường THPT Tân Yên số 2
3073,10607,Trường THPT Trần Quốc Tuấn - Thái Nguyên,Trường THPT Trần Quốc Tuấn
3074,5803,Trường THPT tran van thanh,Trường THPT Trần Văn Thành
3075,8138,Trường THPT Trung An,Trường THPT Trung An
3076,10349,Truong Trung Hoc Pho Thong Ho Thi Nham,Trường THPT Hồ Thị Nhâm
3077,10470,Ho Chi Minh City University of Law,Trường Đại học Luật TP.HCM
3078,3930,Trường THPT ha trung,Trường THPT Hà Trung
3079,2295,Trường THCS-THPT hien nhan,Trường THCS-THPT Hiển Nhân
3080,14187,Tthpho thong co do,Trường THPT Cờ Đỏ - Nghĩa đàn - Nghệ An
3081,381,Đại Học Hà Tĩnh,Đại Học Hà Tĩnh
3082,9600,Trường cao đẳng nghề số 4 An Nhất Vinh,Trường Cao Đẳng nghề số 4 - BQP
3083,14016,Trường THPT Phan Thaˋnh Taˋi,Trường THPT Phan Thành Tài
3084,2756,tc nghe nam thai nguyen,TC Nghề Nam Thái Nguyên
3085,7928,Daj hoc cong nghjep thaj nguyen,Trường Đại Học Kỹ Thuật Công Nghiệp
3086,12491,le loi 2school,Trường THPT Lê Lợi
3087,6827,ĐẠI HỌC SƯ PHẠM KT HƯNG YÊN !,Đại học Sư phạm Kỹ thuật Hưng Yên
3088,450,CIT,Cao Đẳng Công Nghệ Thông Tin – Đại Học Đà Nẵng
3089,6782,Truong trung hoc chuyen ban Dao Duy Tu,Trường THPT Đào Duy Từ
3090,11741,truong Trường THPT le quy don brvt,Trường THPT chuyên Lê Quý Đôn
3091,10764,Bach Khoa TPHCM,Trường Đại học Bách khoa - Đại học Quốc gia TP.HCM
3092,991,cao dang nghe mo hong cam,Cao Đẳng Nghề Mỏ Hồng Cẩm
3093,12973,Trung học phổ thông Cẩm Khê-Phu Tho,Trường THPT Cẩm Khê
3094,6885,Trường THPT Nguyễn Huệ T.P Tuy Hoà-Phú Yên,Trường THPT Nguyễn Huệ
3095,5331,Trường THPT nguyen dinh chieu,Trường THPT Nguyễn Đình Chiểu
3096,14562,Cao Đẳng Kinh Tế - Kĩ Thuật - ĐH Thái Nguyên,"Trường Cao Đẳng Kinh Tế - Kỹ Thuật, Đại học Thái Nguyên"
3097,3524,trung tam gdnn gdtx huyen da bac,TT GDNN-GDTX huyện Đà Bắc
3098,3599,Trường THPT c thanh liem,Trường THPT C Thanh Liêm
3099,9331,Trường THPT Lưu Văn Liệt,Trường THPT Lưu Văn Liệt
3100,581,Đại Học Kinh Doanh và Công Nghệ Hà Nội,Đại Học Kinh Doanh và Công Nghệ Hà Nội
3101,6928,Trường Đại học Luật Hà Nội (Hanoi University),Đại học Luật Hà Nội
3102,5671,tt gdtx thanh pho sa dec,TT GDTX thành phố Sa Đéc
3103,13784,Trung tam GDTX Huyen Cang Long,TT Giáo dục thường xuyên - hướng nghiệp dạy nghề Càng Long
3104,5735,tt giao duc nghe nghiep gdtx huyen hong ngu,TT Giáo dục nghề nghiệp - GDTX huyện Hồng Ngự
3105,9407,chuyen nguyen bjnh khjem,Trường THPT Chuyên Nguyễn Bỉnh Khiêm
3106,6189,Trường THPT le hoai don,Trường THPT Lê Hoài Đôn
3107,8529,Trường THPTTH Chơn Thành - Bình Phước,Trường THPT Chơn Thành
3108,7885,ĐH quy nhon,Trường Đại Học Quy Nhơn
3109,11852,Trường THPT TRÂN QUÔC ĐAI,Trường THPT Trần Quốc Đại
3110,5617,Trường THPT rach kien,Trường THPT Rạch Kiến
3111,10762,Trường THPT chương mỹ b,Trường THPT Chương Mỹ B
3112,12593,National University of Ho Chi Minh,Học viện Chính trị Quốc gia Hồ Chí Minh
3113,7586,trung hoc y te kon tum,Trường THYT Kon Tum
3114,7332,Trường THPT vĩnh hoà hưng bắc,Trường THPT Vĩnh Hòa Hưng Bắc
3115,13372,pho thong phu cat 2,Trường THPT số 2 Phù Cát
3116,11622,Truong Trường THPT Chu Van An,Trường THPT Chu Văn An
3117,12098,Chuyen SL,Trường THPT Chuyên Sơn La
3118,9650,Trường THPTnguyen thi minh khai,Trường THPT Nguyễn Thị Minh Khai
3119,903,thai nguyen college of economic and financial,Cao Đẳng Kinh tế - Tài chính Thái Nguyên
3120,3738,Trường THPT dong quan,Trường THPT Đông Quan
3121,7656,Trường THPTdt Nội Trú Him Lam,Trường THPT Dân Tộc Nội Trú Him Lam
3122,676,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự,Học Viện Kỹ Thuật Quân Sự - Hệ Quân sự
3123,4057,Trường THPT quang trung,Trường THPT Quang Trung
3124,6799,Trường THPT nguyễn hữu thận,Trường THPT Nguyễn Hữu Thận
3125,5095,Trường THPT don duong,Trường THPT Đơn Dương
3126,6595,truong trung cap luat vi thanh,Trường Trung cấp Luật Vị Thanh
3127,7047,Trường THPT Nguyễn Du,Trường THPT Nguyễn Du
3128,7345,Trường Trường THPT Nguyễn Bỉnh Khiêm,Trường Trường THPT Nguyễn Bỉnh Khiêm
3129,9328,Trường trung cấp nghề giao thông và xây dựng Việt Úc,Trường Trung Cấp Nghề Giao Thông Và Xây Dựng Việt Úc
3130,14225,Trường THPT Nội Trú Lạng Sơn,Trường THPT Dân Tộc Nội Trú
3131,13882,Truong PTDTNT-Trường THPT-H Dien Bien Dong,Trường PTDTNT Trường THPT Điện Biên Đông
3132,2106,Trường THPT quoc te viet uc,Trường THPT quốc tế Việt úc
3133,13468,Trường Trung Cấp Y Khoa Hà Nội,Trường Trung Cấp Y Khoa Hà Nội
3134,964,truong dai hoc cao lanh dong thap,Đại học Đồng Tháp
3135,5164,Trường THPT thi xa binh long,Trường THPT Thị xã Bình Long
3136,4595,truong Trường THPT tay tra tu 01 02 2020,Trường THPT Tây Trà
3137,5052,cao dang su pham da lat,Cao Đẳng sư phạm Đà Lạt
3138,11906,Trường THPT Tân Châu,Trường THPT Tân Châu 
3139,672,Học Viện Tài Chính,Học Viện Tài Chính
3140,3808,Trường THPT yen mo b,Trường THPT Yên Mô B
3141,14484,Trường THPT phan dinh phung daklak,Trường THPT Phan Đình Phùng
3142,3151,trung tam gdnn gdtx quang yen co so cd nong lam dong bac,TT GDNN-GDTX Quảng Yên 
3143,11499,Khoa Du Lịch_ĐH Huế,Trường Du Lịch Đại học Huế
3144,10961,Truong Ptth Thieu hoa 1,Trường THPT Thiệu Hoá
3145,3560,cd nghe co dien tay bac,CĐ nghề Cơ điện Tây Bắc
3146,402,UAH,Đại Học Kiến Trúc TP.HCM
3147,4715,Trường THPT ngo le tan,Trường THPT Ngô Lê Tân
3148,1574,Trường THCS-THPT nguyen binh khiem cau giay,Trường THCS-THPT Nguyễn Bỉnh Khiêm- Cầu Giấy
3149,11717,truong kt kt bac thang long,Trường Trung cấp Kinh tế Kỹ thuật Bắc Thăng Long
3150,8730,truong Trường THPT thap cham,Trường THPT Tháp Chàm
3151,8686,đại học sĩ quan đặc công,Trường Sỹ Quan Đặc Công Xuân Mai
3152,14576,Trường THPT Dak Song - Đăk Nông,Trường THPT Đăk Song
3153,14518,Phổ thông sóc sơn kiên giang,Trường THPT Sóc Sơn
3154,8260,Truong Trường THPT Chuyen Quang Binh,Trường THPT chuyên Võ Nguyên Giáp - Quảng Bình
3155,4993,Trường THPT ha huy tap he gdtx,Trường THPT Hà Huy Tập 
3156,12298,Cao Đẳng TCKT Quảng Ngãi,Trường Đại học Tài chính - Kế toán
3157,8830,Truong cao dang cong nghiep tuy hoa,Trường Cao Đẳng Công Thương Miền Trung
3158,6150,trung tam gdnn gdtx chauthanh,TT GDNN-GDTX ChâuThành
3159,3908,Trường THPT duong dinh nghe,Trường THPT Dương Đình Nghệ
3160,2147,Trường THPT trung lap,Trường THPT Trung Lập
3161,13814,Cao Đẳng Công nghệ và Quản trị Sonadezi,Trường Cao Đẳng Công nghệ và Quản trị Sonadezi
3162,9717,Trường THPT Lịch Hội Thượng,Trường THPT Lịch Hội Thượng
3163,10761,Trường THPT Phan Chu Trinh - Tây Hồ - Hà Nội,Trường THPT Phan Chu Trinh
3164,7385,DH Mo Hong Cam,Cao Đẳng nghề Mỏ Hồng Cẩm
3165,12656,TPHP Trinh Hoai Duc,Trường THPT Trịnh Hoài Đức
3166,8423,tTrường THPT nghi loc 2,Trường THPT Nghi Lộc 2
3167,4245,Trường THPT so 2 bo trach,Trường THPT số 2 Bố Trạch
3168,10852,Trường THPT cái nước,Trường THPT Cái Nước
3169,192, Ho Chi Minh City University of Technology ,Đại Học Công nghệ TP.HCM
3170,13348,Truong Trường THPT lang giang so1,Trường THPT Lạng Giang số 1
3171,3913,Trường THPT trieu son 4,Trường THPT Triệu Sơn 4
3172,2228,Trường THPT 25 10,Trường THPT 25/10
3173,14396,Cao Đẳng Sư Phạm Nghệ Anp,Trường Cao Đẳng Sư phạm Nghệ An
3174,14558,Trường Trung Cấp Thương Mại Đại Náo,Trường Trung Cấp Kinh Tế Kỹ Thuật Thương Mại
3175,9305,Trung học phổ thông Quang Trung,Trường THPT Quang Trung Đống Đa
3176,2850,phong gd dt huyen thuan chau,Phòng GD-ĐT huyện Thuận Châu
3177,7813,Trung tam GDTX TAN CHAU,TT GDTX
3178,1953,Trường THPT ngo gia tu,Trường THPT Ngô Gia Tự
3179,7476,PTTH Dong Trieu,Trường THPT Đông Triều
3180,4628,trung tam gdnn gdtx ngoc hoi,TT GDNN-GDTX Ngọc Hồi
3181,371,UTM,Đại Học Công Nghệ và Quản Lý Hữu Nghị
3182,7905,"Trường THPT Lê Thanh HIền, Cái Bè'",Trường THPT Lê Thanh Hiền
3183,11268,Trường trung học phổ thông mang thit,Trường THPT Mang Thít
3184,726,Cao Đẳng Công Nghệ Thông Tin – Đại Học Đà Nẵng,Cao Đẳng Công Nghệ Thông Tin – Đại Học Đà Nẵng
3185,7032,Trường THPT DTNT Ka Lăng,Trường THPT DTNT Ka Lăng
3186,6280,Trường THPT tieu can,Trường THPT Tiểu Cần
3187,8306,Trường THPT Que Lam,Trường THPT Quế Lâm
3188,1502,Trường THPT nguyen trai ba dinh,Trường THPT Nguyễn Trãi-Ba Đình
3189,2006,th Trường THCS va Trường THPT my viet,Trường THCS-THPT Mỹ Việt
3190,4238,Trường THPT so 1 quang trach,Trường THPT số 1 Quảng Trạch
3191,12678,Trường THCS PT Hậu Thạnh Đông,Trường THCS-THPT Hậu Thạnh Đông
3192,3542,pt dtnt Trường THCS-THPT ngoc son,PT DTNT Trường THCS-THPT Ngọc Sơn
3193,5309,Trường THPT chuyen hoang le kha,Trường THPT chuyên Hoàng Lê Kha
3194,6728,truong tc yte ninh thuan,Trường Trung cấp Y tế Ninh Thuận
3195,8100,PTTH Trieu Son 1,Trường THPT Triệu Sơn 1
3196,1337,dhcntp tphcm,Đại học Công nghiệp Thực phẩm TP.HCM
3197,7642,Trường THPT HA HUY TAP - Cam Xuyen - Ha Tinh,Trường THPT Hà Huy Tập
3198,2207,tt dn gdtx do son,TT DN-GDTX Đồ Sơn
3199,8474,Đại học Sư phạm Thái Nguyên,Trường Đại học Sư phạm Thái Nguyên
3200,8887,học viện nghề số 18-BQP,TT Đào tạo nghề Thành An
3201,7672,"Trường THPT Lý Tự Trọng, Bình Trị , Thăng Bình, Quảng Nam",Trường THPT Lý Tự Trọng
3202,2331,Trường THPT bac me,Trường THPT Bắc Mê
3203,3722,Trường THPT quynh coi,Trường THPT Quỳnh Côi
3204,10663,truong Trường THPT dl nguyen khac vien,Trường THPT NGUYỄN KHẮC VIỆN 
3205,11143,Trường THPT Phú Hữu,Trường THPT Phú Hữu
3206,11172,Trường THPT Tăn hồg,Trường THPT Tân Hồng
3207,13590,Trung hoc pho thong cam thuy 3,Trường THPT 3 Cẩm Thủy
3208,8499,Truong trung hoc pho thong anh son 2 nghe an,Trường THPT Anh Sơn 2
3209,249,HITGU,Đại Học Công Nghiệp Dệt May Hà Nội
3210,5607,Trường THPT chau thanh,Trường THPT Châu Thành
3211,11840,Dong A - DN,Đại Học Đông Á - Đà Nẵng
3212,12180,Trường THPT Nguyễn Trãi,Trường THPT Nguyễn Trãi - Ba Đình
3213,3626,dh su pham ky thuat nam dinh,ĐH Sư phạm Kỹ thuật Nam Định
3214,12131,Trường Đại Học Nông Lâm TP.HCM,Trường Đại học Nông Lâm TP.HCM
3215,10545,TTrường THCS huynh thuc khang,Trường THPT Huỳnh Thúc Kháng
3216,4777,truong Trường THPT quang trung,Trường THPT Quang Trung
3217,6405,Trường THPT ninh thanh loi,Trường THPT Ninh Thạnh Lợi
3218,7362,ĐH QUỐC TẾ HỒNG BÀNG - CHUYÊN NGÀNH DU LỊCH.,Đại học Quốc tế Hồng Bàng
3219,1367,truong dai hoc ki thuat cong nge tp hcm_hutech,Đại Học Công nghệ TP.HCM
3220,14149,Nam Ki Khoi Nghia Q11,Trường THPT Nam Kỳ Khởi Nghĩa
3221,2433,Trường THPT dao san,Trường THPT Dào San
3222,5447,th Trường THCS-THPT nguyen van troi,Trường THCS-THPT Nguyễn Văn Trỗi
3223,2883,trung tam gdnn gdtx huyen song ma,TT GDNN-GDTX huyện Sông Mã
3224,6859,Trung cấp VHNT & DL sơn la,Trung cấp Văn hóa Nghệ thuật và Du lịch Sơn La
3225,14233,Military Medical Intermediate,Học viện Quân y 
3226,13820,phổ thông cầm bá thước,Trường THPT Cầm Bá Thước
3227,13698,Trường THCS cẩm xá,Trường THCS̉ Cẩm Xá
3228,8995,cd su pham mam non,Cao Đẳng Sư phạm Mầm non Trung Ương
3229,9866,Trường THPT chuyen tra vinh,Trường THPT Chuyên Nguyễn Thiện Thành
3230,5388,tt gdtx tinh binh thuan,TT GDTX Tỉnh Bình Thuận
3231,4551,truong Trường THPT chuyen le khiet,Trường THPT chuyên Lê Khiết
3232,11576,Trường THPT iS school long an,Trường iSchool Long An
3233,2113,Trường THPT thu duc,Trường THPT Thủ Đức
3234,13519,Đại học Thương Mại,Trường Đại học Thương mại
3235,7923,Nguyen huu canh hon quan binh phuoc,Trường THPT Nguyễn Hữu Cảnh
3236,9151,Trường trung cấp kỹ nghệ Thanh Hóa,Trường Trung Cấp Nghề Kỹ Nghệ Thanh Hóa
3237,5704,trung cap nghe gdtx thap muoi,Trung cấp nghề - GDTX Tháp Mười
3238,226, TDU,Đại Học Thành Đô
3239,8245,Su pham mam n0n,Cao Đẳng Sư phạm Mầm non Trung Ương
3240,8012,"Trường THPT Quỳnh Côi, Thái Binh",Trường THPT Quỳnh Côi
3241,9375,Trường THPT Hàm Rồng,Trường THPT Hàm Rồng
3242,3902,Trường THPT tong duy tan,Trường THPT Tống Duy Tân
3243,2264,tt gdtx ktth hn dn hai chau,TT GDTX-KTTH-HN-DN Hải Châu
3244,13017,Cao dang su pham BRVT,Cao Đẳng Sư phạm Bà Rịa-Vũng Tàu
3245,11036,Trường Cao Đẳng Asean,Trường Cao Đẳng Y - Dược ASEAN
3246,3865,Trường THPT cam ba thuoc,Trường THPT Cầm Bá Thước
3247,7888,Trường Cao Đẳng y tế Cà Mau,Trường Cao Đẳng Y Tế Cà Mau
3248,13260,Mo đia chât,Trường Đại học Mỏ - Địa chất.
3249,12231,Dai Hoc DienLuc,Trường Đại học Điện Lực
3250,4443,truong trung cap asean,Trường Trung cấp ASEAN
3251,7460,Truog Trường THPT nguyen chi thanh,Trường THPT Nguyễn Chí Thanh
3252,3460,Trường THPT tran hung dao,Trường THPT Trần Hưng Đạo
3253,9482,ngyen thi minh khai,Trường THPT Nguyễn Thị Minh Khai
3254,4278,tt gd dn quang trach,TT GD-DN Quảng Trạch
3255,12680,Đại Học Hoa Lư,Trường Đại học Hoa Lư
3256,4630,pt dtnt dak to,PT DTNT Đăk Tô
3257,6115,gdnn gdtx huyen co do,TT GDNN-GDTX huyện Cờ Đỏ
3258,14359,Trường Trường THPT Minh Long,Trường THPT Minh Long
3259,2026,th Trường THCS va Trường THPT nguyen tri phuong,Trường THCS-THPT Nguyễn Tri Phương
3260,6931,College Sai Gon ACT,Cao Đẳng văn hóa nghệ thuật và du lịch Sài Gòn
3261,10879,Trường Cao Đẳng KTKH Đà nẵng,Trường Cao Đẳng Kinh tế - Kế hoạch Đà Nẵng
3262,3873,Trường THPT nhu thanh,Trường THPT Như Thanh
3263,9050,Trường THPT Ngo Quyen Nam,Trường THPT Ngô Quyền
3264,9191,Trường THPT Phú Riềng,Trường THPT Phú Riềng
3265,12413,Trường THPT Long Thới,Trường THPT Long Thới
3266,1826,Trường THPT phu xuyen b,Trường THPT Phú Xuyên B
3267,4897,Trường THPT hong duc,Trường THPT Hồng Đức
3268,10572,phổ thông quỳnh côi,Trường THPT Quỳnh Côi
3269,9195,Trung Hoc Pho Thong Chieng Son,Trường THPT Chiềng Sơn
3270,6925,đại học sp tdtt,Đại học Sư phạm Thể dục Thể thao Hà Nội
3271,10288,Cao đăng y tê ĐN,Cao Đẳng Y Dược Đà Nẵng - Trường Cao Đẳng Công Nghệ Y Dược Việt Nam
3272,4334,Trường THPT hai lang,Trường THPT Hải Lăng
3273,9260,truong Trường THCS TRAN qUOC tOAN,Trường THPT Trần Quốc Tuấn
3274,12846,ULIS - Vietnam National University,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội"
3275,6517,trung tam gdtx huyen tua chua,TT GDTX huyện Tủa Chùa
3276,618,Đại học Thủ Đô Hà Nội,Đại học Thủ Đô Hà Nội
3277,3294,Trường THPT ngo gia tu,Trường THPT Ngô Gia Tự
3278,9165,truong dai hoc Hang hai Viet Nam,Trường Đại học Hàng hải Việt Nam
3279,3207,tt gdtx dn h luc nam,TT GDTX-DN H.Lục Nam
3280,4765,truong trung hoc lam nghiep tay nguyen,Trường Trung học lâm nghiệp Tây Nguyên
3281,6046,Trường THPT u minh thuong,Trường THPT U Minh Thượng
3282,9625,Trường Mầm Non An Dương,Trường Mầm Non An Dương
3283,7793,Trường THPT Tĩnh Gia3,Trường THPT Tĩnh Gia 3
3284,6385,trung tam gdnn gdtx huyen tran de,TT GDNN-GDTX huyện Trần Đề
3285,193, HUTECH,Đại Học Công nghệ TP.HCM
3286,4400,Trường THPT vinh xuan,Trường THPT Vinh Xuân
3287,6081,tc the duc the thao can tho,TC Thể dục - Thể Thao Cần Thơ
3288,8541,Truong CDSP DB,Trường Cao Đẳng sư phạm Điện Biên
3289,6801,Phổ Thông Kỳ Lâm,Trường THPT Kỳ Lâm
3290,9060,Trường Cao Đẳng GTVT Trung Ương III,Trường Cao Đẳng GTVT Trung ương III
3291,10197,DHSP1,Trường Đại học Sư phạm Hà Nội
3292,4673,trung tam gdtx tinh binh dinh,TT GDTX Tỉnh Bình Định
3293,833,truong cao dang van hoa nghe thuat hcm cvn,Cao Đẳng Văn Hóa Nghệ Thuật TP.HCM
3294,7046,Bán Công nguyễn trãi thị xã nghĩa lộ,Trường THPT bán công Nguyễn Trãi
3295,8412,Trường THPT Trần Phú - Hoàn Kiếm,Trường THPT Trần Phú
3296,7168,ĐH Công nghiệp Hà Nội,Đại Học Công nghiệp Hà Nội
3297,8526,Trường THPT Trương Vĩnh Ký Chợ Lách Bến Tre,Trường THPT Trương Vĩnh Ký
3298,12835,Vietnam Judicial Academy,Học viện Tư pháp
3299,9504,Faculty of forein languages - Thai Nguyen university,Trường Ngoại ngữ - Đại học Thái Nguyên 
3300,5634,tt gdnn gdtx huyen tan hung,TTGDNN-GDTX huyện Tân Hưng
3301,7028,Trường THPT dam ha,Trường THPT Đầm Hà
3302,2963,truong Trường THPT luong son,Trường THPT Lương Sơn
3303,10469,Trường THPT NGHĨA HƯNG B NAM ĐỊNH,Trường THPT B Nghĩa Hưng
3304,7800,"Trường THPT ĐOÀN THỊ ĐIỂM, BẾN TRE",Trường THPT Đoàn Thị Điểm
3305,1381,11cntt dai hoc su pham da nang,Đại học Sư phạm Đà Nẵng - Đại học Đà Nẵng
3306,10981,Trường THPT nguyen van nguyen thoi bing ca mau,Trường Trường THPT NGUYỄN VĂN NGUYỄN
3307,10480,dai hoc cong nhiep quang ninh,Trường Đại học Công nghiệp Quảng Ninh
3308,11030,Trường Cao Đẳng Y Tế Quảng Ninh,Cao Đẳng Y tế Quảng Ninh
3309,9217,Cao Dang Ke Toan K3,Trường Cao Đẳng Kế toán Hà Nội
3310,296,HUNRE,Đại học Tài Nguyên và Môi Trường Hà Nội
3311,8674,mỹ thuật công nghiệp,Trường Đại học Mỹ thuật Công nghiệp
3312,7876,TT GDTX Chí Linh,TT GDNN-GDTX THÀNH PHỐ CHÍ LINH
3313,11390,TPTH thị xã Quảng Trị,Trường THPT Thị xã Quảng Trị
3314,12878,TT GDTX DN lang giang,TT GDTX - DN Lạng Giang
3315,2038,Trường THPT nguyen thai binh,Trường THPT Nguyễn Thái Bình
3316,6751,NTTS dai hoc An Giang,Đại học An Giang
3317,14112,dai hoc tdtt ha noi,Trường Đại học Sư phạm Thể dục Thể thao Hà Nội
3318,10840,Trường THPT Hong Ngu 1,Trường THPT Hồng Ngự 1
3319,2035,tc tong hop thanh pho ho chi minh,TC Tổng Hợp TP.HCM
3320,8870,hoc vien nong nghiep viet nam,Học viện Nông nghiệp Việt Nam
3321,4537,trung tam gdnn gdtx huyen binh son,TT GDNN-GDTX huyện Bình Sơn
3322,4704,tt gdtx hn phu my,TT GDTX-HN Phù Mỹ
3323,5571,tt gdtx ktth hn moc hoa cu tu nam 2013 ve truoc,TTGDTX&KTTH-HN Mộc Hóa
3324,7780,Trung hoc PT chuyen Quang Binh,Trường THPT chuyên Võ Nguyên Giáp - Quảng Bình
3325,9144,Trug hox pko? thog Bjnh Djen,Trường THPT Bình Điền
3326,6918,A4 _ k29 Trường THPT số 2 Bảo Yên,Trường THPT Số 2 Bảo Yên
3327,10883,Trường Cao Đẳng Y Tế Khánh hòa,Trường Cao Đẳng Y tế Khánh Hòa
3328,8194,Trường THPT Nguyễn Hùng Hjệp,Trường THPT Nguyễn Hùng Hiệp
3329,5807,pt binh long,Trường THPT Bình Long
3330,11380,Trường THPT Nguyễn Thái Bình,Trường THPT Nguyễn Thái Bình
3331,5732,tt day nghe gdtx huyen hong ngu,TT Dạy nghề - GDTX huyện Hồng Ngự
3332,3251,tt gdnn gdtx h yen dung,TT GDNN-GDTX H.Yên Dũng
3333,10597,Đai hoc Kinh te Quoc dan,Trường Đại Học Kinh Tế Quốc Dân
3334,11862,Bui Thi Xuan bien hoa,Trường THPT Bùi Thị Xuân
3335,9433,Trung Học Phổ Thông Bá Thước,Trường THPT Bá Thước
3336,3226,Trường THCS va Trường THPT hiep hoa,Trường THCS-THPT Hiệp Hòa
3337,14609,Cao Đẳng thương mại và du lịch,Trường Cao Đẳng Thương mại và Du lịch Hà Nội
3338,13557,Đại Học Tôn Đức Thắng,Trường Đại học Tôn Đức Thắng
3339,10532,Trường THPT Quỳnh Côi,Trường THPT Quỳnh Côi
3340,2648,Trường THPT phu thong,Trường THPT Phủ Thông
3341,2486,tt gdnn gdtx huyen bat xat,TT GDNN-GDTX huyện Bát Xát
3342,6717,TT hướng nghiệp và GDTX huyện vân đồn,TT Hướng Nghiệp Và GDTX Huyện Vân Đồn
3343,75, Hanoi Law University ,Đại Học Luật Hà Nội
3344,5492,Trường THPT truong vinh ky,Trường THPT Trương Vĩnh Ký
3345,12644,TT GDTX Tiên Lữ,TT GDTX Tiên Lữ
3346,3420,trung cap nghe giao thong van tai hy,Trung cấp Nghề Giao thông Vận tải HY
3347,8945,Ha Noi Academy Of Theatre And Cinema,Trường Đại học Sân khấu Điện ảnh Hà Nội
3348,958,danang university of economics (truong dai hoc kinh te da nang),Đại học Kinh tế - Đại học Đà Nẵng
3349,12897,Trường Cao Đẳng Mỹ Thuật Trang Trí Đồng Nai,Trường Cao Đẳng Mỹ thuật trang trí Đồng Nai
3350,13760,Truong trung hoc pho thong so II tu nghia,Trường THPT Số 2 Tư Nghĩa
3351,7039,Trường THPT Hoàng Hoa Thám - Đà Nẵng,Trường THPT Hoàng Hoa Thám
3352,9663,cao đẳng lạc việt đà nẵng,Trường Cao Đẳng LẠC VIỆT
3353,14002,Đại Học Luật Tp Hồ Chí Minh,Trường Đại học Luật TP.HCM
3354,1157,truong cao dang gtvt trung uong v da nang,Cao Đẳng giao thông vận tải Trung ương 5
3355,5840,quan nhan cong an tai ngu_52,"Quân nhân, Công an tại ngũ_52"
3356,11613,Trường Sĩ quan kỹ thuật Quân sự,Học viện Kỹ thuật Quân sự
3357,14036,Đại Học Hàng Hải,Trường Đại học Hàng hải Việt Nam
3358,2340,Trường THPT xin man,Trường THPT Xín Mần
3359,9627,DHSP1 HaNoi,Trường Đại học Sư phạm Hà Nội
3360,12124,daj hoc hang haj,Trường Đại học Hàng hải Việt Nam
3361,4505,tt gdtx hn nui thanh,TT GDTX-HN Núi Thành
3362,5736,Trường THPT hong ngu 1,Trường THPT Hồng Ngự 1
3363,7160,Trường THPTTH Thị Trấn Sơn Tinh,Trường THPT Số 1 Sơn Tịnh
3364,5562,tt gdtx tp tan an,TTGDTX Tp. Tân An
3365,5858,Trường THPT ba ria,Trường THPT Bà Rịa
3366,12667,Truong Sy Quan Công Binh,Trường Đại học Ngô Quyền
3367,617,Đại Học Luật Hà Nội,Đại Học Luật Hà Nội
3368,8942,Vinh long,Thành phố Vĩnh Long
3369,8733,TCDSP lao cai,Trường Cao Đẳng SƯ PHẠM LAO CAI
3370,2982,truong Trường THPT phong chau,Trường THPT Phong Châu
3371,4489,Trường THPT nguyen van cu,Trường THPT Nguyễn Văn Cừ
3372,5456,tc kinh te ky thuat so 2,TC Kinh tế - Kỹ thuật số 2
3373,2203,tt dn gdtx hai an,TT DN-GDTX Hải An
3374,13638,Trường THPT Tân Phú Trung,Trường Trường THPT Tân Phú Trung
3375,6264,Trường THPT chuyen tra vinh 2011,Trường THPT Chuyên Trà Vinh 
3376,14195,ĐH Công Nghiệp Thực Phẩm HCM,Trường Đại học Công nghiệp Thực phẩm TP.HCM
3377,373,PCTU,Đại học Phan Châu Trinh
3378,2617,tt gdtx loc binh,TT GDTX Lộc Bình
3379,13353,Trường THPT Võ Thị Sáu - Đất Đỏ - BR - VT,Trường THPT Võ Thị Sáu
3380,4900,Trường THPT le quy don,Trường THPT Lê Quý Đôn
3381,11227,Trường THPT Nghi Lộc ll,Trường THPT Nghi Lộc 2
3382,8666,pho thong nong cong 1,Trường THPT Nông Cống I
3383,3206,ptth dan lap doi ngo,PTTH dân lập Đồi Ngô
3384,3317,phong gd dt luong tai,Phòng GD-ĐT Lương Tài
3385,11459,Trường Cao Đẳng Văn hóa Nghệ thuật Hà Nội,Trường Cao Đẳng Nghệ Thuật Hà Nội
3386,2802,Trường THPT van chan,Trường THPT Văn Chấn
3387,13490,ĐH SPHN,Trường Đại học Sư phạm Hà Nội
