index,text,cleaned_text
2546,Trường THPT Trần Phú -Nga Sơn,THPT Trần Phú
2547,trung hoc pt tran phu,THPT Trần Phú
2548,Trường cấp 2-3 Trần Phú,THPT Trần Phú
2549,Phổ thông trần phú,THPT Trần Phú
2550,Trường THPT Trần Phú - TP Đà Nẵng,THPT Trần Phú
2551,Trường THPT Tran Phu,THPT Trần Phú
2552,Trường THPT Trần Phú - Tp . Đà Nẵng,THPT Trần Phú
2553,Trường THPT TRAN PHU DUC THO,THPT TRẦN PHÚ
2554,"Trường THPT Số 3 Bố Trạch, Quảng Bình",THPT Trần Phú
2555,Trường THPT Trần Phú Võ Nhai Thái Nguyên,THPT Trần Phú
2556,Trường THPT TRẦN QUANG DIỆU,THPT Trần Quang Diệu
2557,Trường THPT TRẦN QUANG DIỆU,THPT Trần Quang Diệu
2558,Trường THPT Trần Quang Khải - Long Điền - BRVT,THPT Trần Quang Khải
2559,Trường THPT Trần Quang Khải - Long Điền - BRVT,THPT Trần Quang Khải
2560,Trường THCS Trần Quang Khải,THPT Trần Quang Khải
2561,Trường THPT TRÂN QUÔC ĐAI,THPT Trần Quốc Đại
2562,"Trường THPT Tran Quoc Toan, Cao Lãnh, Đồng Tháp",THPT Trần Quốc Toản
2563,truong Trường THCS TRAN qUOC tOAN,THPT Trần Quốc Tuấn
2564,Truong Trường THPT TRAN QUOC TUAN PHU THIEN,THPT Trần Quốc Tuấn
2565,Trường Trung Học Phổ Thông Trần Quốc Tuấn,THPT Trần Quốc Tuấn
2566,Trường THPT Trần Quốc Tuấn - Thái Nguyên,THPT Trần Quốc Tuấn
2567,"Trường THPT Phú Thiện, Gia Lai",THPT Trần Quốc Tuấn
2568,Trường Trung Học Phổ Thông Trần Quốc Tuấn,THPT Trần Quốc Tuấn
2569,Trường THPT Trần Quốc Tuấn - Thái Nguyên,THPT Trần Quốc Tuấn
2570,Trung học phổ thông Trần Quốc Tuấn quảng ngãi,THPT Trần Quốc Tuấn
2571,Trường THPT Trần Quốc Tuấn thành phố quảng ngãi,THPT Trần Quốc Tuấn
2572,"tran quoc tuan, hai hau",THPT Trần Quốc Tuấn
2573,pho thong trung hoc A Hai Hau,THPT Trần Quốc Tuấn
2574,Trường THPT Tran Thi Dung,THPT Trần Thị Dung
2575,THPH TRAN VAN KIET,THPT Trần Văn Kiết
2576,Trường THPT Châu Thành A - Bến Tre,THPT Trần Văn Ơn
2577,Trường Trần Văn Quan,THPT Trần Văn Quan
2578,Trường THPT Trảng Bàng,THPT Trảng Bàng
2579,trung hoc Trang bàng,THPT Trảng Bàng
2580,Trường THPT trang dinh lang son,THPT Tràng Định
2581,Trường THPT Đức Trí,THPT Trí Đức
2582,Trường THPT Đưc Tri,THPT Trí Đức
2583,Trường THPT Trệu Sơn 1 Thanh hóa,THPT Triệu Sơn 1
2584,"PTTH Triệu Sơn 1, Triệu Sơn - Thanh Hóa",THPT Triệu Sơn 1
2585,Trường THPT Triệu Sơn 2,THPT Triệu Sơn 2
2586,Triệu sơn 3,THPT Triệu Sơn 3
2587,Trường THPT TRuc ninh,THPT Trực Ninh
2588,Phổ thôg Trug Giã,THPT Trung Giã
2589,truong Trường THPT Trung Nghia,THPT Trung Nghĩa
2590,Trường THPT Trung Nghĩa,THPT Trung Nghĩa
2591,thph trung nghia,THPT Trung Nghĩa
2592,Trường THPT Trung Phú,THPT Trung Phú
2593,Trung học phổ thông Trưng Vương,THPT Trưng Vương
2594,"TRUONG PTTH TRUNG VUONG , TP QUY NHON, BINH DINH",THPT Trưng Vương
2595,Trường trung hoc phổ thông trưng vương q1.tphcm,THPT Trưng Vương
2596,TRUONG Trường THPT TRUNG VUONG - QUI NHON,THPT Trưng Vương
2597,truong trung hoc pho thong truong chinh,THPT Trường Chinh
2598,"Trường THPT Trường Chinh,ninh thuan",THPT Trường Chinh
2599,trương Trường THPT Trường chinh,THPT Trường Chinh
2600,Trường THPT TRƯƠNG ĐỊNH - Tỉnh TIỀN GIANG,THPT Trương Định
2601,Trường THPT TRƯƠNG ĐỊNH - Tỉnh TIỀN GIANG,THPT Trương Định
2602,"Trường THPT Truong Vinh Ky, Ben Tre",THPT Trương Vĩnh Ký
2603,"Trường THPT Trương Vĩnh Kí, Chợ Lách, Bến Tre",THPT Trương Vĩnh Ký
2604,Trường THPT tú doan,THPT Tú Đoạn
2605,Trường Trường THPT Tứ Kiệt,THPT Tứ Kiệt
2606,Trường THPT Tứ Kiệt,THPT Tứ Kiệt
2607,PTTH Tuan Giao,THPT Tuần Giáo
2608,Trường THPT Tùng Thiện_Sơn Tây_Hà Nội,THPT Tùng Thiện
2609,Trường THPT tươg dươg 2,THPT Tương Dương 2
2610,Trường THPT tươg dươg 2,THPT Tương Dương 2
2611,Trường THPT tuong duong2,THPT Tương Dương 2
2612,Trường THPT Tuyên Hóa - Quảng Bình,THPT Tuyên Hóa - Quảng Bình
2613,Trường THPTTH Tuyên Hóa,THPT Tuyên Hóa - Quảng Bình
2614,trg THPT Ứng Hòa A,THPT Ứng Hòa A
2615,Trường THPT ứng hoà A,THPT Ứng Hòa A
2616,Trường THPT ứng hoà A,THPT Ứng Hòa A
2617,Trung học ứng hòa A,THPT Ứng Hòa A
2618,Trường THPT Long Kiến,THPT Ung Văn Khiêm
2619,Trường THPT Uông Bí,THPT Uông Bí
2620,truong ptth uong bi quang ninh,THPT Uông Bí
2621,Trung học phổ thông Văn Chấn,THPT Văn Chấn
2622,Trường Trung Học Phổ Thông Văn Hiến,THPT VĂN HIẾN
2623,Trường THPT Văn Hiến Long Khánh,THPT Văn Hiến
2624,Trường THPT dân lập Văn Hiến,THPT VĂN HIẾN
2625,Truong trung hoc pho thong van hien,THPT VĂN HIẾN
2626,Trường THPT VÂN KHAH,THPT Vân Khánh
2627,Trường THPT Văn Lâm,THPT Văn Lâm
2628,Trường THPT Văn Lang,THPT Văn Lang
2629,Trường THPT Văn Lãnq,THPT Văn Lang
2630,Trường THPT-Trường THCS-TH Văn Lang,THPT Văn Lang
2631,"Trường THPT Van Ngoc Chinh xa Thanh Phu, my xuyen, soc trang",THPT Văn Ngọc Chính
2632,Van Ngoc Chinh,THPT Văn Ngọc Chính
2633,Trường THPT Văn Ngọc Chính,THPT Văn Ngọc Chính
2634,Văn Ngọc Chính,THPT Văn Ngọc Chính
2635,Truong Trường THPT VAN NHAM,THPT Vân Nham
2636,Trung Học Phổ Thong van nham,THPT Vân Nham
2637,Trường THPT vân nham,THPT Vân Nham
2638,truong trung hoc pho thong van noi,THPT Vân Nội
2639,Trường THPT Vạn Xuân - HĐ,THPT Vạn Xuân
2640,Trường THPT Vạn Xuân - HĐ,THPT Vạn Xuân
2641,truong trung hoc pho thong vi thuy,THPT Vị Thủy
2642,PTTH Viet Bac,THPT Việt Bắc
2643,truong trung hoc co so viet duc,THPT Việt Đức
2644,Trường THPTTH Việt Đức - Hà Nội,THPT Việt Đức
2645,Trường THPT Việt Lâm,THPT Việt Lâm
2646,Trường THPT  Việt Nam - Ba Lan,THPT Việt Nam Ba Lan
2647,Trường THPT VietNam-BaLan,THPT Việt Nam Ba Lan
2648,Cap III Viet Tri,THPT Việt Trì
2649,truong trung hoc pho thong hung an bac quang ha giang,THPT Việt Vinh
2650,truong trung hoc pho thong hung an bac quang ha giang,THPT Việt Vinh
2651,phổ thông việt vinh,THPT Việt Vinh
2652,pho thong viet yen 1,THPT Việt Yên 1
2653,Truong Trường THPTvy1,THPT Việt Yên 1
2654,Trung Học Phổ Thông Viêt Yên số 2,THPT Việt Yên 2
2655,Trường THPT Việt Yên 2- viet yen - bac giang1980_1983,THPT Việt Yên số 2
2656,"Trường THPTTH Vĩnh Chân, Hạ Hòa, Phú Thọ",THPT Vĩnh Chân
2657,Trường trung hoc vinh hoa hung bắc,THPT Vĩnh Hòa Hưng Bắc
2658,Trường THPT Vĩnh Hưng Long an,THPT Vĩnh Hưng
2659,Trường THPT Vinh Hung,THPT Vĩnh Hưng
2660,Truong Trường THPT Vinh Kim Chau Thanh TG,THPT Vĩnh Kim
2661,Trường THPT Vĩnh Kim,THPT Vĩnh Kim
2662,Trường THPT vỉnh linh,THPT Vĩnh Linh
2663,Trường THPT Vĩnh Lộc,THPT VĨNH LỘC
2664,Truong Trường THPT Vinh Thang,THPT Vĩnh Thắng
2665,Trường THPT Vĩnh Thuận- Kiên Giang,THPT Vĩnh Thuận
2666,Trường THPT VĨNH TRẠCH,THPT Vĩnh Trạch
2667,Trường THPT Vĩnh Trạch,THPT Vĩnh Trạch
2668,Trường THPT VĨNH TRẠCH,THPT Vĩnh Trạch
2669,Trường THPT Vĩnh Trạch,THPT Vĩnh Trạch
2670,"Trường THPT Vĩnh Trạch ,Thoại Sơn, An Giang",THPT Vĩnh Trạch
2671,Trường THPT vinh xuan,THPT Vinh Xuân
2672,Truong Trường THPT vjnh xuan,THPT Vinh Xuân
2673,truong trung hoc pho thong vinh xuan,THPT Vinh Xuân
2674,Trường THPT dân lập vĩnh yên,THPT Vĩnh Yên
2675,pho thong vo minh duc,THPT Võ Minh Đức
2676,Trường THPTTH Võ Thị Sáu huyện Đất Đỏ,THPT Võ Thị Sáu
2677,Trường THPT Võ Thị Sáu - Đất Đỏ - BR - VT,THPT Võ Thị Sáu
2678,Trường THPT Võ Thị Sáu-Đất Đỏ,THPT Võ Thị Sáu
2679,"Trường THPT Võ Thị Sáu, Châu Đốc, An Giang",THPT Võ Thị Sáu
2680,Trường THPT chuyên võ thị sáu thành phố hồ chí minh,THPT Võ Thị Sáu
2681,truong pho thong vo thi sau,THPT Võ Thị Sáu
2682,Trường THPT vo thi sau dat do brvt,THPT Võ Thị Sáu
2683,Truong Trường THPT Vo Van Kiet,THPT Võ Văn Kiệt
2684,Trường THPT Võ Văn Kiệt,THPT Võ Văn Kiệt
2685,trung hoc pho thong vu the lang,THPT Vũ Thê Lang
2686,pho thog vu tien,THPT Vũ Tiên
2687,TTPT Xuan Ang,THPT Xuân Áng
2688,TTrường THPT XUAN ANG,THPT Xuân Áng
2689,Trường THPT Xuân Áng,THPT Xuân Áng
2690,Trường THPT Xuân Hòa,THPT Xuân Hòa
2691,Trường THPT Xuân Hoà,THPT Xuân Hòa
2692,truong trung hoc pho thong xuan khanh,THPT Xuân Khanh
2693,Trường THPT Xuân Mai,THPT Xuân Mai
2694,Trường THPT Thuy Xuan,THPT Xuân Thủy
2695,pt Xuân Tô,THPT Xuân Tô
2696,Trường Trung Học Phổ Thông Xuân Truong A,THPT Xuân Trường
2697,PTTH Xuan Truong,THPT Xuân Trường
2698,Trường THPT Xuân Truong C,THPT Xuân Trường C
2699,Trường THPT Xuyên Mộc,THPT Xuyên Mộc
2700,"TTPT Yen Chau, Son la",THPT Yên Châu
2701,Trường THPT Yen Dinh I,THPT YÊN ĐỊNH 1
2702,trung học phổ thông yên Định 1,THPT YÊN ĐỊNH 1
2703,Trường THPT Yên Đinh 1,THPT YÊN ĐỊNH 1
2704,Trường THPT Yên Dũng số 1 - Bắc Giang,THPT Yên Dũng 1
2705,Trường THPT yên dũng 1,THPT Yên Dũng 1
2706,Trung hoc pho thog yên dũng 1,THPT Yên Dũng 1
2707,Trường THPT Yên Hoa Huyện Na Hang Tỉnh Tuyên Quang,THPT Yên Hoa
2708,Trường THPTTH Yên H,THPT Yên Hòa
2709,TTrường THPT Yên Hưng,THPT Yên Hưng
2710,Trường THPT Yên Khánh A ( vườn muỗn ),THPT Yên Khánh A
2711,Trường THPT Yên Khánh A ( vườn muỗn ),THPT Yên Khánh A
2712,Trường THPT.yen khanh nb,THPT Yên Khánh B
2713,Trường THPTTH Yên Lạc,THPT Yên Lạc 1
2714,trung hoc pho thong ban cong YENLAC,THPT Yên Lạc 1
2715,PTTH Yên Lạc 2,THPT Yên Lạc 2
2716,Trường THPT Yên Lạc 2,THPT Yên Lạc 2
2717,Truong Trường THPT YL2,THPT Yên Lạc 2
2718,Trường THPT Yên Lãng,THPT Yên Lãng
2719,Trường THPT YenLang,THPT Yên Lãng
2720,Trung học phổ thông yên mjnh,THPT Yên Minh
2721,Trường THPT YM A,THPT Yên Mô A
2722,TPTTH Yên mo A,THPT Yên Mô A
2723,truong trung hoc pho thong yen mo b,THPT Yên Mô B
2724,Trường THPT Yên Mô B - Ninh Bình,THPT Yên Mô B
2725,Trung học phổ thông yên mô C,THPT Yên Mô B
2726,Truong Trường THPT Yen MoB,THPT Yên Mô B
2727,Trường THPT Yên Phong số 1,THPT Yên Phong 1
2728,cap 3 yen phong 1,THPT Yên Phong 1
2729,Trường THPT Yên Phong số 1,THPT Yên Phong 1
2730,pho thong co so yen phong 1,THPT Yên Phong 2
2731,"Trường THPT Yên Thành 2, Nghệ An",THPT Yên Thành 2
2732,Trường THPT Yên Thành 2,THPT Yên Thành 2
2733,PT Yên Thành 3,THPT Yên Thành 3
2734,PT Yên Thành 3,THPT Yên Thành 3
2735,yên thành 3,THPT Yên Thành 3
2736,Truong Trường THPT Yen Thanh III,THPT Yên Thành 3
2737,Trường THPT Yên Thủy B,THPT Yên Thủy B
2738,truong ptdt noi tru hoi an,THPT DTNT Tỉnh Quảng Nam
2739,Trường THPT Thanh Phu,THPT Thạnh Phú
2740,Trường THPT An Hải-Hải Phòng,THPT An Hải
2741,tung hoc Trường THPT bak yen,THPT Bắc Yên
2742,PTDT noi tru Kien Giang,THPT DTNT Huyện An Biên Tỉnh Kiên Giang
2743,"Trường THPT Đức Huệ, Long An",THPT Đức Huệ
2744,Trường THPT Đức Huệ,THPT Đức Huệ
2745,Hoang Hoa 2 highschool,THPT Hoằng Hóa
2746,Hoằng Hóa 2,THPT Hoằng Hóa 2
2747,Hoàng Hoá II,THPT Hoằng Hóa 2
2748,Hoang Hoa 2 highschool,THPT Hoằng Hóa 2
2749,Trường THPT Hùng Vương - Đức tin duc linh binh thuan,THPT Hùng Vương
2750,truong trung hoc pho thong kien hai,THPT Kiên Hải
2751,truong trung hoc pho thong kien hai,THPT Kiên Hải
2752,"Trường THPT Lê Qúy Đôn, Hậu Giang",THPT Lê Quý Đôn
2753,Le Thanh Ton High school - Vietnam,THPT Lê Thánh Tôn cơ so 3
2754,Trường THPT nguyen van nguyen thoi bing ca mau,THPT NGUYỄN VĂN NGUYỄN
2755,Trường THPT Phan Đăng Lưu ( Nghệ An ),THPT Phan Đăng Lưu
2756,TRUONG Trường THPT QUANG XUONG 4,THPT Quảng Xương 4
2757,Trường THPT Quảng Xương IV,THPT Quảng Xương 4
2758,Trường THPT QUY HOP2,THPT Quỳ Hợp 2
2759,Quyhop 2,THPT Quỳ Hợp 2
2760,PHTH Sông Công,THPT Sông Công
2761,PTTH SÔNG CÔNG,THPT Sông Công
2762,Trường THPT Vĩnh Bảo,THPT Vĩnh Bảo
2764,Bachkhoa-aptech,Bách Khoa Aptech
2765,HCMC POLYTECHNOLOGY UNIVERSITY,Bách Khoa Aptech
2766,ban cong phan boi chau,Bán công Phan Bội Châu
2767,trung tam bdnvsp va gdtx tinh ha tinh,BDNVSP và GDTX Hà Tĩnh
2768,truong bo tuc van hoa gia lai kon tum,BTVH Gia Lai Kon Tum
2769,btvh cdkt cao thang,BTVH CĐKT Cao Thắng
2770,truong btvh det nam dinh,BTVH Dệt Nam Định
2771,btvh dh ngoai thuong,BTVH ĐH Ngoại Thương
2772,btvh pali trung cap nam bo,BTVH Pali TC Nam Bộ
2773,btvh thanh da,BTVH Thanh Đa
2775,Cao Đẳng An Ninh Nhân Dân 1,CĐ An Ninh Nhân Dân 1
2776,cao dang asean,CĐ ASEAN
2777,Trường trung cấp Âu Lạc Huế,CĐ Âu Lạc - Huế
2778,truong trung cap au lac hue,CĐ Âu Lạc – Huế
2779,cao dang ba ria vung tau,CĐ Bà Rịa-Vũng Tàu
2780,cao dang bac kan,CĐ Bắc Kạn
2781,Truong Cao Dang Bach Khoa da Nang,CĐ Bách Khoa Đà Nẵng
2782,Cao đẳng Bách Khoa Đà Nẵng,CĐ Bách Khoa Đà Nẵng
2783,Cao Dang Bach Khoa DN,CĐ Bách Khoa Đà Nẵng
2784,cdbk da nang,CĐ Bách Khoa Đà Nẵng
2785,cao dang bach khoa dn,CĐ Bách Khoa Đà Nẵng
2786,cao dang bach khoa dai hoc da nang,CĐ Bách Khoa Đà Nẵng
2787,cao dang bach khoa dn,CĐ Bách Khoa Đà Nẵng
2788,truong cao dang bach khoa da nang,CĐ Bách Khoa Đà Nẵng
2789,cao dang bach khoa ha noi,CĐ Bách Khoa Hà Nội
2790,Cao đẳng Bách khoa Hưng Yên,CĐ Bách khoa Hưng Yên
2791,Bachkhoahungyen,CĐ Bách khoa Hưng Yên
2792,Trường Cao Đẳng Bách Khoa Hưng Yên,CĐ Bách Khoa Hưng Yên
2793,trung cap ki thuat va nghiep vu nam sai gon,CĐ Bách khoa Nam Sài Gòn
2794,Trường Trung cấp Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
2795,Trường trung cấp KT và NV Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
2796,Trung cap Ki thuat va Nghiep vu Nam Sài Gòn,CĐ Bách khoa Nam Sài Gòn
2797,cao dang bach khoa tp hcm,CĐ Bách Khoa TP.HCM
2798,Trường cđ Bach Nghệ,CĐ Bách Nghệ Hà Nội
2799,truong cao dang bach nghe hai phong hpc,CĐ Bách nghệ Hải Phòng
2800,CD Bach Viet,CĐ Bách Việt
2801,CD Bách Việt,CĐ Bách Việt
2802,cao dang bc cong nghe qtdn,CĐ Bán công Công nghệ và Quản trị doanh nghiệp
2803,cao dang ban cong cong nghe quan tri doanh nghiep,CĐ Bán công Công nghệ và Quản trị doanh nghiệp
2804,cd bc cn qtdn,CĐ Bán Công CN-QTDN
2805,Trường Cao Đẳng Bến Tre,CĐ Bến Tre
2806,cd ben tre,CĐ Bến Tre
2807,JCao Đẳng Bến Tre,CĐ Bến Tre
2808,trung cap yte ben tre,CĐ Bến Tre
2809,Trường trung cấp y tế bến tre,CĐ Bến Tre
2810,cd ben tre,CĐ Bến Tre
2811,Trung Cấp Y Tế Bến Tre,CĐ Bến Tre
2812,TC Y te Ben Tre,CĐ Bến Tre
2813,CDSP Qui Nhơn,CĐ Bình Định
2814,Cao đẳng Bình Định,CĐ Bình Định
2815,Truong cao dang Binh Dinh,CĐ Bình Định
2816,cdbd,CĐ Bình Định
2817,cao dang can tho,CĐ Cần Thơ
2818,tccs vu trang,CĐ Cảnh Sát Nhân Dân 1
2819,truong trung cap canh sat nhan dan 2,CĐ Cảnh Sát Nhân Dân 1
2820,trung cap canh sat vu trang t45 bo cong an,CĐ Cảnh Sát Nhân Dân 1
2821,khoa trung dhnn dh quoc gia,CĐ Cảnh Sát Nhân Dân 1
2822,Cao đẳg Cảnh Sát,CĐ Cảnh Sát Nhân Dân 1
2823,Trung cấp cảnh sát nhân dân I - T38,CĐ Cảnh Sát Nhân Dân 1
2824,trung hoc canh sat nhan dan I,CĐ Cảnh Sát Nhân Dân 1
2825,Cao dag cag dao,CĐ Cảnh Sát Nhân Dân 1
2826,Trung cấp cảnh sát vũ trang,CĐ Cảnh Sát Nhân Dân 1
2827,truong cao dang csnd ii,CĐ Cảnh Sát Nhân Dân 2
2828,TC CSND II,CĐ Cảnh Sát Nhân Dân 2
2829,CD csnd2,CĐ Cảnh Sát Nhân Dân 2
2830,truong cd cn kt tl mien trung,CĐ CN-KT-TL miền Trung
2831,CD cơ điện hà nội,CĐ Cơ Điện Hà Nội
2832,Cao Đẳng cơ điện HN,CĐ Cơ Điện Hà Nội
2833,co dien HN,CĐ Cơ Điện Hà Nội
2834,cao dang co dien va nong ngiep nam bo,CĐ Cơ Điện Và Nông Nghiệp Nam Bộ
2835,cd co dien va nong nghiep nam bo phuong phuoc thoi q o mon tp can tho,CĐ Cơ điện và Nông nghiệp Nam Bộ
2836,cao dang co dien va thuy loi,CĐ Cơ điện và Thủy Lợi
2837,truong cao dang nghe co dien va thuy loi,CĐ Cơ điện và Thủy lợi
2838,Trung cấp xây dựng cơ điện Bắc Ninh,CĐ Cơ điện và Xây dựng Bắc Ninh
2839,Cao Đẳng Nghề Cơ Điện Và Xây Dựng bắc ninh,CĐ Cơ điện và Xây Dựng Bắc Ninh
2840,Trung Cap Nghe Co Dien Viet Xo,CĐ Cơ điện xây dựng Việt Xô
2841,truong cao dang nghe co gioi quang ngai,CĐ Cơ Giới
2842,cd co gioi thuy loi,CĐ Cơ giới và Thủy Lợi
2843,cao đẳng nghề cơ giới Ninh Bình,CĐ Cơ Giới Ninh Bình
2844,cao dang nghe co gioi ninh binh,CĐ Cơ Giới Ninh Bình
2845,truong cao dang nghe co gioi ninh binh,CĐ Cơ Giới Ninh Bình
2846,Khoa Kinh Tế - Du Lịch Trường Cao Đẳng Nghề Cơ Giới Ninh Bình,CĐ Cơ Giới Ninh Bình
2847,Truong CĐN Cơ Giới Ninh Bình,CĐ Cơ Giới Ninh Bình
2848,CĐ Nghề cơ giới Ninh Bình,CĐ Cơ Giới Ninh Bình
2849,Truong CD Nghe Co Gioi Ninh Binh,CĐ Cơ Giới Ninh Bình
2850,Cao Đẳng Cơ Giới Và Thủy Lợi,CĐ Cơ giới và Thủy Lợi
2851,Trường Cao Đẳng Cơ Giới Và Thủy Lợi,CĐ Cơ giới và Thủy Lợi
2852,Trường Cao Đẳng và thủy lợi,CĐ Cơ giới và Thủy Lợi
2853,CĐN Cơ giới và thủy lợi,CĐ Cơ giới và Thủy Lợi
2854,Trường cao đăng cơ điện va luyên kim 3 tp thái nguyên,CĐ Cơ khí - Luyện kim
2855,Trường Cao Đẳng cơ khí luyện kim Thái Nguyên,CĐ Cơ Khí Luyện Kim
2856,truong cao dang co khi luyen kim,CĐ Cơ Khí Luyện Kim
2857,cao dang co khi luyen kim,CĐ Cơ Khí Luyện Kim
2858,cd co khi luyen kim,CĐ Cơ khí luyện kim
2859,Trường Cao đẳng Cơ khí nông nghiệp - CAM,CĐ cơ khí nông nghiệp
2860,Trường Cao Đẳng Nghề Cơ Khí Nông Nghiệp,CĐ cơ khí nông nghiệp
2861,CDN CO KHI NONG NGHIEP,CĐ cơ khí nông nghiệp
2862,Cao dang nghe co khi nong nghiep,CĐ cơ khí nông nghiệp
2863,cd co khi nong nghiep,CĐ cơ khí nông nghiệp
2864,Trường Cao Đẳng cộng đồng Vũng tàu,CĐ Cộng Đồng Bà Rịa - Vũng Tàu
2865,cd cong dong binh thuan,CĐ Cộng Đồng Bình Thuận
2866,cd cong dong binh thuan,CĐ Cộng đồng Bình Thuận
2867,CAO DANG CONG DONG CA MAU,CĐ Cộng đồng Cà Mau
2868,Cao Đẳng Cộng Đồng Cà Mau,CĐ Cộng đồng Cà Mau
2869,Truong Cao Dang Cong Dong Ca Mau,CĐ Cộng đồng Cà Mau
2870,Trường Cao Đẳng Cộng Đồng Cà Mau,CĐ Cộng đồng Cà Mau
2871,Caodangcongdong,CĐ Cộng đồng Cà Mau
2872,Truong Cao Dang Cong Dong Dong Thap,CĐ Cộng đồng Đồng Tháp
2873,Trường Cao Đẳng Cộng Đồng Đồng Tháp - Dong Thap Community College,CĐ Cộng đồng Đồng Tháp
2874,CDCD Dong Thap,CĐ Cộng đồng Đồng Tháp
2875,Cao dang cong dong dong thap,CĐ Cộng đồng Đồng Tháp
2876,truong cao dang cong dong dong thap dong thap community college,CĐ Cộng đồng Đồng Tháp
2877,cao dang cong dong dong thap,CĐ cộng đồng Đồng Tháp
2878,Dong Thap Community...,CĐ Cộng đồng Đồng Tháp
2879,Cao Đẳng Nghề Cao Lãnh,CĐ Cộng đồng Đồng Tháp
2880,cdcd ha noi,CĐ Cộng đồng Hà Nội
2881,Trường Cao Đẳng cộng đồng,CĐ Cộng đồng Hà Nội
2882,Cao Đẳng cộng Đồng Hà Tây,CĐ Cộng đồng Hà Tây
2883,cd cong dong hp,CĐ Cộng Đồng Hải Phòng
2884,Hai Phong Public University,CĐ Cộng Đồng Hải Phòng
2885,đang Cao Đẳng Cộng Đồng Hậu Giang,CĐ Cộng Đồng Hậu Giang
2886,CĐCĐ Hậu Giang,CĐ Cộng Đồng Hậu Giang
2887,truong cao dang cong dong hau giang,CĐ Cộng đồng Hậu Giang
2888,CDSP Hung Yen,CĐ Cộng Đồng Hưng Yên
2889,Cao Đẳng Sư Phạm Hưng yên,CĐ Cộng Đồng Hưng Yên
2890,cd cong dong kien giang,CĐ Cộng đồng Kiên Giang
2891,cao dang cong dong lai chau,CĐ Cộng đồng Lai Châu
2892,cao dang cong dong lai chau,CĐ Cộng đồng Lai Châu
2893,cd cong dong lai chau,CĐ Cộng đồng Lai Châu
2894,cd cong dong lao cai,CĐ Cộng đồng Lào Cai
2895,Cao Đẳng Sư Phạm Sóc Trăng,CĐ Cộng đồng Sóc Trăng
2896,Cao Đẳng Cộng Đồng Sóc Trăng,CĐ cộng đồng Sóc Trăng
2897,truong cao dang cong dong soc trang,CĐ cộng đồng Sóc Trăng
2898,cao dang cong dong soc trang,CĐ cộng đồng Sóc Trăng
2899,truong cd cong ky nghe dong a,CĐ Công kỹ nghệ Đông Á
2900,danang college technology (cao dang cong nghe - da nang),CĐ Công Nghệ - Đà Nẵng
2901,cd cong nghe kinh te bao loc,CĐ Công nghệ & Kinh tế Bảo Lộc
2902,Cao đẳng Công nghệ Bắc Hà,CĐ công nghệ Bắc Hà
2903,cd bac ha,CĐ công nghệ Bắc Hà
2904,Truong Cao dang Cong nghe Bac Ha,CĐ công nghệ Bắc Hà
2905,Cao đẳng Công nghệ cao Đồng An,CĐ Công nghệ cao Đồng An
2906,Trường Cao Đẳng nghề khu vực Long Thành-Nhơn Trạch,CĐ Công Nghệ Cao Đồng Nai
2907,Cao Đẳng Nghề Khu Vực Long Thành - Nhơn Trạch,CĐ Công Nghệ Cao Đồng Nai
2908,truong cao dang cong nghe ha noi.,CĐ Công nghệ Hà Nội
2909,cao dang cong nghe ha tinh,CĐ Công nghệ Hà Tĩnh
2910,cao dang cong nghe ha tinh co so 2,CĐ Công nghệ Hà Tĩnh
2911,cao dang ladec,CĐ Công Nghệ LADEC
2912,CAO DANG NGHE CONG NGHE VA NONG LAM NAM BO,CĐ Công nghệ Nông Lâm Nam Bộ
2913,Trường Cao Đẳng Nghề Và Công Nghệ Nông Lâm Nam Bộ,CĐ Công nghệ Nông Lâm Nam Bộ
2914,cao dang cong nghe phuc yen,CĐ Công Nghệ Phúc Yên
2915,Cao dang nghe quang nam,CĐ Công Nghệ Quảng Nam
2916,truong cd cong nghe quang nam tu 15 01 2018,CĐ Công nghệ Quảng Nam
2917,Trung cấp nghề Lilama2,CĐ Công Nghệ Quốc Tế Lilama 2
2918,truong cao dang nghe lilama2,CĐ Công Nghệ Quốc Tế Lilama 2
2919,cao dang nghe lilama2,CĐ Công Nghệ Quốc Tế Lilama 2
2920,Cao Dang LILAMA.-khoa thuc.,CĐ Công Nghệ Quốc Tế Lilama 2
2921,cd cong nghe quoc te lilama2,CĐ Công Nghệ Quốc Tế Lilama 2
2922,cd cong nghe tay nguyen,CĐ Công nghệ Tây Nguyên
2923,Trường Cao Đẳng Công Nghệ Thông Tin- ĐH Đà Nẵng,CĐ Công nghệ Thông tin - ĐH Đà Nẵng
2924,CĐ Công Nghệ Thông Tin - Đà Nẵng,CĐ Công nghệ Thông tin - ĐH Đà Nẵng
2925,CIT,CĐ Công nghệ Thông tin - ĐH Đà Nẵng
2926,Cao Đẳng Công Nghệ Thông Tin – Đại Học Đà Nẵng,CĐ Công nghệ Thông tin - ĐH Đà Nẵng
2927,cd cong nghe thong tin,CĐ Công nghệ Thông tin TP.HCM
2928,tung hoc cdcntt tphcm,CĐ Công Nghệ Thông Tin TP.HCM
2929,Cao đẳg Công Nghệ Thông Tin Tp.HCM,CĐ Công Nghệ Thông Tin TP.HCM
