text,normed_text,lower_text,lower_normed_text
Cao đảng nghề LILMA 1,CĐ Công Nghệ Quốc Tế Lilama,cao đảng nghề lilma 1,cđ công nghệ quốc tế lilama
THPT Lê Quý Đôn Hải Phòng,THPT Lê Quý Đôn,thpt lê quý đôn hải phòng,thpt lê quý đôn
trung tam giao duc nghe nghiep huyen duc trong,GDDN-GDTX Đức Trọng,trung tam giao duc nghe nghiep huyen duc trong,gddn-gdtx đức trọng
Trường THPT nguyen minh quang tu 01 02 2020,THPT Nguyễn Minh Quang,trường thpt nguyen minh quang tu 01 02 2020,thpt nguyễn minh quang
truong to hieu vinh bao hai phong,THPT Tô Hiệu,truong to hieu vinh bao hai phong,thpt tô hiệu
Trường THPT Yên Hòa,THPT Yên Hòa,trường thpt yên hòa,thpt yên hòa
Trường THPT Nguyễn Khuyến,THPT Nguyễn Khuyến,trường thpt nguyễn khuyến,thpt nguyễn khuyến
Trung cấp y tế hòa bình,TC Y tế Hòa Bình,trung cấp y tế hòa bình,tc y tế hòa bình
Đại học Thai Nguyên,ĐH Thái Nguyên,đại học thai nguyên,đh thái nguyên
Trường Đại học Kỹ thuật Y Dược Đà Nẵng,ĐH Kỹ thuật Y Dược Đà Nẵng,trường đại học kỹ thuật y dược đà nẵng,đh kỹ thuật y dược đà nẵng
Trường Đại học KHTN TP Hồ Chí Minh,ĐH Khoa học Tự nhiên - ĐH Quốc Gia TP.HCM,trường đại học khtn tp hồ chí minh,đh khoa học tự nhiên - đh quốc gia tp.hcm
Truong PTTH Tram Chim,THPT Tràm Chim,truong ptth tram chim,thpt tràm chim
Trường THCS-THPT bac son,THCS-THPT Bắc Sơn,trường thcs-thpt bac son,thcs-thpt bắc sơn
trung tam gdtx phu cu,GDNN-GDTX Phù Cừ,trung tam gdtx phu cu,gdnn-gdtx phù cừ
Trường THPT chuyen tra vinh,THPT Chuyên Nguyễn Thiện Thành,trường thpt chuyen tra vinh,thpt chuyên nguyễn thiện thành
Ha Noi Medical of College,CĐ Y tế Hà Nội,ha noi medical of college,cđ y tế hà nội
Trường trung cấp y tế Hòa Bình,TC Y tế Hòa Bình,trường trung cấp y tế hòa bình,tc y tế hòa bình
trung hoc pho thong kim son A,THPT Kim Sơn,trung hoc pho thong kim son a,thpt kim sơn
truong trung hoc Pho thong nguyen duc canh,THPT Nguyễn Đức Cảnh,truong trung hoc pho thong nguyen duc canh,thpt nguyễn đức cảnh
Huế College of Foreign Languages,ĐH Ngoại Ngữ Huế,huế college of foreign languages,đh ngoại ngữ huế
 Military Academy of Logistics ,HV Hậu cần, military academy of logistics ,hv hậu cần
Trường Đại Học Mở Hà Nội tại Đà Nẵng,ĐH Mở Hà Nội,trường đại học mở hà nội tại đà nẵng,đh mở hà nội
DAi hoc the duc the thao bac ninh,ĐH Thể dục Thể thao Bắc Ninh,dai hoc the duc the thao bac ninh,đh thể dục thể thao bắc ninh
Trung Học Phổ Thông Nguyễn An Ninh,THPT Nguyễn An Ninh,trung học phổ thông nguyễn an ninh,thpt nguyễn an ninh
Đại học Thương mại Việt Nam,ĐH Thương mại,đại học thương mại việt nam,đh thương mại
Trường Thpt Chu Văn An,THPT Chu Văn An,trường thpt chu văn an,thpt chu văn an
Trường THPT DTNT tỉnh Thanh Hóa,THPT DTNT Thanh Hóa,trường thpt dtnt tỉnh thanh hóa,thpt dtnt thanh hóa
Cao Đẳng Văn Hóa Nghệ Thuật Đà Nẵng,CĐ Văn hóa Nghệ thuật Đà Nẵng,cao đẳng văn hóa nghệ thuật đà nẵng,cđ văn hóa nghệ thuật đà nẵng
truong trung hoc pho thong bai chay,THPT Bãi Cháy,truong trung hoc pho thong bai chay,thpt bãi cháy
truong cd gtvt2,CĐ Giao Thông Vận Tải Trung ương,truong cd gtvt2,cđ giao thông vận tải trung ương
Trường Thcs_thpt Nguyễn Văn Khải,THCS-THPT Nguyễn Văn Khải,trường thcs_thpt nguyễn văn khải,thcs-thpt nguyễn văn khải
Trường THPT Lê Hoài Đôn,THPT Lê Hoài Đôn,trường thpt lê hoài đôn,thpt lê hoài đôn
Trường PTTH Nguyễn Khuyến Q.10 TP.HCM,THPT Nguyễn Khuyến,trường ptth nguyễn khuyến q.10 tp.hcm,thpt nguyễn khuyến
Trường THPT Cưm'gar,THPT Cư M'Gar,trường thpt cưm'gar,thpt cư m'gar
Đại Học Harvard,ĐH Harvard,đại học harvard,đh harvard
THPT Nguyen Thi Dieu,THPT Nguyễn Thị Diệu,thpt nguyen thi dieu,thpt nguyễn thị diệu
TTGDTX Quan 6,GDNN-GDTX TP.HCM,ttgdtx quan 6,gdnn-gdtx tp.hcm
THPT Tiểu Cần,THPT huyện Tiểu Cần,thpt tiểu cần,thpt huyện tiểu cần
 FPT,ĐH FPT, fpt,đh fpt
Truong THPT Đông Lôc,THPT Đồng Lộc,truong thpt đông lôc,thpt đồng lộc
Trung học phổ thông Lí Thường Kiệt,THPT Lý Thường Kiệt,trung học phổ thông lí thường kiệt,thpt lý thường kiệt
dai hoc kinh te da nang,ĐH Kinh tế - ĐH Đà Nẵng,dai hoc kinh te da nang,đh kinh tế - đh đà nẵng
cao dang tai chimh-hai quan,ĐH Tài chính Marketing,cao dang tai chimh-hai quan,đh tài chính marketing
trung hoc pho thong binh son,THPT Bình Sơn,trung hoc pho thong binh son,thpt bình sơn
"Truong Trường THPT Dan Lap Luong The Vinh, TP Cam Pha, Quang Ninh",THPT Lương Thế Vinh,"truong trường thpt dan lap luong the vinh, tp cam pha, quang ninh",thpt lương thế vinh
Trường THPT dl lý thánh tông,THPT Lê Thánh Tông,trường thpt dl lý thánh tông,thpt lê thánh tông
Trường Cao Đẳng Du Lịch Thương Mại Ngệ An,CĐ Du Lịch Thương mại Nghệ An,trường cao đẳng du lịch thương mại ngệ an,cđ du lịch thương mại nghệ an
Phổ thông Chuyên Hạ Long,THPT Chuyên Hạ Long,phổ thông chuyên hạ long,thpt chuyên hạ long
Đại học kinh tế quốc dân,ĐH Kinh Tế Quốc Dân,đại học kinh tế quốc dân,đh kinh tế quốc dân
Trung học phổ thông Kim Liên,THPT Kim Liên,trung học phổ thông kim liên,thpt kim liên
Trường THPT Dân Lập Nguyễn Thiện Thuật,THPT Dân Lập Nguyễn Thiện Thuật,trường thpt dân lập nguyễn thiện thuật,thpt dân lập nguyễn thiện thuật
Trường Trung học Phổ thông Yên Phong 1,THPT Yên Phong,trường trung học phổ thông yên phong 1,thpt yên phong
"Trường THPT Bùi Thị Xuân, Đà Lạt",THPT Bùi Thị Xuân,"trường thpt bùi thị xuân, đà lạt",thpt bùi thị xuân
Trường THPT TÂN AN - Hải Phòng,THPT Tân An,trường thpt tân an - hải phòng,thpt tân an
THPT Hoàng Văn Thụ,THPT Hoàng Văn Thụ,thpt hoàng văn thụ,thpt hoàng văn thụ
tt gdnn va gdtx quan,GDNN-GDTX TP.HCM,tt gdnn va gdtx quan,gdnn-gdtx tp.hcm
Đại học Mỏ - Địa Chất- HUMG,ĐH Mỏ Địa chất,đại học mỏ - địa chất- humg,đh mỏ địa chất
gdnn gdtx kim son,GDNN-GDTX Kim Sơn,gdnn gdtx kim son,gdnn-gdtx kim sơn
thpt lương ngọc quyến,THPT Lương Ngọc Quyến,thpt lương ngọc quyến,thpt lương ngọc quyến
tt gdtx tinh hau giang,GDNN-GDTX Hậu Giang,tt gdtx tinh hau giang,gdnn-gdtx hậu giang
ttgdnn gdtx lang chanh,GDNN-GDTX Lang Chánh,ttgdnn gdtx lang chanh,gdnn-gdtx lang chánh
Truong CDN mo hong cam,CĐ Nghề Mỏ Hồng Cẩm,truong cdn mo hong cam,cđ nghề mỏ hồng cẩm
Trường Trung Học Phổ Thông Lý Tự Trọng,THPT Lý Tự Trọng,trường trung học phổ thông lý tự trọng,thpt lý tự trọng
"Trường THPT LÊ HOÀI ĐÔN (Cũ) Thạnh Phu´,Bê´n Tre",THPT Lê Hoài Đôn,"trường thpt lê hoài đôn (cũ) thạnh phu´,bê´n tre",thpt lê hoài đôn
"THPT Lê Quý Đôn,Tam Kỳ",THPT Lê Quý Đôn,"thpt lê quý đôn,tam kỳ",thpt lê quý đôn
Phan Chu Trinh Đà Nẵng,THPT Phan Châu Trinh,phan chu trinh đà nẵng,thpt phan châu trinh
THPT VIỆT NAM BA LAN,THPT Việt Nam Ba Lan,thpt việt nam ba lan,thpt việt nam ba lan
"THPT Nguyễn Thái Học, Quy Nhơn",THPT Nguyễn Thái Học,"thpt nguyễn thái học, quy nhơn",thpt nguyễn thái học
Trường THPT Thượng Lâm,THPT Thượng Lâm,trường thpt thượng lâm,thpt thượng lâm
hv buu chinh vien thong,HV Công Nghệ Bưu Chính Viễn Thông,hv buu chinh vien thong,hv công nghệ bưu chính viễn thông
Truong cdsp Ha Giang,CĐ sư phạm Hà Giang,truong cdsp ha giang,cđ sư phạm hà giang
Trường THPT Dĩ An - Bình Dương,THPT Dĩ An,trường thpt dĩ an - bình dương,thpt dĩ an
Trường THPT le viet tao,THPT Lê Viết Tạo,trường thpt le viet tao,thpt lê viết tạo
THPT Trần Văn Kiết Bến Tre,THPT Trần Văn Kiết,thpt trần văn kiết bến tre,thpt trần văn kiết
Trường THPT Mường Chiềng,THPT Mường Chiềng,trường thpt mường chiềng,thpt mường chiềng
Trường THPT huynh van nghe,THPT Huỳnh Văn Nghệ,trường thpt huynh van nghe,thpt huỳnh văn nghệ
Châu Văn Liêm Highschool Cần Thơ,THPT Châu Văn Liêm,châu văn liêm highschool cần thơ,thpt châu văn liêm
Đại Học Mở Bán Công,ĐH Mở TP.HCM,đại học mở bán công,đh mở tp.hcm
gdtx phu thi,GDNN-GDTX Phú Thị,gdtx phu thi,gdnn-gdtx phú thị
truong ptth quy hop 1,THPT huyện Quỳ Hợp,truong ptth quy hop 1,thpt huyện quỳ hợp
Trường THPT Hạ Hòa Phú Thọ,THPT Hạ Hòa,trường thpt hạ hòa phú thọ,thpt hạ hòa
THPT NGUYEN VAN THIET,THPT Nguyễn Văn Thiệt,thpt nguyen van thiet,thpt nguyễn văn thiệt
tc bach khoa dong nai,TC Bách khoa Đồng Nai,tc bach khoa dong nai,tc bách khoa đồng nai
hoc vien buu chinh vien thong,HV Công Nghệ Bưu Chính Viễn Thông,hoc vien buu chinh vien thong,hv công nghệ bưu chính viễn thông
truong dai hoc cong nghiep tphcm,ĐH Công nghiệp TP.HCM,truong dai hoc cong nghiep tphcm,đh công nghiệp tp.hcm
truong THPThuyenkienthuy,THPT Kiến Thụy,truong thpthuyenkienthuy,thpt kiến thụy
"Tc Âu Lạc,Huế",CĐ Âu Lạc,"tc âu lạc,huế",cđ âu lạc
THPT Nguyễn Duy Hiệu,THPT Nguyễn Duy Hiệu,thpt nguyễn duy hiệu,thpt nguyễn duy hiệu
TTGDTX Q11,GDNN-GDTX TP.HCM,ttgdtx q11,gdnn-gdtx tp.hcm
Trung học phổ thông Hiếu Phụng,THPT Hiếu Phụng,trung học phổ thông hiếu phụng,thpt hiếu phụng
Thpt số 2 pm,THPT Phù Mỹ,thpt số 2 pm,thpt phù mỹ
"Trường THPT Quỳnh Thọ, Quỳnh phụ , Thái Bình",THPT Quỳnh Thọ,"trường thpt quỳnh thọ, quỳnh phụ , thái bình",thpt quỳnh thọ
Trường Đại học Harvard Mỹ,ĐH Harvard,trường đại học harvard mỹ,đh harvard
dai hoc y duoc vinh,ĐH Y khoa Vinh,dai hoc y duoc vinh,đh y khoa vinh
Trường THPT Thịnh Long - Hải Hậu - Nam Định,THPT Thịnh Long,trường thpt thịnh long - hải hậu - nam định,thpt thịnh long
Cao Đẳng Y Tế QNam,CĐ Y tế Quảng Nam,cao đẳng y tế qnam,cđ y tế quảng nam
Truong cao dang CNTT huu nghi Viet - Han,ĐH Công nghệ Thông tin và Truyền thông Việt Hàn,truong cao dang cntt huu nghi viet - han,đh công nghệ thông tin và truyền thông việt hàn
Cao Đẳng Kinh Tế - Kĩ Thuật Kiên Giang,CĐ Kinh Tế Kỹ Thuật Kiên Giang,cao đẳng kinh tế - kĩ thuật kiên giang,cđ kinh tế kỹ thuật kiên giang
Trường THPT ly nhan tong,THPT Lý Nhân Tông,trường thpt ly nhan tong,thpt lý nhân tông
Trường Cao Đẳng An Ninh Mạng Ispace,CĐ An Ninh Mạng iSPACE,trường cao đẳng an ninh mạng ispace,cđ an ninh mạng ispace
"THPT  Thiều Văn Chỏi, Kế Sách, Sóc Trăng",THPT Thiều Văn Chỏi,"thpt  thiều văn chỏi, kế sách, sóc trăng",thpt thiều văn chỏi
Trường THPT phung hung khoai chau,THPT Phùng Hưng,trường thpt phung hung khoai chau,thpt phùng hưng
Trường Trung Cấp Kinh Tế Khánh Hòa,TC Kinh Tế Khánh Hòa,trường trung cấp kinh tế khánh hòa,tc kinh tế khánh hòa
ĐH Thành Tây,ĐH PHENIKAA,đh thành tây,đh phenikaa
"THPT  Phan Đăng Lưu, Bình Thạnh, TP. Hồ Chí Minh",THPT Phan Đăng Lưu,"thpt  phan đăng lưu, bình thạnh, tp. hồ chí minh",thpt phan đăng lưu
Trường THPT Huỳnh Thúc Kháng TP QN,THPT Huỳnh Thúc Kháng,trường thpt huỳnh thúc kháng tp qn,thpt huỳnh thúc kháng
DH Dược HN,ĐH Dược Hà Nội,dh dược hn,đh dược hà nội
THPT Hoang Hoa Tham - TP.Da Nang,THPT Hoàng Hoa Thám,thpt hoang hoa tham - tp.da nang,thpt hoàng hoa thám
gdnn gdtx quan thot not,GDNN-GDTX Thốt Nốt,gdnn gdtx quan thot not,gdnn-gdtx thốt nốt
Sư Phạm Nghệ An,CĐ Sư phạm Nghệ An,sư phạm nghệ an,cđ sư phạm nghệ an
Học viện cán bộ TPHCM,HV cán bộ TP.HCM,học viện cán bộ tphcm,hv cán bộ tp.hcm
Trường THPT so 2 huyen bac ha,THPT Bắc Hà,trường thpt so 2 huyen bac ha,thpt bắc hà
Trường Đại học An ninh Nhân dân Thành phố Hà Nội,HV An ninh Nhân Dân,trường đại học an ninh nhân dân thành phố hà nội,hv an ninh nhân dân
thpt nông cống4,THPT Nông Cống,thpt nông cống4,thpt nông cống
gdnn gdtx huyen me linh,GDNN-GDTX Mê Linh,gdnn gdtx huyen me linh,gdnn-gdtx mê linh
Truong THPT Dateh,THPT Đạ Tẻh,truong thpt dateh,thpt đạ tẻh
tt gdnn gdtx huyen chau thanh,GDNN-GDTX Châu Thành,tt gdnn gdtx huyen chau thanh,gdnn-gdtx châu thành
THPT Axtanh,THPT Anhxtanh,thpt axtanh,thpt anhxtanh
Hằng Hải II Tp Hồ Chí Minh,CĐ Hàng hải,hằng hải ii tp hồ chí minh,cđ hàng hải
Cao đẳng Cộng đồng Sóc Trăng,CĐ cộng đồng Sóc Trăng,cao đẳng cộng đồng sóc trăng,cđ cộng đồng sóc trăng
THPT Quynh Th0,THPT Quỳnh Thọ,thpt quynh th0,thpt quỳnh thọ
Trường Cao Đẳng Kinh Tế - Tài Chính Thái Nguyên (TCEF),CĐ Kinh Tế Tài Chính Thái Nguyên,trường cao đẳng kinh tế - tài chính thái nguyên (tcef),cđ kinh tế tài chính thái nguyên
THPT Tay Ninh,THPT Tây Ninh,thpt tay ninh,thpt tây ninh
Cđcđ Đồng Tháp,CĐ Cộng đồng Đồng Tháp,cđcđ đồng tháp,cđ cộng đồng đồng tháp
le quy don dong da ha noi,THPT Lê Quý Đôn,le quy don dong da ha noi,thpt lê quý đôn
Trường THPT Hồng Bàng Hải Phòng,THPT Hồng Bàng,trường thpt hồng bàng hải phòng,thpt hồng bàng
Trường Cao Đẳng Hải Dương,CĐ Hải Dương,trường cao đẳng hải dương,cđ hải dương
Trường THPT Nguyễn Huệ Kỳ Anh Hà Tĩnh,THPT Nguyễn Huệ,trường thpt nguyễn huệ kỳ anh hà tĩnh,thpt nguyễn huệ
dai hoc xay dung mien tay,ĐH Xây Dựng Miền Tây,dai hoc xay dung mien tay,đh xây dựng miền tây
Thpt nhu thanh2,THPT Như Thanh,thpt nhu thanh2,thpt như thanh
THPT Nguyễn Đình Chiểu long thành,THPT Nguyễn Đình Chiểu,thpt nguyễn đình chiểu long thành,thpt nguyễn đình chiểu
trung hoc pho thong tan hiep,THPT Tân Hiệp,trung hoc pho thong tan hiep,thpt tân hiệp
tcn tan uyen,TC Nghề Tân Uyên,tcn tan uyen,tc nghề tân uyên
THPT Nguyễn Bỉnh Khiêm Vĩnh Long,THPT Chuyên Nguyễn Bỉnh Khiêm,thpt nguyễn bỉnh khiêm vĩnh long,thpt chuyên nguyễn bỉnh khiêm
Dong Do University of Science and Technology(Trường Đại Học Đông Đô),ĐH Đông Đô,dong do university of science and technology(trường đại học đông đô),đh đông đô
Truong trung hoc pho thong an thanh 3,THPT An Thạnh,truong trung hoc pho thong an thanh 3,thpt an thạnh
Trường THPT le van thiem,THPT Lê Văn Thiêm,trường thpt le van thiem,thpt lê văn thiêm
Trường THPT Chuyên Lê Quý Đôn Vũng Tàu,THPT chuyên Lê Quý Đôn,trường thpt chuyên lê quý đôn vũng tàu,thpt chuyên lê quý đôn
THPT Thanh Ba,THPT Thanh Ba,thpt thanh ba,thpt thanh ba
Trường THPT tran dang ninh,THPT Trần Đăng Ninh,trường thpt tran dang ninh,thpt trần đăng ninh
HuongVinh High School - Hue,THPT Hương Vinh,huongvinh high school - hue,thpt hương vinh
Trường THPT Tán Kế,THPT Tán Kế,trường thpt tán kế,thpt tán kế
trung học phổ thông sơn nam,THPT Sơn Nam,trung học phổ thông sơn nam,thpt sơn nam
THPT Phan Ngọc Hiển,THPT Phan Ngọc Hiển,thpt phan ngọc hiển,thpt phan ngọc hiển
THPT Trần Phú - Đức Thọ - Hà Tĩnh,THPT TRẦN PHÚ,thpt trần phú - đức thọ - hà tĩnh,thpt trần phú
Truong THPT Tan Long,THPT Tân Long,truong thpt tan long,thpt tân long
THPT Tan Chau,THPT Tân Châu,thpt tan chau,thpt tân châu
ĐH Lâm nghiệp,ĐH Lâm nghiệp,đh lâm nghiệp,đh lâm nghiệp
Đại Học Xây Dựng Miền Trung,ĐH Xây dựng Miền Trung,đại học xây dựng miền trung,đh xây dựng miền trung
THPT DL Thăng Long,THPT Dân lập Thăng Long,thpt dl thăng long,thpt dân lập thăng long
PTTH Yên Lạc 2,THPT Yên Lạc,ptth yên lạc 2,thpt yên lạc
Trường THPT tan quang,THPT Tân Quang,trường thpt tan quang,thpt tân quang
TTHPT Chu Văn An,THPT Chu Văn An,tthpt chu văn an,thpt chu văn an
TTHPT Gò Công Đông,THPT Gò Công Đông,tthpt gò công đông,thpt gò công đông
Trường THPT Nguyễn An Ninh Q10,THPT Nguyễn An Ninh,trường thpt nguyễn an ninh q10,thpt nguyễn an ninh
thpt chuyên trần hưng đạo,THPT Chuyên Trần Hưng Đạo,thpt chuyên trần hưng đạo,thpt chuyên trần hưng đạo
dai hoc ha noi( hanu),ĐH Hà Nội,dai hoc ha noi( hanu),đh hà nội
"THPT Chu van an,krongpa,gialai",THPT Chu Văn An,"thpt chu van an,krongpa,gialai",thpt chu văn an
Trường THPT b phu ly,THPT Phủ Lý,trường thpt b phu ly,thpt phủ lý
Trừơng Trường THPT Tuyên hóa-Quảng Bình,THPT Tuyên Hóa,trừơng trường thpt tuyên hóa-quảng bình,thpt tuyên hóa
truong cao dang nghe co dien phu tho,CĐ Nghề cơ điện Phú Thọ,truong cao dang nghe co dien phu tho,cđ nghề cơ điện phú thọ
tt gd dn quang trach,GDNN-GDTX Quảng Trạch,tt gd dn quang trach,gdnn-gdtx quảng trạch
CĐ Y Tế Tiền Giang,CĐ Y tế Tiền Giang,cđ y tế tiền giang,cđ y tế tiền giang
Trung học phổ thông Chu văn An,THPT Chu Văn An,trung học phổ thông chu văn an,thpt chu văn an
Trường THPT Ba Dinh nga son thanh hoa,THPT Ba Đình,trường thpt ba dinh nga son thanh hoa,thpt ba đình
Quang Trung University ( Đại Học Quang Trung ),ĐH Quang Trung,quang trung university ( đại học quang trung ),đh quang trung
Nghe An College Of Economics,ĐH Kinh Tế Nghệ An,nghe an college of economics,đh kinh tế nghệ an
Trường Cao Đẳng Y Tế Đặng Thùy Trâm,CĐ Y tế Đặng Thùy Trâm,trường cao đẳng y tế đặng thùy trâm,cđ y tế đặng thùy trâm
Trường Đại học Dân lập Lạc Hồng,ĐH Lạc Hồng,trường đại học dân lập lạc hồng,đh lạc hồng
truong thpt nguyen trai da nang,THPT Nguyễn Trãi,truong thpt nguyen trai da nang,thpt nguyễn trãi
Trường THPT VĨNH VIỄN,THPT Vĩnh Viễn,trường thpt vĩnh viễn,thpt vĩnh viễn
Trường trung học phổ thông chuyên Cao Bằng,THPT Chuyên Cao Bằng,trường trung học phổ thông chuyên cao bằng,thpt chuyên cao bằng
Trung Học Phổ Thông Ứng Hòa A,THPT Ứng Hòa,trung học phổ thông ứng hòa a,thpt ứng hòa
Trường THPT Cù Huy Cận,THPT Cù Huy Cận,trường thpt cù huy cận,thpt cù huy cận
pho thong anh son 1,THPT Anh Sơn,pho thong anh son 1,thpt anh sơn
Cao Đẳng Truyền Hình - Thường Tín,CĐ Truyền hình,cao đẳng truyền hình - thường tín,cđ truyền hình
THPT Nguyễn Thị Minh Khai - HCM,THPT Nguyễn Thị Minh Khai,thpt nguyễn thị minh khai - hcm,thpt nguyễn thị minh khai
Trường Thpt Tenloman,THPT Trần Đại Nghĩa,trường thpt tenloman,thpt trần đại nghĩa
Đh mơ ha noj,ĐH Mở Hà Nội,đh mơ ha noj,đh mở hà nội
pho thong krong no,THPT Krông Nô,pho thong krong no,thpt krông nô
Trường THPT nguyen xuan on,THPT Nguyễn Xuân Ôn,trường thpt nguyen xuan on,thpt nguyễn xuân ôn
Truong THPT LHP,THPT chuyên Lê Hồng Phong,truong thpt lhp,thpt chuyên lê hồng phong
Trường THPT Vân Nội,THPT Vân Nội,trường thpt vân nội,thpt vân nội
Trung hoc pho thong lap vo 2,THPT Lấp Vò,trung hoc pho thong lap vo 2,thpt lấp vò
Trường THPT Trung Sơn,THPT Trung Sơn,trường thpt trung sơn,thpt trung sơn
Cao đẳng Kinh tế - Công nghệ Tp. Hồ Chí Minh,CĐ Kinh tế Công nghệ TP.HCM,cao đẳng kinh tế - công nghệ tp. hồ chí minh,cđ kinh tế công nghệ tp.hcm
Trường THPT yen thuy b,THPT Yên Thuỷ,trường thpt yen thuy b,thpt yên thuỷ
Trung học phổ thông Vũ Văn Hiếu,THPT Vũ Văn Hiếu,trung học phổ thông vũ văn hiếu,thpt vũ văn hiếu
trung hoc pho thong nguyen truong to,THPT Nguyễn Trường Tộ,trung hoc pho thong nguyen truong to,thpt nguyễn trường tộ
Phổ Thông Năng Khiếu - High school for the Gifted,THPT Năng Khiếu,phổ thông năng khiếu - high school for the gifted,thpt năng khiếu
THPT MU CANG CHAI,THPT Mù Cang Chải,thpt mu cang chai,thpt mù cang chải
"Trường THPT Trần Quốc Tuấn - Phú thiện,Gia Lai",THPT Trần Quốc Tuấn,"trường thpt trần quốc tuấn - phú thiện,gia lai",thpt trần quốc tuấn
Trường THPT Bùi Thị Xuân,THPT Bùi Thị Xuân,trường thpt bùi thị xuân,thpt bùi thị xuân
Trường Cao Đẳng kinh tế kĩ thuật miền nam thành phố hồ chí minh,CĐ Miền Nam,trường cao đẳng kinh tế kĩ thuật miền nam thành phố hồ chí minh,cđ miền nam
Trung Cấp Dược Y Hải Phòng,CĐ Y tế Hải Phòng,trung cấp dược y hải phòng,cđ y tế hải phòng
"THPT THANH LOC, Q.12",THPT Thạnh Lộc,"thpt thanh loc, q.12",thpt thạnh lộc
tt gdtx h my loc,GDNN-GDTX Mỹ Lộc,tt gdtx h my loc,gdnn-gdtx mỹ lộc
Trung hoc Pho thong Thu xa,THPT Thu Xà,trung hoc pho thong thu xa,thpt thu xà
cao dang cntt huu nghi viet han,ĐH Công nghệ Thông tin và Truyền thông Việt Hàn,cao dang cntt huu nghi viet han,đh công nghệ thông tin và truyền thông việt hàn
Trường THCS-THPT xuan truong,THCS-THPT Xuân Trường,trường thcs-thpt xuan truong,thcs-thpt xuân trường
Đại Học Ngoại Ngữ - Đại Học Đà Nẳng,ĐH Ngoại ngữ - ĐH Đà Nẵng,đại học ngoại ngữ - đại học đà nẳng,đh ngoại ngữ - đh đà nẵng
Trường THPT Hung Vuong Binh Dinh,THPT Hùng Vương,trường thpt hung vuong binh dinh,thpt hùng vương
gdnn gdtx bac quang,GDNN-GDTX Bắc Quang,gdnn gdtx bac quang,gdnn-gdtx bắc quang
"Lop 10C, Trường cấp 3 Nam đàn 1 Nghệ an",THPT Nam Đàn,"lop 10c, trường cấp 3 nam đàn 1 nghệ an",thpt nam đàn
truong dai hoc su pham ky thuat Vinh,ĐH Sư Phạm Kỹ Thuật Vinh,truong dai hoc su pham ky thuat vinh,đh sư phạm kỹ thuật vinh
Trường THPT Nguyễn Đức Thuận,THPT Nguyễn Đức Thuận,trường thpt nguyễn đức thuận,thpt nguyễn đức thuận
truong Trường THPT pham kiet,THPT Phạm Kiệt,truong trường thpt pham kiet,thpt phạm kiệt
truong dai hoc cong nghep tp hcm,ĐH Công nghiệp TP.HCM,truong dai hoc cong nghep tp hcm,đh công nghiệp tp.hcm
truong trung cap nong nghiep phat trien nog thon quang tri,TC Nông Nghiệp Phát Triển Nông Thôn,truong trung cap nong nghiep phat trien nog thon quang tri,tc nông nghiệp phát triển nông thôn
truong trung hoc pho thong kien luong,THPT Kiên Lương,truong trung hoc pho thong kien luong,thpt kiên lương
Trường Trung Cấp Gtvt Miền Nam,TC Giao Thông Vận Tải Miền Nam,trường trung cấp gtvt miền nam,tc giao thông vận tải miền nam
ĐH Y Tây Nguyên,ĐH Tây Nguyên,đh y tây nguyên,đh tây nguyên
tc nghe thang long,TC Nghề Thăng Long,tc nghe thang long,tc nghề thăng long
Trường Trung học Phổ thông Cần Thạnh,THPT CẦN THẠNH,trường trung học phổ thông cần thạnh,thpt cần thạnh
trường trung học phổ thông Tư Nghĩa,THPT Tư Nghĩa,trường trung học phổ thông tư nghĩa,thpt tư nghĩa
Trường THPT chuyen luong van tuy,THPT Chuyên Lương Văn Tụy,trường thpt chuyen luong van tuy,thpt chuyên lương văn tụy
Trường Đại học Tp Bac Lieu,ĐH Bạc Liêu,trường đại học tp bac lieu,đh bạc liêu
Trường CĐ CNTT Hữu Nghị Việt Hàn,ĐH Công nghệ Thông tin và Truyền thông Việt Hàn,trường cđ cntt hữu nghị việt hàn,đh công nghệ thông tin và truyền thông việt hàn
tc nghe so 13,TC Nghề Bộ Quốc phòng,tc nghe so 13,tc nghề bộ quốc phòng
THPT Huỳnh Văn Nghệ,THPT Huỳnh Văn Nghệ,thpt huỳnh văn nghệ,thpt huỳnh văn nghệ
Trung hoc Nguyen Trai Sai Gon,THPT Nguyễn Trãi,trung hoc nguyen trai sai gon,thpt nguyễn trãi
truong dai hoc quang nam,ĐH Quảng Nam,truong dai hoc quang nam,đh quảng nam
THPT Ly Son,THPT Lý Sơn,thpt ly son,thpt lý sơn
Trung Cấp Nghề số 9 Vinh Long,CĐ Nghề Bộ Quốc Phòng,trung cấp nghề số 9 vinh long,cđ nghề bộ quốc phòng
Trường THPT Mê Linh Đông Hưng Thái Bình,THPT Mê Linh,trường thpt mê linh đông hưng thái bình,thpt mê linh
tc nghe tan mai,TC Nghề Tân Mai,tc nghe tan mai,tc nghề tân mai
THPT Gia hoi hue,THPT Gia Hội,thpt gia hoi hue,thpt gia hội
Trường THPT Lê Ích Mộc _ xã Kỳ Sơn Thuỷ Nguyên Hải Phòng,THPT Lê Ích Mộc,trường thpt lê ích mộc _ xã kỳ sơn thuỷ nguyên hải phòng,thpt lê ích mộc
