Unnamed: 0,index,text,normed_text,lower_text,lower_normed_text
1623,6404,Trường THPT ninh quoi,Trường THPT Ninh Quới,trường thpt ninh quoi,trường thpt ninh quới
1624,12787,Trường Lương Thế Vinh Vụ Bản,Trường THPT Lương Thế Vinh,trường lương thế vinh vụ bản,trường thpt lương thế vinh
1625,6760,Trường cao đăng cơ điện va luyên kim 3 tp thái nguyên,Trường Cao Đẳng Cơ khí - Luyện kim Thái Nguyên,trường cao đăng cơ điện va luyên kim 3 tp thái nguyên,trường cao đẳng cơ khí - luyện kim thái nguyên
1626,10119,Trường CĐ kinh tế -kỹ thuật Phú Lâm,Trường Cao Đẳng nghề công nghệ kinh tế và chế biến lâm sản,trường cđ kinh tế -kỹ thuật phú lâm,trường cao đẳng nghề công nghệ kinh tế và chế biến lâm sản
1627,390,Đại Học Dân Lập Duy Tân,Đại Học Dân Lập Duy Tân,đại học dân lập duy tân,đại học dân lập duy tân
1628,10167,Trường THPT LÊ VĂN HƯU - THIỆU HÓA,Trường THPT Lê Văn Hưu,trường thpt lê văn hưu - thiệu hóa,trường thpt lê văn hưu
1629,9654,Truong thph pham van dong,Trường THPT Phạm Văn Đồng,truong thph pham van dong,trường thpt phạm văn đồng
1630,11820,Lê Hồng Phong Hưng Nguyên Nghệ An,Trường THPT Lê Hồng Phong,lê hồng phong hưng nguyên nghệ an,trường thpt lê hồng phong
1631,1293,topica vien dai hoc mo ha noi,Đại học Mở Hà Nội,topica vien dai hoc mo ha noi,đại học mở hà nội
1632,9575,"Trường THPT Hậu Nghĩa, thị trấn Hậu Nghĩa",Trường THPT Hậu Nghĩa,"trường thpt hậu nghĩa, thị trấn hậu nghĩa",trường thpt hậu nghĩa
1633,7493,trung cap dong duong,Trường Trung Cấp Đông Dương,trung cap dong duong,trường trung cấp đông dương
1634,5027,trung cap nghe cam lam,Trung cấp nghề Cam Lâm,trung cap nghe cam lam,trung cấp nghề cam lâm
1635,2807,Trường THPT le quy don,Trường THPT Lê Quý Đôn,trường thpt le quy don,trường thpt lê quý đôn
1636,79, HUBT,Đại Học Kinh doanh và Công nghệ Hà Nội, hubt,đại học kinh doanh và công nghệ hà nội
1637,8276,Truong Trường THPT Lê Lợi,Trường THPT Lê Lợi,truong trường thpt lê lợi,trường thpt lê lợi
1638,9533,truong cap nghe lao cai,Trường Cao Đẳng Lào Cai,truong cap nghe lao cai,trường cao đẳng lào cai
1639,13828,"Trường THPT nguyễn Trường tộ,đức cơ, gia lai",Trường THPT Nguyễn Trường Tộ,"trường thpt nguyễn trường tộ,đức cơ, gia lai",trường thpt nguyễn trường tộ
1640,7791,số 2 Mộ Đức,Trường THPT Số 2 Mộ Đức,số 2 mộ đức,trường thpt số 2 mộ đức
1641,9554,Trung hoc PT Que Vo 2,Trường THPT Quế Võ 2,trung hoc pt que vo 2,trường thpt quế võ 2
1642,12946,ptth chau thanh b,Trường THPT Diệp Minh Châu ,ptth chau thanh b,trường thpt diệp minh châu 
1643,10421,Trường THPT Lý tự trọng - Khánh Hòa,Trường THPT Lý Tự Trọng,trường thpt lý tự trọng - khánh hòa,trường thpt lý tự trọng
1644,7745,vinhempick,TT Đào Tạo Nghề Và Giới Thiệu Việc Làm Vinhempich,vinhempick,tt đào tạo nghề và giới thiệu việc làm vinhempich
1645,12845,Đại Học Hoa Sen,Trường Đại học Hoa Sen,đại học hoa sen,trường đại học hoa sen
1646,3595,Trường THPT a thanh liem,Trường THPT A Thanh Liêm,trường thpt a thanh liem,trường thpt a thanh liêm
1647,11815,phổ thông bán công khúc thừa dụ,Trường THPT Khúc Thừa Dụ,phổ thông bán công khúc thừa dụ,trường thpt khúc thừa dụ
1648,13610,Trường THPT luong van tri van quan ls,Trường THPT Lương Văn Tri,trường thpt luong van tri van quan ls,trường thpt lương văn tri
1649,1529,cd nghe bach khoa ha noi,CĐ nghề Bách Khoa Hà Nội,cd nghe bach khoa ha noi,cđ nghề bách khoa hà nội
1650,10953,Trung học tổng hợp Phan Thanh Giản - Cần thơ,Trường trung học Phan Thanh Giản,trung học tổng hợp phan thanh giản - cần thơ,trường trung học phan thanh giản
1651,4217,tc nghe so 9,TC nghề số 9,tc nghe so 9,tc nghề số 9
1652,12087,"Trường THPT  An Nhơn Tây, Củ Chi, TP. Hồ Chí Minh",Trường THPT An Nhơn Tây,"trường thpt  an nhơn tây, củ chi, tp. hồ chí minh",trường thpt an nhơn tây
1653,6846,Truong Trường THPT Kjm Ljen,Trường THPT Kim Liên,truong trường thpt kjm ljen,trường thpt kim liên
1654,1314,dh hung vuong tp hcm khoa quan tri benh vien,Đại Học Hùng Vương TP.HCM,dh hung vuong tp hcm khoa quan tri benh vien,đại học hùng vương tp.hcm
1655,9017,Cao dang phuong dong da nang,Trường Cao Đẳng Phương Đông Đà Nẵng,cao dang phuong dong da nang,trường cao đẳng phương đông đà nẵng
1656,9646,Dai hoc su pham yen bai,Cao Đẳng Sư Phạm Yên Bái,dai hoc su pham yen bai,cao đẳng sư phạm yên bái
1657,9322,Truong CDSPKG,Trường Cao Đẳng Sư Phạm Kiên Giang,truong cdspkg,trường cao đẳng sư phạm kiên giang
1658,6675,Trường THPT Thuan Hoa,Trường THPT Thuận Hoà,trường thpt thuan hoa,trường thpt thuận hoà
1659,13931,CD DT-DL HA NOI,Trường Cao Đẳng Điện Tử - Điện Lạnh Hà Nội,cd dt-dl ha noi,trường cao đẳng điện tử - điện lạnh hà nội
1660,10984,truong Trường THPT chau phong,Trường THPT Châu Phong,truong trường thpt chau phong,trường thpt châu phong
1661,10863,Truong cao dang nghe ki thuat my nghe viet nam,Trường Cao Đẳng Kỹ Thuật - Mỹ Nghệ Việt Nam,truong cao dang nghe ki thuat my nghe viet nam,trường cao đẳng kỹ thuật - mỹ nghệ việt nam
1662,7033,Trường Cao Đẳng Nghề Đà Nẵng,Cao Đẳng nghề Đà Nẵng,trường cao đẳng nghề đà nẵng,cao đẳng nghề đà nẵng
1663,2148,Trường THPT an nhon tay,Trường THPT An Nhơn Tây,trường thpt an nhon tay,trường thpt an nhơn tây
1664,2732,Trường THPT vo nhai,Trường THPT Võ Nhai,trường thpt vo nhai,trường thpt võ nhai
1665,1139,cdang phuong dong _ da nang,Cao Đẳng Phương Đông Đà Nẵng,cdang phuong dong _ da nang,cao đẳng phương đông đà nẵng
1666,3682,Trường THPT nguyen trai,Trường THPT Nguyễn Trãi,trường thpt nguyen trai,trường thpt nguyễn trãi
1667,13768,"Trường THPT  Bến Cầu, Bến Cầu, Tây Ninh",Trường THPT Nguyễn Huệ,"trường thpt  bến cầu, bến cầu, tây ninh",trường thpt nguyễn huệ
1668,11568,Quảng Bình University,Trường Đại học Quảng Bình,quảng bình university,trường đại học quảng bình
1669,9243,Dai Hoc Xay Dung,Trường Đại Học Xây Dựng,dai hoc xay dung,trường đại học xây dựng
1670,6413,Trường THPT gia rai,Trường THPT Giá Rai,trường thpt gia rai,trường thpt giá rai
1671,703,Đại Học Cảnh Sát Nhân Dân,Đại Học Cảnh Sát Nhân Dân,đại học cảnh sát nhân dân,đại học cảnh sát nhân dân
1672,14072,THPH chuyen Bac Ninh,Trường THPT Chuyên Bắc Ninh,thph chuyen bac ninh,trường thpt chuyên bắc ninh
1673,14553,ĐH mở thành phố Hồ Chí Minh,Trường ĐH Mở TP.HCM,đh mở thành phố hồ chí minh,trường đh mở tp.hcm
1674,7436,Đại Học Quốc Tế A.R.B,Khoa Quốc tế - Đại học Quốc gia Hà Nội VNUIS,đại học quốc tế a.r.b,khoa quốc tế - đại học quốc gia hà nội vnuis
1675,10373,CAO ĐẲNG NGHỀ CƠ ĐIỆN TÂY BẮC THI TRẤN CHI NÊ - LẠC THUỶ - HOÀ BÌNH K34-A3,Trường Cao Đẳng Nghề Cơ Điện Tây Bắc,cao đẳng nghề cơ điện tây bắc thi trấn chi nê - lạc thuỷ - hoà bình k34-a3,trường cao đẳng nghề cơ điện tây bắc
1676,9637,Trường Đại Học Hòa Bình - HN,"Trường Đại Học Hòa Bình, Hà Nội",trường đại học hòa bình - hn,"trường đại học hòa bình, hà nội"
1677,76, HLU,Đại Học Luật Hà Nội, hlu,đại học luật hà nội
1678,1241,cao dang nghe viet xo tam diep nb,Cao Đẳng nghề cơ điện xây dựng Việt Xô,cao dang nghe viet xo tam diep nb,cao đẳng nghề cơ điện xây dựng việt xô
1679,7434,trường Trường THPT Thụy Hương _ Kiến Thụy _ HP,Trường THPT Thụy Hương,trường trường thpt thụy hương _ kiến thụy _ hp,trường thpt thụy hương
1680,858,dhxd ha noi,Đại Học Xây Dựng Hà Nội,dhxd ha noi,đại học xây dựng hà nội
1681,11615,Trường Trường THPT Đông Hà,Trường THPT Đông Hà,trường trường thpt đông hà,trường thpt đông hà
1682,7686,ĐH BKĐN,Trường Đại học Bách Khoa - Đại học Đà Nẵng,đh bkđn,trường đại học bách khoa - đại học đà nẵng
1683,14552,Trường THPT DTNT quế Phong,Trường THPT Quế Phong,trường thpt dtnt quế phong,trường thpt quế phong
1684,5163,cao dang nghe binh phuoc,Cao Đẳng nghề Bình Phước,cao dang nghe binh phuoc,cao đẳng nghề bình phước
1685,1641,cd nghe van lang ha noi,CĐ nghề Văn Lang Hà Nội,cd nghe van lang ha noi,cđ nghề văn lang hà nội
1686,14020,Cao dang nghe so3,Trường Cao Đẳng Nghề Số 3,cao dang nghe so3,trường cao đẳng nghề số 3
1687,13512,Trường Trường THPT Tân dân,Trường THPT Tân Dân,trường trường thpt tân dân,trường thpt tân dân
1688,7340,PTTH NAMDONGQUAN,Trường THPT Nam Đông Quan,ptth namdongquan,trường thpt nam đông quan
1689,9771,Trường THPT Phạm Văn Nghị,Trường THPT Phạm Văn Nghị,trường thpt phạm văn nghị,trường thpt phạm văn nghị
1690,4907,truong van hoa iii,Trường Văn Hóa III,truong van hoa iii,trường văn hóa iii
1691,13897,Trường PTTH Vi thanh,Trường THPT Vị Thanh,trường ptth vi thanh,trường thpt vị thanh
1692,7808,Dong son1,Trường THPT Đông Sơn 1,dong son1,trường thpt đông sơn 1
1693,9261,pctu,Trường Đại Học Phan Châu Trinh,pctu,trường đại học phan châu trinh
1694,4491,tt gdtx hn dn que son,TT GDTX-HN-DN Quế Sơn,tt gdtx hn dn que son,tt gdtx-hn-dn quế sơn
1695,7775,Trường THPTdtnt Dak ha,Trường THPT DTNT Đak Hà,trường thptdtnt dak ha,trường thpt dtnt đak hà
1696,3886,Trường THPT thach thanh 2,Trường THPT Thạch Thành 2,trường thpt thach thanh 2,trường thpt thạch thành 2
1697,6461,Trường THPT cai nuoc,Trường THPT Cái Nước,trường thpt cai nuoc,trường thpt cái nước
1698,5911,Trường THPT binh dong,Trường THPT Bình Đông,trường thpt binh dong,trường thpt bình đông
1699,10195,Trường THPT ĐăkGlong,Trường THPT Đăk Glong,trường thpt đăkglong,trường thpt đăk glong
1700,3896,Trường THPT lam kinh,Trường THPT Lam Kinh,trường thpt lam kinh,trường thpt lam kinh
1701,8382,trung tam giao duc thuong xuyen gia rai,TT GDTX TX. Giá Rai,trung tam giao duc thuong xuyen gia rai,tt gdtx tx. giá rai
1702,5204,tcn viet han binh duong,TCN Việt Hàn Bình Dương,tcn viet han binh duong,tcn việt hàn bình dương
1703,5383,th Trường THCS-THPT chau a thaibinh duong,Trường THCS-THPT Châu A' TháiBình Dương,th trường thcs-thpt chau a thaibinh duong,trường thcs-thpt châu a' tháibình dương
1704,6119,Trường THPT vinh thanh,Trường THPT Vĩnh Thạnh,trường thpt vinh thanh,trường thpt vĩnh thạnh
1705,3800,gdnn gdtx gia vien,TT GDNN-GDTX Gia Viễn,gdnn gdtx gia vien,tt gdnn-gdtx gia viễn
1706,5317,TT GDTX tinh tay ninh,TT GDTX Tỉnh Tây Ninh,tt gdtx tinh tay ninh,tt gdtx tỉnh tây ninh
1707,497,UHD,Đại Học Hải Dương,uhd,đại học hải dương
1708,10667,TT GDTX-DN-Lục Ngạn,TT GDTX-DN Lục Ngạn,tt gdtx-dn-lục ngạn,tt gdtx-dn lục ngạn
1709,1023,cao dang duoc tw hai duong,Cao Đẳng Dược Trung Ương Hải Dương,cao dang duoc tw hai duong,cao đẳng dược trung ương hải dương
1710,4143,trung tam dn hn va gdtx huong son,TT DN-HN và GDTX Hương Sơn,trung tam dn hn va gdtx huong son,tt dn-hn và gdtx hương sơn
1711,1568,Trường THCS-THPT nguyen tat thanh,Trường THCS-THPT Nguyễn Tất Thành,trường thcs-thpt nguyen tat thanh,trường thcs-thpt nguyễn tất thành
1712,1129,cao dang van hoa nge thuat,Cao Đẳng Văn hóa Nghệ thuật TP.HCM,cao dang van hoa nge thuat,cao đẳng văn hóa nghệ thuật tp.hcm
1713,2226,Trường THPT le ich moc,Trường THPT Lê ích Mộc,trường thpt le ich moc,trường thpt lê ích mộc
1714,1717,Trường THPT tung thien,Trường THPT Tùng Thiện,trường thpt tung thien,trường thpt tùng thiện
1715,9841,pho thong tran bien,"Trường THPT Trấn Biên, Đồng Nai",pho thong tran bien,"trường thpt trấn biên, đồng nai"
1716,6657,dai hoc bach khoa,Trường Đại học Bách khoa Hà Nội,dai hoc bach khoa,trường đại học bách khoa hà nội
1717,7143,trừơng Trường THCS và Trường THPT Hồng Vân,Trường THCS-THPT Hồng Vân,trừơng trường thcs và trường thpt hồng vân,trường thcs-thpt hồng vân
1718,5216,tt gdnn gdtx tx ben cat,TT GDNN-GDTX TX.Bến Cát,tt gdnn gdtx tx ben cat,tt gdnn-gdtx tx.bến cát
1719,3078,th Trường THCS-THPT nguyen binh khiem,Trường THCS-THPT Nguyễn Bỉnh Khiêm,th trường thcs-thpt nguyen binh khiem,trường thcs-thpt nguyễn bỉnh khiêm
1720,1961,tckt nv nam sai gon,TCKT-NV Nam Sài Gòn,tckt nv nam sai gon,tckt-nv nam sài gòn
1721,25, HANU,Đại Học Hà Nội, hanu,đại học hà nội
1722,4358,Trường THPT nguyen truong to,Trường THPT Nguyễn Trường Tộ,trường thpt nguyen truong to,trường thpt nguyễn trường tộ
1723,11644,truong Bui thi Xuan Dalat,Trường THPT Bùi Thị Xuân,truong bui thi xuan dalat,trường thpt bùi thị xuân
1724,831,cao dang truyen hinh ha noi (ctv),Cao Đẳng Truyền hình,cao dang truyen hinh ha noi (ctv),cao đẳng truyền hình
1725,12840,ĐH cảnh sát,Trường Đại học Cảnh sát Nhân dân,đh cảnh sát,trường đại học cảnh sát nhân dân
1726,12051,truong trung hoc pho thong vinh xuan,Trường THPT Vinh Xuân,truong trung hoc pho thong vinh xuan,trường thpt vinh xuân
1727,9316,truong ptth ngoc thanh,Trường THPT Ngọc Hồi,truong ptth ngoc thanh,trường thpt ngọc hồi
1728,9886,Trường THPT TRẦN QUANG DIỆU,Trường THPT Trần Quang Diệu,trường thpt trần quang diệu,trường thpt trần quang diệu
1729,10895,WATER RESOUCES UNIVERSITY,Trường Đại Học Thủy Lợi,water resouces university,trường đại học thủy lợi
1730,9946,Truong Trường THPTvy1,Trường THPT Việt Yên 1,truong trường thptvy1,trường thpt việt yên 1
1731,1200,cao dang nghe thanh nien dan toc tay nguyen,Cao Đẳng nghề Thanh niên dân tộc Tây Nguyên,cao dang nghe thanh nien dan toc tay nguyen,cao đẳng nghề thanh niên dân tộc tây nguyên
1732,11150,trung hoc pho thong tu son,Trường THPT Ngô Gia Tự,trung hoc pho thong tu son,trường thpt ngô gia tự
1733,9770,Nguyễn Trãi-Ba Đình,Trường THPT Nguyễn Trãi - Ba Đình,nguyễn trãi-ba đình,trường thpt nguyễn trãi - ba đình
1734,6944,Trường cđ Bach Nghệ,Trường Cao Đẳng Bách Nghệ Hà Nội,trường cđ bach nghệ,trường cao đẳng bách nghệ hà nội
1735,707,Đại Học Nông Lâm TPHCM,Đại Học Nông Lâm TP.HCM,đại học nông lâm tphcm,đại học nông lâm tp.hcm
1736,8505,Trường THPTTH Long Phước,Trường THPT Long Phước,trường thptth long phước,trường thpt long phước
1737,14275,Trường THPT Chu Văn An - Phú Tân - An Giang,Trường THPT Chu Văn An,trường thpt chu văn an - phú tân - an giang,trường thpt chu văn an
1738,11707,Trường DTNT tỉnh Bắc Giang,Trường THPT Dân Tộc Nội Trú Tỉnh Bắc Giang,trường dtnt tỉnh bắc giang,trường thpt dân tộc nội trú tỉnh bắc giang
1739,3804,TT GDTX hoa lu,TT GDTX Hoa Lư,tt gdtx hoa lu,tt gdtx hoa lư
1740,10504,TRUNG CAP CAU DUONG,Trường Trung Cấp Cầu Đường & Dạy Nghề Binh Đoàn 12,trung cap cau duong,trường trung cấp cầu đường & dạy nghề binh đoàn 12
1741,11754,Đại học KHTN Hà Nội,"Trường Đại học Khoa học Tự nhiên, Đại học Quốc gia Hà Nội",đại học khtn hà nội,"trường đại học khoa học tự nhiên, đại học quốc gia hà nội"
1742,4005,trung tam gdnn gdtx quy chau thi tran tan lac nghe an,"TT GDNN-GDTX Quỳ Châu Thị trấn Tân Lạc, Nghệ An",trung tam gdnn gdtx quy chau thi tran tan lac nghe an,"tt gdnn-gdtx quỳ châu thị trấn tân lạc, nghệ an"
1743,4739,Trường THPT so 1 tuy phuoc,Trường THPT Số 1 Tuy phước,trường thpt so 1 tuy phuoc,trường thpt số 1 tuy phước
1744,2672,tt gdtx h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan,"TT GDTX H. Pác Nặm, tỉnh Bắc Kạn Xã Bộc Bố, huyện Pác Nặm, tỉnh Bắc Kạn",tt gdtx h pac nam tinh bac kan xa boc bo huyen pac nam tinh bac kan,"tt gdtx h. pác nặm, tỉnh bắc kạn xã bộc bố, huyện pác nặm, tỉnh bắc kạn"
1745,7877,Trường THPT Châu Văn Liêm,Trường THPT Châu Văn Liêm,trường thpt châu văn liêm,trường thpt châu văn liêm
1746,7459,PTTH Khánh Hòa - TN,Trường THPT Khánh Hòa,ptth khánh hòa - tn,trường thpt khánh hòa
1747,999,truong trung cap y duoc pasteur ha noi,Trung cấp Công nghệ và Y tế Pasteur,truong trung cap y duoc pasteur ha noi,trung cấp công nghệ và y tế pasteur
1748,9192,Trường THPT Nông Cống3 - Thanh Hóa,Trường THPT NÔNG CỐNG 3,trường thpt nông cống3 - thanh hóa,trường thpt nông cống 3
1749,8597,Trường Đại Học Nông Lâm sơn la,Trường Cao Đẳng Nông Lâm Sơn La,trường đại học nông lâm sơn la,trường cao đẳng nông lâm sơn la
1750,2136,Trường THPT da phuoc,Trường THPT Đa Phước,trường thpt da phuoc,trường thpt đa phước
1751,7330,Trung hoc pho thong Krongbong,Trường THPT Krông Bông,trung hoc pho thong krongbong,trường thpt krông bông
1752,10221,Trường THPT Thường Tín,Trường THPT Thường Tín,trường thpt thường tín,trường thpt thường tín
1753,7665,University of Massachusetts Amherst,Đại học Massachusetts Amherst ,university of massachusetts amherst,đại học massachusetts amherst 
1754,1727,pt dan toc noi tru,Trường THPT Dân tộc nội trú,pt dan toc noi tru,trường thpt dân tộc nội trú
1755,7081,Truong Trung Hoc Pho Thong Nguyen Van Linh,Trường THPT Nguyễn Văn Linh,truong trung hoc pho thong nguyen van linh,trường thpt nguyễn văn linh
1756,8344,Trường THPT BẤT BẠT,Trường THPT Bất Bạt,trường thpt bất bạt,trường thpt bất bạt
1757,4684,Trường THPT tran quang dieu,Trường THPT Trần Quang Diệu,trường thpt tran quang dieu,trường thpt trần quang diệu
1758,12111,TT GDTX tỉnh Ninh Thuận,TT GDTX - Hướng Nghiệp Tỉnh Ninh Thuận,tt gdtx tỉnh ninh thuận,tt gdtx - hướng nghiệp tỉnh ninh thuận
1759,6400,trung cap nghe bac lieu,Trung cấp Nghề Bạc Liêu,trung cap nghe bac lieu,trung cấp nghề bạc liêu
1760,7873,Trường THPT.Mai Anh Tuan,Trường THPT Mai Anh Tuấn,trường thpt.mai anh tuan,trường thpt mai anh tuấn
1761,10049,Dai hok hang hai,Trường Đại học Hàng hải Việt Nam,dai hok hang hai,trường đại học hàng hải việt nam
1762,1947,th Trường THCS va Trường THPT quoc te canada,Trường THCS-THPT quốc tế Canada,th trường thcs va trường thpt quoc te canada,trường thcs-thpt quốc tế canada
1763,3090,Trường THPT le quy don,Trường THPT Lê Quý Đôn,trường thpt le quy don,trường thpt lê quý đôn
1764,10378,TRUONG CAO DANG Y TE NGHE AN,Trường Cao Đẳng Y tế Nghệ An,truong cao dang y te nghe an,trường cao đẳng y tế nghệ an
1765,7593,Cao Đẳng Kinh Tế Đối Ngoại TP.HCM,Cao Đẳng Kinh Tế Đối Ngoại,cao đẳng kinh tế đối ngoại tp.hcm,cao đẳng kinh tế đối ngoại
1766,5362,tc nghe khu vuc nam tay ninh truoc 01 02 2020,TC nghề khu vực Nam Tây Ninh,tc nghe khu vuc nam tay ninh truoc 01 02 2020,tc nghề khu vực nam tây ninh
1767,13662,Truong trung cap kinh te ki thuat Tay Ninh,Trường Cao Đẳng Kinh tế Kỹ thuật Tây Ninh,truong trung cap kinh te ki thuat tay ninh,trường cao đẳng kinh tế kỹ thuật tây ninh
1768,8219,CDVHNT THAI BINH,Trường Cao Đẳng Văn hóa Nghệ thuật Thái Bình,cdvhnt thai binh,trường cao đẳng văn hóa nghệ thuật thái bình
1769,4258,Trường THPT quang ninh,Trường THPT Quảng Ninh,trường thpt quang ninh,trường thpt quảng ninh
1770,11063,Trường THPT Trần dang nimh,Trường THPT Trần Đăng Ninh,trường thpt trần dang nimh,trường thpt trần đăng ninh
1771,5676,Trường THPT do chieu,Trường THPT Đồ Chiểu,trường thpt do chieu,trường thpt đồ chiểu
1772,6628,tt gdtx thi xa nga bay,TT GDTX thị xã Ngã Bảy,tt gdtx thi xa nga bay,tt gdtx thị xã ngã bảy
1773,5667,tt giao duc nghe nghiep gdtx huyen lap vo,TT Giáo dục nghề nghiệp - GDTX huyện Lấp Vò,tt giao duc nghe nghiep gdtx huyen lap vo,tt giáo dục nghề nghiệp - gdtx huyện lấp vò
1774,8304,truong cao đag kinh te tai chinh thai nguyen,Trường Cao Đẳng Thái Nguyên,truong cao đag kinh te tai chinh thai nguyen,trường cao đẳng thái nguyên
1775,8502,Nguyen Tat Thanh Senoir High School,Trường THCS-THPT Nguyễn Tất Thành,nguyen tat thanh senoir high school,trường thcs-thpt nguyễn tất thành
1776,5737,Trường THPT chu van an,Trường THPT Chu Văn An,trường thpt chu van an,trường thpt chu văn an
1777,14393,PTTH Tăng Bạt Hổ,Trường THPT Tăng Bạt Hổ,ptth tăng bạt hổ,trường thpt tăng bạt hổ
1778,6198,Trường THPT nguyen thi minh khai,Trường THPT Nguyễn Thị Minh Khai,trường thpt nguyen thi minh khai,trường thpt nguyễn thị minh khai
1779,14303,"Trường THPT Lê Quý Đôn, Huyện Chưprông, Tỉnh Gia Lai",Trường THPT Lê Quý Đôn,"trường thpt lê quý đôn, huyện chưprông, tỉnh gia lai",trường thpt lê quý đôn
1780,12362,Trường THPT Yên Thế Bắc Gjang,Trường THPT Yên Thế,trường thpt yên thế bắc gjang,trường thpt yên thế
1781,11721,Trường  Trường THPT Nguyễn Hữu Cảnh,Trường THPT Nguyễn Hữu Cảnh,trường  trường thpt nguyễn hữu cảnh,trường thpt nguyễn hữu cảnh
1782,5465,Trường THCS-THPT huynh van nghe,Trường THCS-THPT Huỳnh Văn nghệ,trường thcs-thpt huynh van nghe,trường thcs-thpt huỳnh văn nghệ
1783,664,Đại học Thủ Dầu Một,Đại học Thủ Dầu Một,đại học thủ dầu một,đại học thủ dầu một
1784,7864,Dai h0c haj ph0ng,Trường Đại học Hải Phòng,dai h0c haj ph0ng,trường đại học hải phòng
1785,8941,Cao Đẳng sư phạm mẫu giáo trung ương 2,Cao Đẳng Sư phạm Mầm non Trung Ương,cao đẳng sư phạm mẫu giáo trung ương 2,cao đẳng sư phạm mầm non trung ương
1786,1723,tc nghe son tay,TC nghề Sơn Tây,tc nghe son tay,tc nghề sơn tây
1787,7431,Trường Trung Học Phổ Thông Giồng Riềng,Trường THPT Giồng Riềng,trường trung học phổ thông giồng riềng,trường thpt giồng riềng
1788,3395,Trường THPT thanh binh,Trường THPT Thanh Bình,trường thpt thanh binh,trường thpt thanh bình
1789,9682,"Trường THPT NK TDTT Nguyễn Thị Định, Quận 8, TP. Hồ Chí Minh",Trường THPT Chuyên NK TDTT Nguyễn Thị Định,"trường thpt nk tdtt nguyễn thị định, quận 8, tp. hồ chí minh",trường thpt chuyên nk tdtt nguyễn thị định
1790,6345,Trường THPT ngoc to,Trường THPT Ngọc Tố,trường thpt ngoc to,trường thpt ngọc tố
1791,5079,trung tam ktth hn duc trong,TT KTTH-HN Đức Trọng,trung tam ktth hn duc trong,tt ktth-hn đức trọng
1792,9518,CĐCĐ Hà Tây - Ha Tay Community College,Trường Cao Đẳng Cộng đồng Hà Tây,cđcđ hà tây - ha tay community college,trường cao đẳng cộng đồng hà tây
1793,1919,trung hoc thuc hanh dai hoc su pham,Trung học Thực hành Đại học Sư phạm,trung hoc thuc hanh dai hoc su pham,trung học thực hành đại học sư phạm
1794,13514,Trung Học Phổ thông Dân Lập lomonosov,Trường THCS-THPT M.V. Lômônôxốp,trung học phổ thông dân lập lomonosov,trường thcs-thpt m.v. lômônôxốp
1795,8255,Đại Học Văn Hoá Thành Phố Hồ Chí Minh,Trường Đại học Văn hóa TP.HCM,đại học văn hoá thành phố hồ chí minh,trường đại học văn hóa tp.hcm
1796,8484,ĐH công nghiệp TN,Trường Đại Học Kỹ Thuật Công Nghiệp,đh công nghiệp tn,trường đại học kỹ thuật công nghiệp
1797,13438,Trường THPT Trần Nhân Tông Quảng Ninh,Trường THPT Trần Nhân Tông,trường thpt trần nhân tông quảng ninh,trường thpt trần nhân tông
1798,12409,Sasuke Việt Nam,Không giới hạn - Sasuke Việt Nam,sasuke việt nam,không giới hạn - sasuke việt nam
1799,4607,cd su pham kon tum,CĐ Sư phạm Kon Tum,cd su pham kon tum,cđ sư phạm kon tum
1800,13325,Trường THPT Nguyễn Hữu Cảnh,Trường THPT Nguyễn Hữu Cảnh,trường thpt nguyễn hữu cảnh,trường thpt nguyễn hữu cảnh
1801,11913,Trường Đại Học Kĩ Thuật Y Tế Hải Dương,Đại học Kỹ thuật Y tế Hải Dương,trường đại học kĩ thuật y tế hải dương,đại học kỹ thuật y tế hải dương
1802,4741,Trường THPT nguyen dieu,Trường THPT Nguyễn Diêu,trường thpt nguyen dieu,trường thpt nguyễn diêu
1803,563,Đại học Tài Chính Kế Toán,Đại học Tài Chính Kế Toán,đại học tài chính kế toán,đại học tài chính kế toán
1804,10041,Trường THPT Phan Bội Châu-Phan Thiết,Trường THPT Phan Bội Châu,trường thpt phan bội châu-phan thiết,trường thpt phan bội châu
1805,2779,Trường THPT bc phan chu trinh,Trường THPT BC Phan Chu Trinh,trường thpt bc phan chu trinh,trường thpt bc phan chu trinh
1806,11116,Cao Đẳng nghề tây sài gòn,Trường Cao Đẳng Nghề Tây Sài Gòn,cao đẳng nghề tây sài gòn,trường cao đẳng nghề tây sài gòn
1807,4938,Trường THPT quang trung,Trường THPT Quang Trung,trường thpt quang trung,trường thpt quang trung
1808,13416,PHTH Trương Định,Trường THPT Trương Định,phth trương định,trường thpt trương định
1809,8343,Trường THPT Trần Khai Nguyên,Trường THPT Trần Khai Nguyên,trường thpt trần khai nguyên,trường thpt trần khai nguyên
1810,1395,vien ky thuat hat nhan va vat ly moi truong dai hoc bach khoa ha noi,Đại học Bách khoa Hà Nội,vien ky thuat hat nhan va vat ly moi truong dai hoc bach khoa ha noi,đại học bách khoa hà nội
1811,6221,tt gdnn gdtx huyen mang thit,TT GDNN-GDTX huyện Mang Thít,tt gdnn gdtx huyen mang thit,tt gdnn-gdtx huyện mang thít
