text,normed_text,normed_text_2
"Trường THCS Lê Chân,Lê Chân Hải Phòng Việt Nam",Trường THCS Lê Chân,THCS Lê Chân
THPT Kien Luong,Trường THPT Kiên Lương,THPT Kiên Lương
Trường THCS Ngô Quyền - Hải Phòng,TRƯỜNG THCS NGÔ QUYỀN,THCS NGÔ QUYỀN
trường Đại Học Nông Lâm Thái Nguyên,Trường Đại học Nông Lâm,Đại học Nông Lâm
THPT Nguyễn Hùng Sơn,Trường THPT Nguyễn Hùng Sơn,THPT Nguyễn Hùng Sơn
THPT Cẩm Giàng,Trường THPT Cẩm Giàng,THPT Cẩm Giàng
THPT Nguyen Duy Hieu,Trường THPT Nguyễn Duy Hiệu,THPT Nguyễn Duy Hiệu
THPT 25 - 10,Trường THPT Dân Lập 25 - 10,THPT Dân Lập 25 - 10
THPT Lý Thường Kiệt - TP Móng Cái,Trường THPT Lý Thường Kiệt,THPT Lý Thường Kiệt
Trường THPT Chí Linh,Trường THPT Chí Linh,THPT Chí Linh
THCS Thuận Hưng,Trường THCS Thuần Hưng,THCS Thuần Hưng
Trường THPT Diễn Châu 2 - Nghệ An,Trường THPT Diễn Châu 2,THPT Diễn Châu 2
THCS Trần Phú - Hải Dương,Trường Thcs Trần Phú,Thcs Trần Phú
"THPT HỒNG QUANG, HẢI DƯƠNG",Trường THPT Hồng Quang,THPT Hồng Quang
Trường THCS Hoằng Trinh,Trường THCS Hoằng Trinh,THCS Hoằng Trinh
cđ kế toán,Trường cao đẳng Kế toán Hà Nội,cao đẳng Kế toán Hà Nội
Kinh Bac International School,Trường Phổ thông Quốc tế Kinh Bắc,Phổ thông Quốc tế Kinh Bắc
THCS hòa phước,Trường THCS Nguyễn Văn Linh,THCS Nguyễn Văn Linh
THPT Mỹ Phước Tây,Trường THPT Mỹ Phước Tây,THPT Mỹ Phước Tây
Học Viện Tài Chính,Học viện tài chính,Học viện tài chính
THPT Thái Ninh,Trường THPT Thái Ninh,THPT Thái Ninh
Trung học Phổ thông Chuyên Trần Đại Nghĩa,Trường THPT Chuyên Trần Đại Nghĩa,THPT Chuyên Trần Đại Nghĩa
THPT Gò Vấp,Trường THPT Gò Vấp,THPT Gò Vấp
THPT An Hải - Hải Phòng,Trường Tư Thục THPT An Hải,Tư Thục THPT An Hải
DH PHU XUAN,Trường Đại học Phú Xuân - city campus,Đại học Phú Xuân - city campus
Truong THCS Dai Phuc,Trường THCS Đại Phúc,THCS Đại Phúc
Trung tâm giáo dục thường xuyên tỉnh bắc ninh,Trung Tâm Giáo Dục Thường Xuyên Tỉnh Bắc Ninh,Giáo Dục Thường Xuyên Tỉnh Bắc Ninh
THPT Nguyễn Văn Huyên_ Tỉnh Tuyên Quang,Trường THPT Nguyễn Văn Huyên,THPT Nguyễn Văn Huyên
THCS AN CHÂU,THCS An Châu,THCS An Châu
Trường THCS Đoàn Thị Điểm  Hà Nội,Trường THCS Đoàn Thị Điểm (Cơ sở 1),THCS Đoàn Thị Điểm
Thpt Pham Quang Tham,Trường THPT Phạm Quang Thẩm,THPT Phạm Quang Thẩm
Trường THPT Chiêm Hóa,Trường THPT Chiêm Hóa,THPT Chiêm Hóa
THPT Phước Long - Bạc Liêu,Trường THPT Võ Văn Kiệt,THPT Võ Văn Kiệt
THPT Hạ Hoà,Trường THPT Hạ Hòa,THPT Hạ Hòa
THPT Yên Lạc II,Trường THPT Yên Lạc 2,THPT Yên Lạc 2
THPT Mạc Đĩnh Chi - Quận 6,Trường Trung học phổ thông Mạc Đĩnh Chi,Trung học phổ thông Mạc Đĩnh Chi
Trường Cao Đẳng Điện Lực TPHCM,Trường Cao đẳng Điện lực Thành phố Hồ Chí Minh,Cao đẳng Điện lực Thành phố Hồ Chí Minh
Trường THPT Vũ Tiên,Trường THPT Vũ Tiên,THPT Vũ Tiên
Đại học Mỏ Địa Chất - Hà Nội,Trường Đại học Mỏ - Địa chất.,Đại học Mỏ - Địa chất.
Cao Dang Ky Thuat Cao Thang,Trường Cao đẳng Kỹ thuật Cao Thắng,Cao đẳng Kỹ thuật Cao Thắng
THPT Nguyễn Trung Ngạn,THPT Nguyễn Trung Ngạn,THPT Nguyễn Trung Ngạn
HCM University of Industry,Trường Đại học Công nghiệp TP.HCM,Đại học Công nghiệp TP.HCM
THCS Tan Dinh,Trường THCS Tân Định,THCS Tân Định
THPT QUỲNH THỌ,Trường THPT Quỳnh Thọ,THPT Quỳnh Thọ
Trường PTTH Trưng Vương - Quy Nhơn,Trường Trung Học Phổ Thông Trưng Vương,Trung Học Phổ Thông Trưng Vương
THPT Tam Dương II,Trường THPT Tam Dương II,THPT Tam Dương II
THPT Hoành Bồ,Trường Thpt Hoành Bồ,Thpt Hoành Bồ
Trường PTCS Dịch Vọng,Trường THCS Dịch Vọng,THCS Dịch Vọng
Trường THPT Lục Ngạn số 2,Trường THPT Lục Ngạn số 2,THPT Lục Ngạn số 2
cao đẳng sư phạm vinh,Trường Cao đẳng Sư phạm Nghệ An,Cao đẳng Sư phạm Nghệ An
Cao Đẳng - Kinh Tế Kĩ Thuật Phú Lâm,Trường Cao đẳng Kinh tế - Kỹ thuật Thương mại,Cao đẳng Kinh tế - Kỹ thuật Thương mại
Trường THPT Gia Lộc II,Trường THPT Gia Lộc II,THPT Gia Lộc II
trung học phổ thông Thanh Hà,Trường Trung học Phổ thông Thanh Hà,Trung học Phổ thông Thanh Hà
"THPT Nguyễn Bỉnh Khiêm, Chư Sê, Gia Lai",Trường THPT Nguyễn Bỉnh Khiêm,THPT Nguyễn Bỉnh Khiêm
THPT Số 2 Bố Trạch,Trường Trung Học Phổ Thông Số 2 Bố Trạch,Trung Học Phổ Thông Số 2 Bố Trạch
ĐH Quảng Bình,Trường Đại học Quảng Bình,Đại học Quảng Bình
THPT Trần Khánh Dư,Trường Thcs & Thpt Trần Khánh Dư,Thcs & Thpt Trần Khánh Dư
Trường THPT Đông Triều,Trường THPT Đông Triều,THPT Đông Triều
THCS YÊN BIÊN,Trường THCS Yên Biên,THCS Yên Biên
Trường THPT Lê Hồng Phong- Hà Giang,Trường THPT Lê Hồng Phong,THPT Lê Hồng Phong
THPT Vị Xuyên,Trường THPT Vị Xuyên,THPT Vị Xuyên
THPT Nam Phù Cừ,Trường THPT Nam Phù Cừ,THPT Nam Phù Cừ
trường THPT Hòn Gai,Trường THPT Hòn Gai,THPT Hòn Gai
THCS Đặng Trần Côn,Trường Tiểu học Đặng Trần Côn,Tiểu học Đặng Trần Côn
Trường THPT Lục Ngạn số 4 - Bắc Giang,Trường Trung Học Phổ Thông Lục Ngạn Số 4,Trung Học Phổ Thông Lục Ngạn Số 4
thpt cho don,Trường THPT Chợ Đồn,THPT Chợ Đồn
thpt cho don bac kan,Trường THPT Chợ Đồn,THPT Chợ Đồn
PTTH Hồng Bàng _ Hải Phòng,Trường THPT Hồng Bàng,THPT Hồng Bàng
Havad University,Đại học Harvard (Harvard University),Đại học Harvard
"Trường Thpt Nguyễn Văn Thìn, Thị Trấn Vĩnh Bình, Gò Công Tây, Tiền Giang",Trường THPT Nguyễn Văn Thìn,THPT Nguyễn Văn Thìn
Trường THPT Bắc Sơn - Huyện Phổ Yên - Tỉnh Thái Nguyên,Trường THPT Bắc Sơn,THPT Bắc Sơn
TrườngTHCS Lê Bình,Trường THCS Lê Bình,THCS Lê Bình
CĐ ki thuat cong nghiep,Trường Cao đẳng Kỹ thuật Công nghiệp,Cao đẳng Kỹ thuật Công nghiệp
trung hoc pho thong dau tieng,Trường THPT Dầu Tiếng,THPT Dầu Tiếng
Đại học Kinh tế Kĩ thuật Bình Dương,Trường Đại học Kinh tế - Kỹ Thuật Bình Dương,Đại học Kinh tế - Kỹ Thuật Bình Dương
THPT Xuân Mai Chương Mỹ Hà Nội,Trường THPT Xuân Mai,THPT Xuân Mai
ĐH Ngoại ngữ HN,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội","Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội"
Trường Đại Học Lao Động - Xã Hội CSII,Trường Đại học Lao động Xã hội - Cơ sở 2,Đại học Lao động Xã hội - Cơ sở 2
Trường Cao Đẳng HÒA BÌNH XUÂN LỘC,Trường Cao đẳng Hòa Bình Xuân Lộc,Cao đẳng Hòa Bình Xuân Lộc
Đại Học Điện Lực,Trường Đại học Điện Lực,Đại học Điện Lực
Trường THPT Trần Phú-Móng Cái-Quảng Ninh,Trường THPT Trần Phú,THPT Trần Phú
THPT Vũ Tiên - Vũ Thư - Thái Bình,Trường THPT Vũ Tiên,THPT Vũ Tiên
CĐ Hàng Hải I,Trường Cao Đẳng Hàng Hải I,Cao Đẳng Hàng Hải I
Trường Đại học Tài nguyên và Môi trường Tp. Hồ Chí Minh,Trường đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh,đại học Tài nguyên và Môi trường Thành phố Hồ Chí Minh
Trường THPT Bạch Đằng - Hải Phòng,THPT Bạch Đằng - Hải Phòng,THPT Bạch Đằng - Hải Phòng
thpt bk,Trường THCS & THPT Tạ Quang Bửu,THCS & THPT Tạ Quang Bửu
"Trường  Trung  Học Cơ Sở   .""Hưng  Dạo"".",Trường THCS Hưng Đạo,THCS Hưng Đạo
"THPT Hoàng Hoa Thám,Đông Triều,Quảng Ninh",Trường THPT Hoàng Hoa Thám,THPT Hoàng Hoa Thám
THPT QUỲNH THỌ,Trường THPT Quỳnh Thọ,THPT Quỳnh Thọ
"Trường THPT Lý Thường Kiệt, Việt Yên, Bắc Giang",Trường THPT Lý Thường Kiệt,THPT Lý Thường Kiệt
PTTH An Duong,Trường THPT An Dương,THPT An Dương
Trường THPT MÈO VẠC,Trường THPT Mèo Vạc,THPT Mèo Vạc
THPT Son Dong 2,Trường THPT Sơn Động số 2,THPT Sơn Động số 2
Đại học Kinh Bắc - Bắc Ninh,Trường Đại học Kinh Bắc,Đại học Kinh Bắc
Đại Học Sư Phạm Hải Phòng,Trường Đại học Hải Phòng,Đại học Hải Phòng
thpt cong hoa,Trường Trung học Phổ Thông Cộng Hòa,Trung học Phổ Thông Cộng Hòa
cao dang y te quang ninh,Cao đẳng Y tế Quảng Ninh,Cao đẳng Y tế Quảng Ninh
Trường trung học chuyên ban Hồng Gai,Trường PTTH Chuyên Ban Hồng Gai,PTTH Chuyên Ban Hồng Gai
Newton Grammar School,Newton Grammar School cơ sở 2,ewton Grammar School cơ sở 2
Trung hoc pt bach đang,THPT Bạch Đằng - Hải Phòng,THPT Bạch Đằng - Hải Phòng
cd cong nghiep hai phong,Trường Cao Đẳng Công Nghiệp Hải Phòng,Cao Đẳng Công Nghiệp Hải Phòng
truong trung hoc pho thong phan dang luu,Trường THPT Phan Đăng Lưu,THPT Phan Đăng Lưu
Trường Trung Học Phổ Thông Cộng Hiền,Trường THPT Cộng Hiền,THPT Cộng Hiền
THPT Phú Lương,Trường THPT Phú Lương,THPT Phú Lương
Trường THPT Phương Sơn,Trường THPT Phương Sơn,THPT Phương Sơn
"TRƯỜNG THPT TRẦN HƯNG ĐẠO, HẢI PHÒNG","Trường Trung học phổ thông Trần Hưng Đạo, Hải Phòng","Trung học phổ thông Trần Hưng Đạo, Hải Phòng"
Truong THPT Duong An,Trường THPT Đường An,THPT Đường An
Cao Đẳng Sư Phạm Hải Dương,Trường cao đẳng sư phạm hải dương,cao đẳng sư phạm hải dương
Trường THPT Đông Thụy Anh,Trường THPT Đông Thụy Anh,THPT Đông Thụy Anh
Truong THPT GL2,Trường THPT Gia Lộc II,THPT Gia Lộc II
Trường THPT Dân tộc nội trú Tuyên Quang,Trường Phổ Thông Dân Tộc Nội Trú - THPT Tỉnh Tuyên Quang,Phổ Thông Dân Tộc Nội Trú - THPT Tỉnh Tuyên Quang
THCS Đoàn Giỏi,Trường THCS Đoàn Giỏi,THCS Đoàn Giỏi
THPT Thanh Thủy - Phú Thọ,Trường THPT Thanh Thủy,THPT Thanh Thủy
Trường Trung Học Cơ Sở Châu Minh Hiệp Hòa Bắc Giang,Trường Trung học Cơ sở Châu Minh,Trung học Cơ sở Châu Minh
THCS Nguyễn Hàm Ninh,Trường THCS Nguyễn Hàm Ninh,THCS Nguyễn Hàm Ninh
Truog THPT Binh Trung,Trường THPT Bình Trung,THPT Bình Trung
Đại học Công nghiệp Hà Nội,Trường Đại học Công nghiệp Hà Nội,Đại học Công nghiệp Hà Nội
Truong THPT binh trung-bac can,Trường THPT Bình Trung,THPT Bình Trung
Trường THPT Kháng Nhật,Trường Thpt Kháng Nhật,Thpt Kháng Nhật
THPT Phổ Yên,Trường THPT Phổ Yên,THPT Phổ Yên
Trung học phổ thông Phổ Yên,Trường THPT Phổ Yên,THPT Phổ Yên
Trường THPT LÊ ÍCH MỘC,Trường THPT Lê Ích Mộc,THPT Lê Ích Mộc
Trường Đại Học Kinh Tế TP Hồ Chí Minh,Trường Đại học Kinh tế TP. HCM,Đại học Kinh tế TP. HCM
Đại học Kinh tế Tp.HCM- UEH,Trường Đại học Kinh tế TP. HCM,Đại học Kinh tế TP. HCM
Trường THPT Thới Bình - Tỉnh Cà Mau,Trường THPT Thới Bình,THPT Thới Bình
Truong Cao Dang khach san va du lich Hai Duong,Trường Cao Đẳng Kĩ Thuật Khách Sạn Và Du Lịch,Cao Đẳng Kĩ Thuật Khách Sạn Và Du Lịch
THPT Tam Nông,Trường THPT Tam Nông,THPT Tam Nông
THCS Van Luong,Trường THCS Văn Lương,THCS Văn Lương
Đại học Quản lý và Kinh doanh Hà Nội(HUBM),Trường Đại học Kinh doanh và Công nghệ Hà Nội,Đại học Kinh doanh và Công nghệ Hà Nội
ĐH Nông Lâm TPHCM,Trường Đại học Nông Lâm Tp. Hồ Chí Minh,Đại học Nông Lâm Tp. Hồ Chí Minh
THPT Ngân Sơn,Trường THPT Ngân Sơn,THPT Ngân Sơn
Chuyên ban Cẩm Phả,Trường THPT Cẩm Phả,THPT Cẩm Phả
Đại Học Mỏ Địa Chất,Trường Đại học Mỏ - Địa chất.,Đại học Mỏ - Địa chất.
dan lap hai phong,Đại học Quản lý và Công nghệ Hải Phòng,Đại học Quản lý và Công nghệ Hải Phòng
THPT Thuan Hung,Trường THPT Thuận Hưng,THPT Thuận Hưng
THCS Thị trấn Tiên Lãng,Trường THCS thị trấn Tiên Lãng,THCS thị trấn Tiên Lãng
Trường THPT Chi Lăng A Thị trấn Đồng Mỏ,Trường THPT Chi Lăng,THPT Chi Lăng
Pham Ngoc Thach University of Medicine,Trường Đại học Y khoa Phạm Ngọc Thạch,Đại học Y khoa Phạm Ngọc Thạch
dong thuy anh,Trường THPT Đông Thụy Anh,THPT Đông Thụy Anh
THPT Xuân Vân,THPT Xuân Vân,THPT Xuân Vân
Trường THPT Thăng Long - Hải Phòng,Trường THPT Thăng Long - Hải Phòng,THPT Thăng Long - Hải Phòng
Trường THPT Giồng Ông Tố,Trường THPT Giồng Ông Tố,THPT Giồng Ông Tố
Trường Cao Đẳng Y Tế Thái Nguyên,Cao đẳng Y tế Thái Nguyên,Cao đẳng Y tế Thái Nguyên
Trường Đại học Sư Phạm Quy Nhơn,Trường Đại Học Quy Nhơn,Đại Học Quy Nhơn
THPT A Lưới,THPT A Lưới,THPT A Lưới
THPT Nguyen An Ninh,Trường THPT Nguyễn An Ninh,THPT Nguyễn An Ninh
Học Viện Hậu Cần,Học Viện Hậu Cần,Học Viện Hậu Cần
THPT Krông Nô,THPT Krông Nô,THPT Krông Nô
Trường Cao Đẳng Bến Tre,Trường Cao đẳng Bến Tre,Cao đẳng Bến Tre
truong cap 3 phuc tho ha noi,Trường THPT Phúc Thọ,THPT Phúc Thọ
THPT TRÀM CHIM,Trường THPT Tràm Chim,THPT Tràm Chim
THPT Co Loa 09,Trường THPT Cổ Loa,THPT Cổ Loa
Trung cấp Kinh tế Hà Nội,Trường Trung cấp Kinh tế Hà Nội,Trung cấp Kinh tế Hà Nội
Trường Trung Học Cơ Sở Cao Thắng,Trường THCS Cao Thắng,THCS Cao Thắng
THPT Uông Bí - Quảng Ninh,Trường THPT Uông Bí,THPT Uông Bí
Trung hoc co so vu vinh,Trường THCS Vũ Vinh,THCS Vũ Vinh
Thcs vu hoj,Trường Thcs Vũ Hội,Thcs Vũ Hội
luc ngan so 3,Trường THPT Lục Ngạn Số 3,THPT Lục Ngạn Số 3
THPT Quan Lan,Trường THPT Quan Lạn,THPT Quan Lạn
trung học phổ thông C nghĩa hưng,Trường THPT C Nghĩa Hưng,THPT C Nghĩa Hưng
Trường THPT YÊN THẾ,Trường THPT Yên Thế,THPT Yên Thế
Truong THPT Tran Van Bay Thanh Tri Soc Trang,Trường THPT Trần Văn Bảy,THPT Trần Văn Bảy
Trường THPT Lục Ngạn số 3 - Bắc Giang,Trường THPT Lục Ngạn Số 3,THPT Lục Ngạn Số 3
"THPT Thanh Thuỷ, Phú Thọ",Trường THPT Thanh Thủy,THPT Thanh Thủy
Trung hoc pho thong Viet Yen 1,Trường THPT Việt Yên 1,THPT Việt Yên 1
Trường cao đẳng nghề Cơ điện và Xây dựng Bắc Ninh - ĐTN,Trường Cao đẳng Cơ điện và Xây Dựng Bắc Ninh,Cao đẳng Cơ điện và Xây Dựng Bắc Ninh
dai hoc kien truc ha noi,Trường Đại học Kiến trúc Hà Nội,Đại học Kiến trúc Hà Nội
Trung học phổ thông Hàng Hải,Trường THPT Hàng Hải,THPT Hàng Hải
DHDL hai phong,Đại học Quản lý và Công nghệ Hải Phòng,Đại học Quản lý và Công nghệ Hải Phòng
THPT NGUYỄN VIỆT DŨNG _ CẦN THƠ,Trường THPT Nguyễn Việt Dũng,THPT Nguyễn Việt Dũng
Học viện Báo chí và Tuyên truyền,Học viện Báo chí & Tuyên truyền,Học viện Báo chí & Tuyên truyền
Trường THCS Ngô Quyền - Hải Phòng,TRƯỜNG THCS NGÔ QUYỀN,THCS NGÔ QUYỀN
DH Sao Do,Trường Đại học Sao Đỏ,Đại học Sao Đỏ
"THPT Trường Chinh, Quận 12, TP. Hồ Chí Minh",Trường THPT Trường Chinh,THPT Trường Chinh
Trường THCS Nguyễn Minh Hoàng,Trường Thcs Công Lập Nguyễn Minh Hoàng,Thcs Công Lập Nguyễn Minh Hoàng
Đại học harvad,Đại học Harvard,Đại học Harvard
THPT Tây Thạnh,Trường THPT Tây Thạnh,THPT Tây Thạnh
THPT Hữu Lũng - Lạng Sơn,Trường Trung học phổ thông Hữu Lũng,Trung học phổ thông Hữu Lũng
Đại học Công nghệ - ĐHQGHN,"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội","Đại học Công nghệ, Đại học Quốc gia Hà Nội"
Trường Sĩ quan Chính trị - Đại học Chính trị,Trường Sĩ Quan Chính Trị,Sĩ Quan Chính Trị
Trường Đại học Sao Đỏ,Trường Đại học Sao Đỏ,Đại học Sao Đỏ
THPT Xuân Huy,Trường THPT Xuân Huy,THPT Xuân Huy
THCS Phú Lợi,Trường THCS Phú Lợi,THCS Phú Lợi
Trường Đại học Văn hóa Hà Nội_Hanoi University Of Culture,Trường Đại học Văn hóa Hà Nội,Đại học Văn hóa Hà Nội
Cao dang nghe Vinashin,Trường Cao Đẳng Nghề Vinashin,Cao Đẳng Nghề Vinashin
Cao dang nghe Vinashin,Trường Cao Đẳng Nghề Vinashin,Cao Đẳng Nghề Vinashin
Trường THCS Thiên Hương,Trường Trung học cơ sở Thiên Hương,Trung học cơ sở Thiên Hương
trung hoc pho thong luong tai 1,Trường Trung Học Phổ Thông Lương Tài Số 1,Trung Học Phổ Thông Lương Tài Số 1
Trường THPT Thuận Thành Số 2,Trường THPT Thuận Thành 2,THPT Thuận Thành 2
THPT Thuận Thành 3,THPT Thuận Thành Số 3,THPT Thuận Thành Số 3
Truong dai hoc mo dia chat Ha Noi,Trường Đại học Mỏ - Địa chất.,Đại học Mỏ - Địa chất.
Đại Học Sư Phạm Kỹ Thuật Vĩnh Long,Trường ĐH Sư phạm Kỹ thuật Vĩnh Long,ĐH Sư phạm Kỹ thuật Vĩnh Long
Tieu hoc Duong Quan,Trường Tiểu học Dương Quan,Tiểu học Dương Quan
THCS Hoàng Động Thủy Nguyên Hải Phòng,THCS Hoàng Động,THCS Hoàng Động
Daj hoc su pham ha noj,Trường Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
"THCS - THPT Chu Văn An, Móng Cái",Trường THPT Chu Văn An,THPT Chu Văn An
Cao Đẳng Y tế Hải Phòng,Trường Cao đẳng Y tế Hải Phòng,Cao đẳng Y tế Hải Phòng
Trường Trung Học Phổ Thông Đồng Hỷ,Trường THPT Đồng Hỷ số 1,THPT Đồng Hỷ số 1
CongNghiepHaNoi,Trường Đại học Công nghiệp Hà Nội,Đại học Công nghiệp Hà Nội
Trường THPT Đinh Chương Dương,Thpt Đinh Chương Dương,hpt Đinh Chương Dương
Truong THPT Dai Dong,Trường THPT Đại Đồng,THPT Đại Đồng
THPT Hàm Long,Trường THPT Hàm Long,THPT Hàm Long
Cao Đẳng Thống kê Bắc Ninh,Trường cao đẳng Thống Kê,cao đẳng Thống Kê
THPT  Bạch Đằng - Quảng Ninh,Trường THPT Bạch Đằng,THPT Bạch Đằng
Trường THPT Nguyễn Hữu Thận,Trường THPT Nguyễn Hữu Thận,THPT Nguyễn Hữu Thận
THPT Quế Võ 2,Trường THPT Quế Võ 2,THPT Quế Võ 2
trung hoc pho thong cu chinh lan,Trường THPT Cù Chính Lan,THPT Cù Chính Lan
THPT Chuyên Tuyên Quang,Trường THPT Chuyên Tuyên Quang,THPT Chuyên Tuyên Quang
Trường THPT Tây Tiền Hải,Trường THPT Tây Tiền Hải,THPT Tây Tiền Hải
THCS Phú Diên,Trường THCS Phú Diễn,THCS Phú Diễn
Trường THCS Thái Bảo,Trường THCS Thái Bảo,THCS Thái Bảo
Trường THPT Yên Dũng 1,Trường THPT Yên Dũng 1,THPT Yên Dũng 1
Trường ĐH Ngoại Ngữ Hà Nội,"Trường Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội","Đại học Ngoại ngữ, Đại học Quốc gia Hà Nội"
Trường THPT Văn Quan,Trường THPT Văn Quan,THPT Văn Quan
"THPT Nguyễn Tất Thành,Uông bí, Quảng Ninh.",Trường Thpt Nguyễn Tất Thành,Thpt Nguyễn Tất Thành
THPT Bình Giang - Hải Dương,Trường THPT Bình Giang,THPT Bình Giang
Lính trẻ trường quân sự Quân khu 3,Trường Quân Sự Quân Khu 3,Quân Sự Quân Khu 3
Trường Cao Đẳng Công Nghiệp va Xây Dựng Quảng Ninh,Trường Cao đẳng Công nghiệp và Xây dựng,Cao đẳng Công nghiệp và Xây dựng
Trường Cao Đẳng Sư Phạm Hà Nội,Trường Đại học Sư phạm Hà Nội,Đại học Sư phạm Hà Nội
Đại Học Ngoại Thương,Trường Đại học Ngoại thương,Đại học Ngoại thương
dai hoc cao dang,Đại học – Cao đẳng,Đại học – Cao đẳng
trường THPT Gia Lộc 2,Trường THPT Gia Lộc II,THPT Gia Lộc II
Trường THPT Long Hải- Phước Tỉnh,Trường THPT Long Hải - Phước Tỉnh,THPT Long Hải - Phước Tỉnh
Trường THPT Lê Văn Thịnh,Trường THPT Lê Văn Thịnh,THPT Lê Văn Thịnh
Truong trung hoc co so binh khe,Trường THCS Bình Khê,THCS Bình Khê
THCS Bình Khê,Trường THCS Bình Khê,THCS Bình Khê
THCS Lai Hạ,Trường THCS Lai Hạ,THCS Lai Hạ
THPT Thái Hòa BD,Trường THPT Thái Hòa,THPT Thái Hòa
THPT Cẩm Giàng 2,Trường THPT Cẩm Giàng 2,THPT Cẩm Giàng 2
THPT Lê Thành Phương,Trường Thpt Lê Thành Phương,Thpt Lê Thành Phương
Trường Cao đẳng Cơ điện - Xây dựng và Nông Lâm Trung Bộ,Cơ sở 2 - Trường Cao đẳng nghề Cơ điện – Xây dựng và Nông Lâm Trung bộ,Cơ sở 2 - Trường Cao đẳng nghề Cơ điện – Xây dựng và Nông Lâm Trung bộ
Trường THCS Phan Bội Châu Q12,Trường THCS Phan Bội Châu,THCS Phan Bội Châu
"THPT Cao Lộc, Cao Lộc, Lạng Sơn",Trường THPT Cao Lộc,THPT Cao Lộc
THPT Quynh Th0,Trường THPT Quỳnh Thọ,THPT Quỳnh Thọ
PTTH Ngô Quyền - Hải Phòng,Trường THPT Ngô Quyền,THPT Ngô Quyền
THPT Hoàng Thái Hiếu,Trường THPT Hoàng Thái Hiếu,THPT Hoàng Thái Hiếu
Cầu Lộc - Trường Thcs Cầu Lộc,Trường THCS Cầu Lộc,THCS Cầu Lộc
Trường THPT Thăng Long - Hải Phòng,Trường THPT Thăng Long - Hải Phòng,THPT Thăng Long - Hải Phòng
"THPT Tran phu, tan bien, tay ninh",THPT Trần Phú,THPT Trần Phú
THCS dang Hai,Trường THCS Đằng Hải,THCS Đằng Hải
Trung cap GTVT Mien Nam,Trường Trung Cấp Giao Thông Vận Tải Miền Nam,Trung Cấp Giao Thông Vận Tải Miền Nam
Đại học kinh tế TP.HCM,Trường Đại học Kinh tế TP. HCM,Đại học Kinh tế TP. HCM
Vietnam Maritime University,Trường Đại học Hàng hải Việt Nam,Đại học Hàng hải Việt Nam
Trường THPT Lê Ích Mộc _ xã Kỳ Sơn Thuỷ Nguyên Hải Phòng,Trường THPT Lê Ích Mộc,THPT Lê Ích Mộc
THCS THỌ LỘC,Trường THCS Thọ Lộc,THCS Thọ Lộc
Trường Hai Bà Trưng Huế,Trường THPT Hai Bà Trưng,THPT Hai Bà Trưng
Trường THPT Cẩm Thủy 2,Trường THPT Cẩm Thủy 2,THPT Cẩm Thủy 2
THPT hang hai,Trường THPT Hàng Hải,THPT Hàng Hải
Trường THCS Trần Quang Khải Ninh Đông T.X Ninh Hòa,"Trường THCS Trần Quang Khải, thôn Văn Định, Ninh Đông, Ninh Hòa, Khánh Hòa","THCS Trần Quang Khải, thôn Văn Định, Ninh Đông, Ninh Hòa, Khánh Hòa"
Tranphu gifted high school,Trường THPT Chuyên Trần Phú,THPT Chuyên Trần Phú
Trường THPT Dân lập Hùng Vương - Bắc Kạn,Trường Thpt Dân Lập Hùng Vương,Thpt Dân Lập Hùng Vương
truong thpt nghi loc 5,Trường THPT Nghi Lộc 5,THPT Nghi Lộc 5
Trung hoc pho thong cai be,Trường THPT Cái Bè,THPT Cái Bè
Đại Học Dân Lập Phú Xuân Huế,Trường Đại học Phú Xuân - city campus,Đại học Phú Xuân - city campus
THPT Nguyễn Bỉnh Khiêm - Nhơn Trạch - Đồng Nai,THPT Nguyễn Bỉnh Khiêm,THPT Nguyễn Bỉnh Khiêm
thpt long my,Trường THPT Long Mỹ,THPT Long Mỹ
Cao đẳng văn hoá nghệ thuật Thái Bình,Trường Cao đẳng Văn hóa Nghệ thuật Thái Bình,Cao đẳng Văn hóa Nghệ thuật Thái Bình
THCS Dĩ An,Trường THCS Dĩ An,THCS Dĩ An
THPT Đồng Xoài,Trường THPT Đồng Xoài,THPT Đồng Xoài
Massachusetts Institude of Technology,Học viện Công nghệ Massachusetts (Massachusetts Institute of Technology),Học viện Công nghệ Massachusetts
THPT GL2,Trường THPT Gia Lộc II,THPT Gia Lộc II
THCS TT1,Trường Trung học phổ thông Thuận Thành số 1,Trung học phổ thông Thuận Thành số 1
THCS Bàn Cờ - Quận 3,Trường THCS Bàn Cờ,THCS Bàn Cờ
dh bach khoa,Trường Đại học Bách khoa Hà Nội,Đại học Bách khoa Hà Nội
Saigon University,Trường Đại học Sài Gòn,Đại học Sài Gòn
THPT Ngô Sĩ Liên - Bắc Giang,THPT Ngô Sĩ Liên,THPT Ngô Sĩ Liên
THPT Tran Cao Van Ninh Hoa,Trường THPT Trần Cao Vân,THPT Trần Cao Vân
thpt kinh môn,Trường THPT Kinh Môn,THPT Kinh Môn
CongAn Q10,Công An Quận 10,Công An Quận 10
